time,jd,wd,status
18-7,114.038864,22.524366,1
18-7,114.062798,22.517500,0
18-7,114.063019,22.518499,1
18-8,114.062737,22.551149,0
18-8,114.062767,22.551634,1
18-8,114.062851,22.564367,0
18-8,114.064880,22.557768,1
18-8,114.059380,22.544300,0
18-8,114.063133,22.538017,1
18-8,114.050117,22.534800,0
18-8,114.051636,22.528133,1
18-8,114.056015,22.536983,0
18-8,114.057953,22.536400,1
18-8,114.031403,22.523666,0
18-8,114.031235,22.523951,1
18-9,114.051483,22.533216,0
18-9,114.041351,22.524183,1
18-9,114.062897,22.517633,0
18-9,114.062668,22.518183,1
18-9,113.815964,22.647200,0
18-13,113.946083,22.507784,1
18-14,114.062263,22.652967,0
18-14,114.060715,22.653334,1
18-14,114.054718,22.623632,0
18-14,114.055565,22.623934,1
18-15,114.081215,22.555367,0
18-15,114.082153,22.553949,1
18-15,114.137337,22.576166,0
18-15,114.040787,22.570183,1
18-16,114.080414,22.557684,0
18-16,114.084663,22.555599,1
18-16,114.090065,22.561050,0
18-16,114.090034,22.561132,1
18-16,114.067169,22.577168,0
18-16,114.063568,22.571133,1
18-16,114.050934,22.550484,0
18-16,114.051048,22.549700,1
18-17,114.130165,22.610767,0
18-17,114.131050,22.606600,1
18-18,113.944397,22.583750,0
18-18,113.949265,22.580601,1
18-18,113.880020,22.570566,0
18-19,113.891403,22.565166,1
18-19,113.923447,22.521168,0
18-19,114.099785,22.540501,1
18-21,114.040184,22.523666,0
18-21,114.057701,22.531300,1
18-21,114.058067,22.518150,0
18-21,114.058533,22.523916,1
18-21,114.053848,22.537634,0
18-21,114.053253,22.537483,1
18-22,114.019714,22.534283,0
18-22,114.019814,22.534517,1
18-22,114.035751,22.555733,0
18-22,114.060585,22.549467,1
18-22,114.062950,22.540466,0
18-22,114.063080,22.524866,1
18-22,114.062920,22.519350,0
18-22,114.064949,22.518950,1
18-22,114.047699,22.546333,0
18-22,114.047752,22.546717,1
18-23,114.067383,22.533100,0
18-23,114.065399,22.519033,1
18-23,114.060883,22.525999,0
18-23,114.058586,22.530832,1
18-23,114.068001,22.524433,0
18-23,114.066414,22.519217,1
18-23,114.051620,22.526434,0
18-23,114.058884,22.520399,1
19-0,114.072334,22.530518,0
19-0,114.067413,22.519449,1
19-0,114.063332,22.525316,0
19-0,114.063232,22.525900,1
19-0,114.036232,22.522751,0
19-1,114.058868,22.520149,1
19-1,114.053230,22.513067,0
19-2,114.067070,22.519217,1
19-3,114.080650,22.554068,0
19-5,114.067467,22.519733,1
19-5,114.068497,22.523899,0
19-5,114.173149,22.562599,1
19-7,113.816452,22.650299,0
19-8,113.904533,22.554832,1
19-8,113.909653,22.546034,0
19-9,114.002586,22.538532,1
19-9,113.941864,22.546232,0
19-9,113.992996,22.532534,1
19-9,114.044121,22.521900,0
19-10,114.055450,22.526083,1
19-10,114.180115,22.558332,0
19-10,114.164131,22.566833,1
19-10,114.161301,22.565350,0
19-11,114.046432,22.541149,1
19-12,114.057747,22.546217,0
19-12,114.057732,22.546333,1
19-12,114.013214,22.539801,0
19-12,114.019234,22.540483,1
19-12,114.068535,22.523899,0
19-12,114.072083,22.530018,1
19-13,114.072014,22.533817,0
19-13,114.059799,22.525749,1
19-13,114.062836,22.517584,0
19-13,114.063019,22.517767,1
19-13,114.058998,22.535566,0
19-13,114.056213,22.535482,1
19-14,114.039253,22.555017,0
19-14,114.039619,22.554300,1
19-14,114.081352,22.546949,0
19-14,114.081329,22.546766,1
19-14,114.117218,22.543133,0
19-14,114.118164,22.543068,1
19-14,114.113998,22.534468,0
19-14,114.113365,22.534018,1
19-15,114.152351,22.612984,0
19-15,114.147835,22.609266,1
19-15,114.140770,22.612017,0
19-15,114.111618,22.597517,1
19-16,114.055450,22.537649,0
19-16,114.053619,22.537533,1
19-16,114.036064,22.553801,0
19-16,114.036034,22.551817,1
19-16,114.006218,22.537216,0
19-16,114.002930,22.536667,1
19-16,114.036484,22.522850,0
19-16,114.036797,22.523317,1
19-17,114.105499,22.539482,0
19-17,114.105316,22.539316,1
19-17,114.126167,22.544001,0
19-17,114.126114,22.544216,1
19-17,114.081764,22.541866,0
19-17,114.084167,22.542467,1
19-17,114.077721,22.534883,0
19-17,114.075569,22.536800,1
19-18,114.064217,22.554501,0
19-18,114.064568,22.551332,1
19-18,114.019867,22.533434,0
19-18,114.019516,22.535784,1
19-19,114.085617,22.545467,0
19-19,114.085686,22.545433,1
19-19,114.097366,22.564583,0
19-19,114.097847,22.564501,1
19-19,114.136597,22.575617,0
19-19,114.104050,22.573168,1
19-19,114.079369,22.572767,0
19-21,114.060333,22.525949,1
19-21,114.059196,22.521017,0
19-21,114.058929,22.519983,1
19-21,114.042702,22.528316,0
