time,jd,wd,status
18-0,114.053848,22.583117,1
18-0,114.033730,22.561916,0
18-1,114.079834,22.573084,1
18-1,114.105186,22.548450,0
18-2,114.082253,22.571383,1
18-2,114.159164,22.612049,0
18-3,114.115067,22.602367,1
18-3,114.102135,22.587084,0
18-5,114.083466,22.571768,1
18-5,114.101166,22.599434,0
18-8,114.118530,22.553482,1
18-8,114.078484,22.643833,0
18-9,114.058517,22.615116,1
18-9,114.056633,22.615232,0
18-9,114.044334,22.597584,1
18-10,114.109200,22.541834,0
18-10,114.109230,22.541849,1
18-10,114.073280,22.532034,0
18-10,114.079849,22.535883,1
18-10,114.125702,22.551468,0
18-11,114.130936,22.548683,1
18-11,114.114464,22.535200,0
18-11,114.110481,22.540268,1
18-11,114.129700,22.547001,0
18-11,114.117416,22.539783,1
18-11,114.113914,22.534651,0
18-12,114.116203,22.535967,1
18-12,114.133568,22.549282,0
18-12,114.138817,22.553232,1
18-12,114.147049,22.557583,0
18-13,114.126846,22.550068,1
18-13,114.117950,22.552799,0
18-13,114.113670,22.537832,1
18-13,114.125282,22.566116,0
18-13,114.117798,22.574734,1
18-14,114.063019,22.528633,0
18-14,114.071404,22.531683,1
18-15,113.816315,22.650618,0
18-16,113.818748,22.646433,1
18-17,114.111382,22.541567,0
18-17,114.111580,22.541134,1
18-18,114.150970,22.616867,0
18-18,114.140846,22.580116,1
18-18,114.122185,22.557533,0
18-18,114.081535,22.551350,1
18-21,114.025749,22.534416,0
18-21,114.015053,22.542717,1
18-21,114.017647,22.541599,0
18-21,114.036667,22.548683,1
18-21,114.049629,22.562468,0
18-22,114.018517,22.538799,1
18-22,114.002113,22.540483,0
18-23,114.040016,22.542334,1
19-0,114.091148,22.545567,0
19-0,114.083618,22.543150,1
19-0,114.112053,22.542267,0
19-1,114.094551,22.562750,1
19-2,114.111801,22.584967,0
19-2,114.152817,22.557600,1
19-2,114.230682,22.557301,0
19-5,114.081100,22.571917,1
19-5,114.112000,22.546000,0
19-6,114.104103,22.553383,1
19-6,114.038551,22.652399,0
19-7,114.039001,22.607582,1
19-8,114.056053,22.535633,0
19-8,114.023216,22.539534,1
19-9,113.992500,22.538467,0
19-9,113.992203,22.537634,1
19-9,113.922997,22.549433,0
19-9,113.918404,22.549517,1
19-10,113.940018,22.543249,0
19-10,113.919670,22.532183,1
19-10,113.911369,22.514950,0
19-10,113.915169,22.510550,1
19-11,114.047783,22.546883,0
19-11,114.059464,22.525949,1
19-11,114.068420,22.523867,0
19-12,114.061417,22.520750,1
19-12,114.061203,22.521000,0
19-12,114.058121,22.537167,1
19-13,114.113068,22.547800,0
19-13,114.110420,22.547466,1
19-14,114.307434,22.601917,0
19-15,114.220947,22.560200,1
19-15,114.217018,22.560316,0
19-15,114.139618,22.557100,1
19-15,114.110199,22.542418,0
