time,jd,wd,status
21-0-39,113.926231,22.494949,0
21-1-2,113.923767,22.513718,1
21-1-9,113.908203,22.516632,0
21-1-11,113.909798,22.518333,1
21-1-20,113.919434,22.488449,0
21-1-22,113.913414,22.488968,1
21-1-25,113.908669,22.495817,0
21-2-1,113.945015,22.539316,1
21-2-6,113.924553,22.543900,0
21-3-10,113.835785,22.726049,1
21-3-16,113.832268,22.695618,0
20-8-18,113.963654,22.537849,1
20-8-24,114.110985,22.543516,0
20-8-37,114.110580,22.546167,1
20-8-45,114.124649,22.558916,0
20-8-46,114.123665,22.558434,1
20-9-1,114.112251,22.537251,0
20-9-11,114.113770,22.534233,1
20-9-39,114.144348,22.664883,0
20-10-53,114.104431,22.558683,1
20-11-5,114.082169,22.543467,0
20-11-44,114.040749,22.533251,1
20-11-50,114.058434,22.547367,0
20-11-55,114.052315,22.545366,1
20-11-57,114.061020,22.545532,0
20-12-2,114.055832,22.545418,1
20-12-11,114.117302,22.538267,0
20-12-14,114.115097,22.535084,1
20-12-17,114.113670,22.541451,0
20-12-18,114.113564,22.541983,1
20-12-31,114.136398,22.569651,0
20-12-31,114.137535,22.568501,1
20-12-41,114.108269,22.547068,0
20-12-43,114.109848,22.546284,1
20-12-48,114.113899,22.531601,0
20-12-51,114.119469,22.539301,1
20-12-56,114.111801,22.539482,0
20-13-3,114.112747,22.542334,1
20-13-10,114.113998,22.532049,0
20-13-18,114.113716,22.545267,1
20-13-22,114.109947,22.555401,0
20-13-25,114.118332,22.558750,1
20-13-42,114.114952,22.535067,0
20-13-44,114.112450,22.534317,1
20-14-1,114.048180,22.572483,0
20-14-10,114.035980,22.568132,1
20-14-22,114.047981,22.532217,0
20-14-25,114.043968,22.533417,1
20-14-30,114.061600,22.542084,0
20-14-31,114.062836,22.540251,1
20-14-41,114.087883,22.548416,0
20-14-43,114.084602,22.549368,1
20-15-15,113.937050,22.548166,0
20-15-16,113.938103,22.546101,1
20-15-21,113.946068,22.541700,0
20-15-26,113.951500,22.538050,1
20-15-34,113.978020,22.540632,0
20-15-36,113.980347,22.536867,1
20-15-49,114.053650,22.537382,0
20-15-52,114.053230,22.539499,1
20-16-8,114.094734,22.559750,0
20-16-42,114.034470,22.560017,1
20-16-48,114.027702,22.557751,0
20-16-53,114.028214,22.556284,1
20-17-3,114.013947,22.547466,0
20-17-7,114.014435,22.543650,1
20-17-15,114.010582,22.557117,0
20-17-16,114.010902,22.556383,1
20-17-17,114.010185,22.555201,0
20-17-17,114.009666,22.553867,1
20-17-41,114.055817,22.570932,0
20-17-58,114.028915,22.556917,1
20-18-10,114.052681,22.562717,0
20-18-25,114.015633,22.555317,1
20-18-36,114.042450,22.527300,0
20-18-38,114.042702,22.527483,1
20-19-1,113.916382,22.529699,0
20-19-3,113.915848,22.532084,1
20-19-31,113.969147,22.561983,0
20-19-40,113.967384,22.562599,1
20-19-44,113.973198,22.561600,0
20-19-56,113.963783,22.543751,1
20-20-5,113.957085,22.565468,0
20-20-12,113.946632,22.562050,1
20-21-9,113.943047,22.506451,0
20-21-12,113.947464,22.507851,1
20-21-16,113.941002,22.529699,0
20-21-19,113.942650,22.527317,1
20-21-26,113.917397,22.521999,0
20-21-49,113.904846,22.478350,1
20-21-58,113.899269,22.512367,0
20-22-41,113.924614,22.515600,1
20-22-53,113.910568,22.539682,0
20-22-55,113.910248,22.540216,1
20-23-4,113.901802,22.569418,0
20-23-17,113.904984,22.555517,1
20-23-27,113.924019,22.516417,0
20-23-31,113.923668,22.514517,1
20-23-37,113.908798,22.516550,0
20-23-43,113.915001,22.531134,1
20-23-57,113.910454,22.487568,0
21-21-2,114.112320,22.536051,1
21-21-6,114.113632,22.534651,0
21-21-8,114.113869,22.534332,1
21-21-26,114.023834,22.530117,0
21-21-33,114.036781,22.527651,1
21-21-44,114.037552,22.568800,0
21-21-47,114.040001,22.570150,1
21-22-2,114.040131,22.525566,0
21-22-5,114.041016,22.526716,1
21-22-11,114.059486,22.526783,0
21-22-12,114.058250,22.525949,1
21-22-16,114.050003,22.528933,0
21-22-21,114.044868,22.529949,1
21-22-28,114.021652,22.555517,0
21-22-32,114.033516,22.560883,1
21-22-51,114.135452,22.615700,0
21-22-59,114.121368,22.609966,1
21-23-7,114.105530,22.608482,0
21-23-12,114.112183,22.600750,1
21-23-25,114.116585,22.549999,0
21-23-26,114.116768,22.548218,1
21-23-34,114.122200,22.552116,0
21-23-37,114.124199,22.552401,1
21-23-46,114.084885,22.549133,0
