time,jd,wd,status
19-6-17,113.842232,22.743324,0
19-17-0,113.822800,22.750877,1
19-20-17,113.841827,22.771835,0
20-5-43,113.841423,22.744476,1
20-5-52,113.841286,22.744482,0
20-5-52,113.841286,22.744482,1
20-6-4,113.842163,22.743368,0
20-17-24,113.830841,22.644156,1
20-22-20,113.888000,22.780186,0
22-5-2,113.841324,22.744593,1
22-5-33,113.841568,22.772198,0
22-20-20,113.841843,22.771812,0
23-6-2,113.841431,22.744513,1
23-6-35,113.842072,22.771563,0
23-6-35,113.842064,22.771563,1
23-6-38,113.842064,22.771563,0
23-6-41,113.842064,22.771563,1
23-6-42,113.842064,22.771563,0
23-8-57,113.836113,22.779779,1
23-9-18,113.842308,22.771400,0
23-13-20,113.836433,22.779209,1
23-15-35,113.842606,22.771036,0
23-16-55,113.837769,22.730038,1
23-20-3,113.842087,22.771650,0
24-17-0,113.837814,22.730013,1
24-21-37,113.830772,22.694016,0
24-23-24,113.814545,22.651398,1
