time,jd,wd,status
18-20-21,114.064018,22.531982,1
18-20-44,114.118248,22.565166,0
18-20-55,114.109436,22.547434,1
18-21-2,114.106880,22.562117,0
18-21-7,114.093933,22.558582,1
18-21-16,114.099449,22.542517,0
18-21-20,114.097130,22.540251,1
18-21-30,114.047867,22.539833,0
18-21-31,114.048035,22.539568,1
18-21-45,114.113968,22.538134,0
18-21-53,114.085648,22.537666,1
18-22-4,114.047852,22.517366,0
18-22-11,114.042915,22.514418,1
18-22-13,114.034950,22.517834,0
19-7-15,113.986565,22.536484,1
19-7-28,113.910133,22.540051,0
19-7-31,113.905365,22.538300,1
19-7-39,113.934280,22.557768,0
19-7-44,113.945953,22.559168,1
19-8-5,113.816216,22.646883,0
19-8-39,113.906097,22.553583,1
19-8-58,113.919930,22.532700,0
19-8-59,113.919853,22.534384,1
19-9-17,113.895950,22.559467,0
19-9-26,113.906219,22.553617,1
19-9-44,113.969933,22.539351,0
19-9-50,113.982452,22.538317,1
19-10-11,114.105484,22.543699,0
19-10-12,114.105164,22.543301,1
19-10-38,114.049286,22.563618,0
19-10-39,114.049751,22.562384,1
19-10-50,114.099449,22.549383,0
19-10-50,114.099518,22.549351,1
19-11-1,114.084747,22.543133,0
19-11-9,114.064186,22.532133,1
19-11-16,114.062714,22.517550,0
19-11-26,114.063004,22.517782,1
19-11-33,114.068497,22.523884,0
19-11-40,114.051697,22.531700,1
19-11-44,114.047798,22.540684,0
19-13-48,114.051918,22.528633,1
19-14-6,114.114281,22.534233,0
19-14-17,114.113548,22.533867,1
19-14-31,114.124100,22.554518,0
19-14-32,114.124580,22.554268,1
19-14-41,114.104836,22.549282,0
19-14-41,114.104469,22.549133,1
19-14-48,114.098434,22.540833,0
19-14-52,114.107620,22.536383,1
19-14-59,114.114014,22.544283,0
19-15-3,114.114716,22.539267,1
19-15-25,114.046448,22.539368,0
19-15-25,114.046234,22.539534,1
19-15-36,114.015152,22.537567,0
19-15-40,114.021469,22.538799,1
19-16-25,113.816498,22.646517,0
19-17-14,113.814346,22.649866,1
19-17-51,114.081596,22.541733,0
19-17-52,114.081413,22.540701,1
