time,jd,wd,status
18-0,114.065781,22.537201,1
18-0,114.054070,22.516617,0
18-1,114.058403,22.519466,1
18-1,114.026337,22.524883,0
18-1,114.068199,22.531300,1
18-1,114.067146,22.524782,0
18-2,114.071999,22.533667,1
18-2,114.057404,22.523434,0
18-2,114.065018,22.539183,1
18-2,114.062714,22.551132,0
18-3,114.064468,22.538834,1
18-3,114.074471,22.542383,0
18-3,114.074867,22.541433,1
18-3,114.060036,22.529449,0
18-3,114.065536,22.539183,1
18-4,114.086617,22.537832,0
18-6,113.932236,22.522133,1
18-6,113.927315,22.499001,0
18-6,113.928268,22.517517,1
18-6,113.947166,22.541834,0
18-6,114.043167,22.523417,1
18-7,114.061729,22.519850,0
18-7,114.054298,22.515118,1
18-7,114.062531,22.518984,0
18-7,114.054970,22.514633,1
18-7,114.062630,22.517599,0
18-7,114.062798,22.518368,1
18-7,114.139481,22.554167,0
18-7,114.140335,22.554817,1
18-8,114.056297,22.531851,0
18-8,114.050781,22.529367,1
18-8,114.056320,22.538334,0
18-9,114.057068,22.528032,1
18-9,114.067848,22.524401,0
18-9,114.067368,22.524099,1
18-9,114.106453,22.541233,0
18-9,114.108047,22.541800,1
18-9,114.027817,22.533701,0
18-10,114.052521,22.528732,1
18-11,114.119400,22.540583,0
18-11,114.119736,22.540701,1
18-11,114.114166,22.534634,0
18-11,114.114166,22.534634,1
18-11,114.056351,22.531866,0
18-11,114.051483,22.534967,1
18-11,114.023849,22.530867,0
18-11,114.036568,22.523333,1
18-12,114.075935,22.546900,0
18-12,114.074768,22.547283,1
18-12,114.061668,22.527300,0
18-12,114.055534,22.535316,1
18-13,114.019020,22.537216,0
18-13,114.020020,22.532917,1
18-13,113.999763,22.530117,0
18-14,113.945847,22.541750,1
18-14,114.026566,22.532900,0
18-17,114.037697,22.523417,1
18-17,114.068115,22.531717,0
18-18,114.050484,22.535400,1
18-19,114.048698,22.570299,0
18-19,114.051819,22.567249,1
18-19,114.109314,22.591217,0
18-20,114.114235,22.534367,1
18-21,114.123436,22.574051,0
18-21,114.121620,22.574133,1
18-21,114.135231,22.574900,0
18-21,114.133820,22.570950,1
18-22,114.063347,22.517633,0
18-22,114.062531,22.517982,1
18-22,114.029167,22.520718,0
18-22,114.040314,22.518818,1
18-22,114.091301,22.542467,0
18-22,114.095116,22.540983,1
18-22,114.088600,22.543100,0
18-22,114.091347,22.540501,1
18-23,114.091866,22.561367,0
18-23,114.089798,22.561068,1
18-23,114.119499,22.573868,0
18-23,114.112450,22.547550,1
18-23,114.074867,22.534718,0
18-23,114.076416,22.537767,1
18-23,114.074432,22.542299,0
18-23,114.076202,22.541000,1
19-0,114.085014,22.547916,0
19-0,114.081398,22.545732,1
19-0,114.078079,22.534782,0
19-2,114.064301,22.538584,1
19-2,114.112053,22.603582,0
19-4,114.067184,22.527134,1
19-4,114.068497,22.524267,0
19-4,114.065582,22.539217,1
19-4,114.066635,22.538601,0
19-5,114.065720,22.539133,1
19-5,114.056931,22.525850,0
19-6,114.067734,22.523767,1
19-6,114.067703,22.523733,0
19-7,114.067101,22.524851,1
19-7,114.047279,22.536383,0
19-7,114.050430,22.533501,1
19-7,114.048752,22.519617,0
19-7,114.045685,22.525667,1
19-7,114.061134,22.519234,0
19-7,114.057281,22.516399,1
19-8,113.958549,22.526350,0
19-8,113.944931,22.538517,1
19-8,113.942848,22.530867,0
19-8,113.947479,22.529484,1
19-8,113.943169,22.506416,0
19-8,113.946114,22.507717,1
19-8,113.945885,22.558901,0
19-8,113.945801,22.558916,1
19-9,114.051231,22.535433,0
19-9,114.053398,22.528534,1
19-9,114.068466,22.523783,0
19-9,114.072014,22.530767,1
19-9,114.101715,22.542467,0
19-9,114.100601,22.541233,1
19-10,113.988564,22.524668,0
19-10,113.919250,22.524117,1
19-10,113.916229,22.535650,0
19-11,113.915833,22.535549,1
19-11,113.903603,22.530533,0
19-11,113.913651,22.530867,1
19-11,113.918671,22.558100,0
19-11,113.918404,22.550016,1
19-11,113.919899,22.495417,0
19-12,113.908234,22.480301,1
19-13,113.908699,22.531218,0
19-13,113.909019,22.531233,1
