time,jd,wd,status
18-0,114.100952,22.543833,1
18-0,114.111153,22.535549,0
18-6,114.062469,22.619217,1
18-6,114.068367,22.523666,0
18-7,114.068100,22.532818,1
18-7,114.112801,22.535982,0
18-7,114.112801,22.535982,1
18-7,113.943398,22.506451,0
18-7,113.944969,22.506500,1
18-8,113.868835,22.804632,0
18-9,113.842049,22.771650,1
18-10,114.081551,22.539667,0
18-10,114.104164,22.537884,1
18-10,114.132004,22.548750,0
18-10,114.134415,22.548166,1
18-11,114.114769,22.534750,0
18-11,114.114098,22.534317,1
18-11,114.059349,22.520082,0
18-12,114.064697,22.543100,1
18-12,114.062103,22.547632,0
18-12,114.062180,22.551317,1
18-12,114.045685,22.597668,0
18-12,114.045685,22.597668,1
18-12,114.032097,22.554417,0
18-12,114.041382,22.554150,1
18-12,114.050529,22.548134,0
18-13,114.105347,22.552782,1
18-14,113.816269,22.646967,0
18-14,113.816765,22.646151,1
18-14,113.908470,22.522432,0
18-15,113.950233,22.523701,1
18-15,114.047798,22.540117,0
18-15,114.047485,22.564966,1
18-16,114.041885,22.565701,0
18-16,114.057648,22.568567,1
18-16,114.103531,22.577467,0
18-16,114.094566,22.561716,1
18-16,114.089516,22.547150,0
18-16,114.091148,22.550501,1
18-17,114.045380,22.598867,0
18-17,114.050964,22.663799,1
18-18,113.814552,22.649918,0
18-19,113.816101,22.646601,1
18-20,114.006981,22.549282,0
18-20,114.006134,22.537350,1
18-20,113.917336,22.535601,0
18-20,113.917030,22.535601,1
18-20,113.930786,22.544100,0
18-20,113.932266,22.545517,1
18-20,113.951180,22.574699,0
18-21,113.941635,22.546400,1
18-21,113.909782,22.543217,0
18-21,113.945969,22.541767,1
18-21,113.918854,22.545033,0
18-21,113.921387,22.549217,1
18-21,113.916534,22.528316,0
18-22,113.924568,22.522217,1
18-22,113.952866,22.543118,0
18-22,113.948830,22.543501,1
18-22,113.912369,22.544867,0
18-23,113.815697,22.647818,1
18-23,114.013069,22.543783,0
18-23,114.026680,22.539600,1
19-0,113.964951,22.541782,0
19-0,113.949135,22.542150,1
19-0,113.884117,22.568933,0
19-0,113.888046,22.565067,1
19-0,113.938133,22.546167,0
19-6,114.047668,22.601883,1
19-6,114.034630,22.541634,0
19-6,114.028984,22.560484,1
19-6,113.971169,22.540983,0
19-7,113.971298,22.540733,1
19-7,113.814667,22.649567,0
