time,jd,wd,status
18-1,113.836952,22.600834,1
18-1,113.838600,22.611151,0
18-2,113.843948,22.597134,1
18-2,113.843201,22.598967,0
18-2,113.848846,22.591883,1
18-2,113.894066,22.559566,0
18-3,113.875969,22.572399,1
18-3,113.865364,22.571333,0
18-4,113.857567,22.574417,1
18-4,113.791252,22.693184,0
18-5,113.899536,22.578617,1
18-6,113.894432,22.567083,0
18-6,113.896835,22.576183,1
18-6,113.897453,22.576683,0
18-6,113.880219,22.579300,1
18-7,113.894882,22.566868,0
18-7,113.891403,22.574600,1
18-7,113.905617,22.555300,0
18-7,113.902618,22.558701,1
18-8,113.909264,22.575233,0
18-8,113.891998,22.567249,1
18-8,113.893730,22.572233,0
18-8,113.895416,22.575083,1
18-8,113.909950,22.581266,0
18-9,113.884483,22.587000,1
18-9,113.883369,22.571899,0
18-9,113.880600,22.590267,1
18-10,113.878914,22.615049,0
18-10,113.875885,22.583317,1
18-10,113.891968,22.567417,0
18-10,113.890450,22.574133,1
18-10,113.891914,22.578783,0
18-10,113.890900,22.565050,1
18-11,113.870567,22.567818,0
18-11,113.874817,22.572250,1
18-11,113.894501,22.567368,0
18-11,113.894333,22.574167,1
18-11,113.894516,22.574284,0
18-11,113.889771,22.571983,1
18-11,113.832336,22.633883,0
18-12,113.884552,22.586718,1
18-12,113.845268,22.601049,0
18-13,113.865646,22.571833,1
18-13,113.875984,22.586517,0
18-13,113.868401,22.584999,1
18-14,113.860046,22.637117,0
18-14,113.860603,22.610518,1
18-14,113.884064,22.563650,0
18-14,113.895065,22.568399,1
18-14,113.895950,22.566933,0
18-15,113.890999,22.570818,1
18-15,113.893951,22.567966,0
18-16,113.814552,22.702583,1
18-16,113.787750,22.693268,0
18-17,113.877182,22.573500,1
18-17,113.868149,22.570066,0
18-18,113.896896,22.565117,1
18-18,113.898132,22.556683,0
18-19,113.880249,22.581800,1
18-20,113.859650,22.586349,0
18-21,113.828514,22.647118,1
18-21,113.877480,22.581367,0
18-22,113.858368,22.577833,1
18-22,113.880836,22.576616,0
18-23,113.863953,22.580566,1
18-23,113.836853,22.604900,0
19-0,113.878647,22.571150,1
19-0,113.870865,22.568132,0
19-0,113.864265,22.567867,1
19-1,114.106682,22.610149,0
19-1,114.117599,22.604883,1
19-1,114.126152,22.613417,0
19-2,113.925430,22.677000,1
19-2,113.938385,22.683216,0
19-3,113.881584,22.584183,1
19-3,113.881180,22.584667,0
19-4,113.865700,22.582800,1
19-4,113.860718,22.575050,0
19-5,113.878487,22.574551,1
19-5,113.864868,22.570818,0
19-5,113.855965,22.574217,1
19-5,113.833504,22.604183,0
19-5,113.835083,22.618767,1
19-5,113.826347,22.648382,0
19-6,113.885735,22.560383,1
19-7,113.899300,22.566784,0
19-7,113.894630,22.568050,1
19-7,113.897148,22.564734,0
19-8,113.857849,22.584467,1
19-8,113.860046,22.587334,0
19-8,113.871063,22.567818,1
19-8,113.869835,22.575800,0
19-8,113.862747,22.579683,1
19-9,113.885551,22.587683,0
19-10,113.885880,22.581034,1
19-11,113.867981,22.575150,0
19-11,113.853882,22.575718,1
19-11,113.977165,22.677017,0
19-13,113.900032,22.558617,1
19-13,113.906487,22.564251,0
19-13,113.902184,22.568983,1
19-13,113.904747,22.566700,0
19-15,113.886620,22.581583,1
19-16,113.860649,22.609751,0
19-16,113.887817,22.583366,1
19-16,113.893517,22.577784,0
19-16,113.888634,22.582632,1
19-17,113.889816,22.584118,0
19-17,113.891785,22.579599,1
19-17,113.875183,22.598383,0
19-18,113.903152,22.575100,1
19-18,113.908279,22.575233,0
19-18,113.894966,22.574600,1
19-18,113.889832,22.584118,0
19-19,113.908867,22.571350,1
19-19,113.870819,22.562532,0
19-19,113.863930,22.581301,1
19-20,113.859970,22.570766,0
19-20,113.872887,22.588167,1
19-20,113.895966,22.582233,0
19-20,113.868332,22.575567,1
19-21,113.856903,22.579268,0
19-21,113.869530,22.590918,1
19-21,113.840950,22.596184,0
19-22,113.874153,22.585251,1
19-22,113.905998,22.563717,0
19-23,113.867416,22.577566,1
19-23,113.858597,22.581932,0
19-23,113.859901,22.576851,1
20-0,113.825684,22.650650,0
20-0,113.828415,22.722866,1
20-0,113.798302,22.691450,0
20-1,113.807983,22.676382,1
20-1,113.816132,22.672268,0
20-2,113.859886,22.576616,1
20-2,113.860069,22.570801,0
20-2,113.855919,22.574301,1
20-2,113.856850,22.573816,0
20-4,113.875130,22.571934,1
20-5,113.878914,22.579950,0
20-7,113.889130,22.559017,1
20-7,113.892784,22.584999,0
20-7,113.889786,22.569817,1
20-7,113.905746,22.555550,0
20-8,113.878754,22.580500,1
20-8,113.864548,22.581583,0
20-8,113.876785,22.591150,1
20-9,113.890617,22.590117,0
20-10,113.893379,22.572567,1
20-10,113.880501,22.581484,0
20-10,113.857216,22.574150,1
20-10,113.875748,22.577801,0
