time,jd,wd,status
18-1-4,114.120483,22.571283,1
18-1-7,114.114868,22.560682,0
18-1-9,114.115616,22.555668,1
18-1-18,114.089584,22.541134,0
18-1-30,114.091484,22.540117,1
18-1-34,114.091484,22.540117,0
18-1-37,114.091484,22.540117,1
18-1-42,114.091484,22.540117,0
18-7-2,114.137886,22.609234,1
18-7-37,114.009697,22.534800,0
18-7-51,114.017952,22.538134,1
18-8-7,114.076668,22.547016,0
18-8-10,114.085152,22.551683,1
18-8-18,114.095718,22.546232,0
18-8-24,114.093170,22.551783,1
18-8-42,114.065781,22.528467,0
18-8-47,114.062218,22.520399,1
18-8-58,114.056030,22.562517,0
18-8-58,114.056030,22.562517,1
18-9-18,114.048401,22.524700,0
18-9-25,114.043167,22.520483,1
18-9-35,114.071884,22.530333,0
18-9-36,114.072151,22.530001,1
18-9-49,114.043465,22.524883,0
18-10-15,114.043602,22.520300,1
18-10-37,114.089233,22.551817,0
18-10-38,114.089233,22.551817,1
18-10-50,114.081551,22.547550,0
18-11-2,114.077583,22.553783,1
18-11-8,114.084099,22.547483,0
18-11-8,114.084152,22.546482,1
18-11-18,114.104630,22.545799,0
18-11-22,114.100967,22.546633,1
18-11-34,114.113380,22.540684,0
18-11-38,114.113380,22.540684,1
18-11-49,114.103966,22.562017,0
18-11-53,114.118065,22.565783,1
18-11-58,114.128647,22.545650,0
18-11-59,114.126549,22.545233,1
18-12-0,114.122269,22.545250,0
18-12-5,114.119835,22.545633,1
18-12-21,114.112534,22.607550,0
18-12-23,114.112549,22.609400,1
18-12-35,114.113716,22.546949,0
18-12-38,114.112503,22.547449,1
18-12-48,114.119637,22.541433,0
18-12-50,114.118515,22.543083,1
18-12-53,114.116631,22.550068,0
18-13-47,114.117950,22.574266,1
18-14-3,114.123131,22.576250,0
18-14-4,114.123131,22.576250,1
18-14-23,114.089516,22.543600,0
18-14-31,114.088219,22.551832,1
18-14-49,114.037048,22.519033,0
18-14-50,114.037849,22.518499,1
18-14-57,114.048515,22.537283,0
18-14-58,114.048553,22.537283,1
18-15-9,114.059097,22.561501,0
18-15-45,114.066383,22.572201,1
18-15-48,114.062317,22.571234,0
18-15-57,114.093681,22.567818,1
18-16-5,114.120682,22.571217,0
18-16-11,114.110367,22.588766,1
18-16-13,114.113914,22.596399,0
18-16-46,114.130585,22.606550,1
18-17-9,114.114037,22.531750,0
18-17-17,114.113564,22.534468,1
18-17-35,114.121498,22.566967,0
18-17-45,114.121498,22.566967,1
18-17-53,114.123619,22.574949,0
18-18-0,114.122269,22.571466,1
18-18-8,114.140785,22.577066,0
18-18-14,114.134399,22.573050,1
18-18-39,114.068871,22.583366,0
18-18-41,114.068916,22.583549,1
18-19-12,114.059067,22.521133,0
18-19-19,114.060753,22.521517,1
18-20-4,114.111549,22.547750,0
18-20-5,114.111717,22.548050,1
18-20-35,114.102417,22.632950,0
18-21-0,114.111069,22.586767,1
18-21-10,114.100800,22.547501,0
18-21-11,114.101318,22.547750,1
18-21-52,113.923050,22.493784,0
18-22-6,113.923485,22.521532,1
18-22-18,113.951683,22.572617,0
18-22-46,114.049332,22.563267,1
18-23-2,114.122581,22.550167,0
18-23-5,114.122734,22.549717,1
18-23-18,114.113716,22.545700,0
18-23-20,114.076134,22.544983,1
18-23-36,114.035614,22.560017,0
18-23-56,114.049217,22.563932,1
19-0-7,114.125153,22.566282,0
19-0-55,114.119370,22.579317,1
19-1-4,114.118248,22.565367,0
19-7-32,114.112099,22.598200,1
19-8-1,114.116714,22.550550,0
19-8-11,114.122368,22.562483,1
19-8-41,114.098282,22.592083,0
19-8-54,114.098282,22.592083,1
19-9-32,114.241783,22.603701,0
19-9-48,114.263115,22.585867,1
19-10-35,114.087967,22.566750,0
19-10-37,114.087967,22.566750,1
19-10-50,114.047813,22.525766,0
19-10-55,114.048553,22.521900,1
19-11-7,114.084198,22.540968,0
19-11-9,114.088837,22.543217,1
19-11-17,114.106270,22.544649,0
19-11-18,114.106270,22.544649,1
19-11-26,114.106270,22.544649,0
19-11-31,114.106270,22.544649,1
19-11-53,114.080750,22.559000,0
19-11-55,114.080750,22.559000,1
19-12-8,114.084419,22.537167,0
19-12-8,114.084419,22.537167,1
19-12-17,114.135330,22.547832,0
19-12-21,114.138748,22.549732,1
19-12-43,114.076286,22.544718,0
19-12-47,114.077515,22.549084,1
19-13-28,114.009666,22.534834,0
19-13-37,113.985703,22.546133,1
19-14-0,113.908501,22.485933,0
19-14-4,113.917366,22.489651,1
19-14-10,113.917267,22.498301,0
19-14-11,113.916069,22.499468,1
19-14-18,113.931702,22.498617,0
19-14-30,113.945198,22.506500,1
19-14-49,114.070984,22.528116,0
19-14-56,114.071671,22.530367,1
19-15-2,114.060265,22.523750,0
19-15-4,114.060265,22.523750,1
19-15-10,114.045799,22.523968,0
19-15-14,114.046417,22.524384,1
19-15-38,114.051468,22.528151,0
19-15-40,114.051468,22.528151,1
19-15-45,114.051468,22.528151,0
19-15-46,114.051468,22.528151,1
19-15-57,114.088432,22.564583,0
19-15-58,114.088432,22.564583,1
19-16-12,114.088432,22.564583,0
19-16-25,114.117798,22.569450,1
19-16-33,114.122231,22.579300,0
19-16-56,114.130402,22.609350,1
19-17-0,114.129150,22.605066,0
19-17-32,114.111000,22.586967,1
19-17-44,114.136383,22.569817,0
19-17-46,114.135719,22.566650,1
19-19-16,114.063271,22.571117,0
19-19-17,114.064331,22.571217,1
19-19-31,114.101997,22.553633,0
19-19-35,114.101379,22.557684,1
19-19-53,114.068451,22.523817,0
19-19-59,114.069771,22.538584,1
19-20-5,114.084518,22.536533,0
19-20-15,114.094818,22.541567,1
19-20-19,114.078934,22.535351,0
19-20-36,114.101601,22.543200,1
19-20-55,113.977203,22.539618,0
19-20-58,113.980331,22.539600,1
19-21-6,114.004082,22.537582,0
19-21-11,114.006950,22.538017,1
19-21-27,114.058334,22.525784,0
19-21-29,114.060081,22.525984,1
19-21-33,114.068466,22.523899,0
19-21-37,114.067818,22.523884,1
19-21-48,114.030586,22.520132,0
19-21-53,114.031418,22.523767,1
19-22-22,114.158485,22.611418,0
19-22-51,114.120285,22.573950,1
19-23-1,114.105064,22.551350,0
19-23-5,114.105064,22.551350,1
19-23-19,114.112114,22.542000,0
20-0-10,114.049850,22.562149,1
20-0-19,114.071152,22.545282,0
20-0-54,114.115700,22.555700,1
20-1-6,114.114586,22.553101,0
20-1-40,114.096634,22.566383,1
20-1-47,114.096634,22.566383,0
20-1-48,114.096634,22.566383,1
20-2-15,114.031586,22.648867,0
20-7-8,114.134483,22.617117,1
20-7-20,114.118866,22.579468,0
20-7-22,114.118866,22.579468,1
20-7-32,114.084618,22.570932,0
20-7-52,114.045784,22.567400,1
20-8-12,114.009697,22.534750,0
20-9-40,113.971016,22.561300,1
20-9-43,113.963615,22.569817,0
20-9-46,113.959747,22.572767,1
20-10-4,113.954132,22.543617,0
20-10-15,113.945183,22.506550,1
20-11-29,113.903603,22.530199,0
20-10-31,113.903603,22.530233,1
20-10-42,113.874969,22.552567,0
20-10-53,113.919769,22.542967,1
20-11-0,113.927536,22.515800,0
20-11-1,113.927681,22.513901,1
20-11-12,114.020569,22.531767,0
20-11-12,114.020752,22.531918,1
20-11-25,114.054604,22.577700,0
20-11-27,114.054016,22.573299,1
20-11-39,114.062668,22.549368,0
20-11-46,114.058769,22.527700,1
20-11-54,114.104752,22.542049,0
20-11-55,114.104752,22.542049,1
20-12-0,114.114037,22.531782,0
20-12-5,114.116867,22.541332,1
20-12-15,114.117317,22.545267,0
20-12-16,114.117317,22.545267,1
20-12-26,114.093597,22.562567,0
20-12-29,114.092697,22.561350,1
20-12-41,114.060150,22.527582,0
20-12-43,114.056915,22.525917,1
20-12-49,114.040565,22.523767,0
20-13-28,114.107018,22.536417,1
20-13-37,114.116585,22.550249,0
20-13-39,114.118301,22.551701,1
20-13-59,114.054214,22.531782,0
20-14-1,114.054214,22.531782,1
20-14-6,114.054214,22.531782,0
20-14-8,114.054214,22.531782,1
20-14-20,114.054214,22.531782,0
20-14-21,114.054214,22.531782,1
20-14-35,114.054214,22.531782,0
20-14-36,114.054214,22.531782,1
20-14-41,114.104965,22.545601,0
20-14-47,114.105133,22.551533,1
20-15-8,114.165016,22.564367,0
20-15-14,114.155884,22.560017,1
20-15-25,114.122185,22.540083,0
20-15-28,114.122185,22.540083,1
20-15-42,114.043930,22.524950,0
20-15-45,114.047470,22.518551,1
20-15-59,114.015633,22.535917,0
20-16-53,114.130333,22.609383,1
20-17-1,114.112366,22.603901,0
20-17-3,114.111435,22.602800,1
20-17-26,114.110451,22.541733,0
20-17-43,114.113564,22.534483,1
20-17-55,114.122986,22.548468,0
20-18-14,114.130203,22.546932,1
20-18-19,114.120750,22.542383,0
20-18-22,114.117569,22.544468,1
20-18-39,114.112251,22.598000,0
20-18-43,114.111015,22.586849,1
20-18-50,114.116486,22.549267,0
20-18-50,114.116486,22.549267,1
20-19-17,114.068451,22.523884,0
20-19-21,114.067635,22.523916,1
20-19-41,114.025581,22.526234,0
20-19-45,114.027451,22.526567,1
20-21-7,113.945015,22.540583,0
20-21-10,113.946686,22.541718,1
20-21-17,113.915451,22.542316,0
20-21-25,113.925568,22.532682,1
20-21-45,114.101433,22.541201,0
20-21-48,114.101936,22.542601,1
20-21-58,114.116653,22.539049,0
20-22-2,114.114830,22.534767,1
20-22-10,114.138100,22.569117,0
20-22-11,114.138100,22.569117,1
20-22-18,114.130699,22.551050,0
20-23-3,114.129601,22.547466,1
20-23-8,114.129547,22.544333,0
20-23-33,114.130119,22.543818,1
20-23-54,114.033417,22.615450,0
20-23-59,114.042664,22.602217,1
21-0-14,114.110970,22.593384,0
21-0-21,114.119316,22.590834,1
21-0-32,114.131035,22.548683,0
21-0-50,114.120499,22.569151,1
21-1-7,114.118797,22.540283,0
21-1-47,114.125252,22.566183,1
21-2-1,114.183250,22.639668,0
21-2-33,114.114334,22.587084,1
21-2-44,114.104248,22.634268,0
21-7-20,114.130981,22.610884,1
21-7-28,114.110565,22.587299,0
21-7-30,114.111015,22.586767,1
21-7-39,114.117104,22.580099,0
21-7-44,114.116653,22.580017,1
21-8-22,114.007080,22.538116,0
21-8-26,114.004753,22.537617,1
21-8-38,114.036736,22.529350,0
21-8-41,114.033432,22.527666,1
21-8-50,114.011665,22.555866,0
21-8-54,114.013931,22.557318,1
21-9-9,114.061783,22.562517,0
21-9-10,114.061485,22.562500,1
21-9-26,114.096947,22.551783,0
21-9-28,114.096848,22.555117,1
21-10-18,113.908585,22.479517,0
21-10-23,113.910080,22.493032,1
21-10-39,113.919403,22.529900,0
21-10-42,113.922997,22.529682,1
21-10-52,113.909981,22.531384,0
21-10-58,113.916267,22.535566,1
21-11-9,113.950546,22.541901,0
21-11-50,114.036583,22.558500,1
21-11-54,114.049217,22.563683,0
21-12-4,114.080467,22.557800,1
21-12-12,114.081085,22.551634,0
21-12-17,114.084831,22.555750,1
21-12-25,114.100670,22.552099,0
21-12-26,114.101784,22.552366,1
21-12-33,114.085297,22.556168,0
21-13-44,114.120834,22.579451,1
21-14-5,114.026520,22.536167,0
21-14-8,114.026520,22.537001,1
21-14-17,114.050797,22.525850,0
21-14-21,114.052284,22.531349,1
21-14-25,114.060020,22.525917,0
21-14-31,114.058517,22.525183,1
21-14-35,114.062401,22.519266,0
21-14-35,114.060684,22.518867,1
21-14-43,114.024849,22.527233,0
21-14-48,114.023979,22.526150,1
21-14-59,114.062881,22.517599,0
21-15-2,114.063080,22.517782,1
21-15-21,114.025803,22.537132,0
21-15-24,114.027046,22.537300,1
21-15-51,114.025146,22.537018,0
21-16-19,114.024101,22.531349,1
21-16-41,114.056984,22.531567,0
21-16-58,114.056984,22.531567,1
21-17-0,114.056984,22.531567,0
21-17-24,114.128830,22.604050,1
21-17-33,114.110748,22.587233,0
21-17-36,114.110748,22.587233,1
21-17-37,114.110748,22.587233,0
21-17-37,114.110748,22.587233,1
21-17-37,114.110748,22.587233,0
21-17-41,114.110748,22.587233,1
21-17-49,114.109268,22.541817,0
21-17-50,114.109268,22.541817,1
21-18-10,114.133797,22.549400,0
21-18-10,114.133797,22.549400,1
21-18-17,114.122734,22.549183,0
21-18-33,114.122414,22.540567,1
21-18-53,114.084099,22.549351,0
21-18-54,114.084000,22.551582,1
21-19-21,114.136330,22.579782,0
21-19-21,114.136734,22.580099,1
21-19-28,114.137718,22.570566,0
21-19-30,114.133003,22.571417,1
21-19-40,114.117401,22.544718,0
21-19-44,114.115700,22.544216,1
21-19-59,114.121651,22.580683,0
21-20-11,114.123985,22.567301,1
21-20-17,114.107651,22.567699,0
21-20-19,114.107635,22.569468,1
21-20-25,114.111916,22.586500,0
21-20-37,114.102219,22.572132,1
21-20-42,114.105400,22.558517,0
21-20-45,114.115349,22.558350,1
21-20-55,114.119583,22.540800,0
21-21-3,114.131737,22.544367,1
21-21-8,114.129768,22.544018,0
21-21-12,114.121651,22.540367,1
21-21-21,114.172516,22.566982,0
21-21-30,114.165733,22.564417,1
21-21-35,114.168434,22.571484,0
21-21-40,114.158936,22.566732,1
21-21-45,114.150780,22.552200,0
21-21-48,114.149101,22.545200,1
21-22-10,114.043671,22.527617,0
21-22-14,114.040298,22.530684,1
21-22-24,114.043083,22.568518,0
21-22-58,114.094734,22.555067,1
21-23-2,114.123886,22.562134,0
21-23-13,114.124535,22.567232,1
21-23-22,114.113548,22.541367,0
21-23-29,114.121368,22.543234,1
21-23-35,114.122353,22.551250,0
21-23-37,114.122353,22.551250,1
21-23-43,114.116402,22.546450,0
21-23-48,114.116402,22.546450,1
21-23-52,114.112083,22.538366,0
22-2-28,114.117165,22.581051,1
22-2-39,114.115616,22.538799,0
22-2-40,114.115997,22.539017,1
22-2-42,114.117203,22.538668,0
22-7-9,114.137749,22.609333,1
22-7-46,113.938202,22.546118,0
22-7-50,113.940620,22.544617,1
22-7-58,113.948830,22.561399,0
22-8-1,113.946732,22.560682,1
22-8-19,113.916298,22.535950,0
22-8-23,113.915970,22.531267,1
22-8-47,113.929947,22.499184,0
22-8-48,113.929230,22.498249,1
22-9-33,114.011681,22.569550,0
22-9-43,114.011681,22.569550,1
22-10-12,114.009781,22.589167,0
22-10-42,114.017036,22.528883,1
22-10-50,114.009666,22.534834,0
22-10-58,114.009354,22.534834,1
22-11-21,114.088631,22.555450,0
22-11-25,114.090080,22.551750,1
22-11-34,114.089836,22.551666,0
22-11-38,114.089836,22.551666,1
22-11-42,114.089836,22.551666,0
22-11-44,114.089836,22.551666,1
22-11-58,114.091286,22.561434,0
22-12-0,114.092598,22.561367,1
22-12-24,113.970947,22.539568,0
22-12-32,113.982399,22.536083,1
22-12-39,114.019684,22.536051,0
22-12-40,114.019684,22.536051,1
