time,jd,wd,status
18-0,114.058197,22.534117,1
18-0,114.067467,22.566868,0
18-1,114.071136,22.544451,1
18-1,114.075836,22.534401,0
18-3,114.073853,22.537666,1
18-3,114.089447,22.539217,0
18-3,114.087532,22.548433,1
18-3,114.139717,22.564983,0
18-3,114.132751,22.555384,1
18-4,114.106949,22.613216,0
18-4,114.111450,22.607718,1
18-4,114.098602,22.575451,0
18-5,114.074715,22.532932,1
18-5,114.068199,22.523617,0
18-6,114.075729,22.537018,1
18-6,114.079597,22.545517,0
18-6,114.081566,22.544683,1
18-6,114.084503,22.570999,0
18-6,114.035187,22.543882,1
18-6,114.025467,22.531517,0
18-7,114.022781,22.524401,1
18-7,114.055519,22.514000,0
18-7,114.056152,22.514267,1
18-8,114.050903,22.549282,0
18-8,114.043884,22.524799,1
18-8,114.033684,22.518433,0
18-8,114.033600,22.518417,1
18-8,114.025803,22.537132,0
18-8,114.017433,22.532017,1
18-8,114.067619,22.526783,0
18-8,114.073051,22.531683,1
18-9,114.113869,22.537518,0
18-9,114.113884,22.538067,1
18-9,114.126747,22.547916,0
18-9,114.129303,22.548317,1
18-9,114.058784,22.545433,0
18-9,114.057014,22.537718,1
18-10,114.055733,22.569651,0
18-10,114.053131,22.565300,1
18-10,114.050484,22.541367,0
18-11,114.036613,22.556017,1
18-11,113.930534,22.521851,0
18-11,113.941017,22.524967,1
18-12,114.114349,22.534117,0
18-12,114.116837,22.535967,1
18-12,114.121735,22.567583,0
18-12,114.077469,22.553499,1
18-13,114.081718,22.542868,0
18-13,114.075867,22.532034,1
18-13,114.068451,22.523951,0
18-13,114.066986,22.525667,1
18-13,114.111870,22.597418,0
18-14,114.112221,22.585417,1
18-14,114.065186,22.551332,0
18-14,114.060280,22.549601,1
18-14,114.049667,22.562517,0
18-14,114.043869,22.557182,1
18-15,113.963921,22.544184,0
18-15,113.929016,22.542801,1
18-15,113.919121,22.513666,0
18-15,113.944580,22.523968,1
18-16,113.945320,22.506550,0
18-16,113.945419,22.506550,1
18-16,114.020966,22.652950,0
18-16,114.022316,22.642134,1
18-17,114.110100,22.553133,0
18-17,114.109619,22.547466,1
18-18,114.063316,22.517799,0
18-18,114.062737,22.517834,1
18-18,113.814651,22.649799,0
18-20,114.110580,22.545349,1
18-20,114.143448,22.549749,0
18-20,114.119850,22.543949,1
18-20,114.116432,22.547968,0
18-20,114.121819,22.547251,1
18-20,114.117836,22.544250,0
18-20,114.112717,22.544367,1
18-21,114.113136,22.550016,0
18-21,114.108665,22.541782,1
18-21,113.977165,22.561483,0
18-21,113.960884,22.558701,1
18-22,114.087601,22.573099,0
18-22,114.093132,22.570482,1
18-22,114.013603,22.544950,0
18-22,114.032066,22.547333,1
18-22,114.077850,22.547033,0
18-22,114.079247,22.545033,1
18-22,114.065186,22.533817,0
18-22,114.078835,22.540466,1
18-23,114.083931,22.548218,0
18-23,114.082535,22.549433,1
18-23,114.063782,22.537718,0
18-23,114.078232,22.546967,1
18-23,114.028336,22.526350,0
19-0,114.021767,22.525818,1
19-0,114.113632,22.538300,0
19-0,114.086433,22.537666,1
19-0,114.070282,22.545868,0
19-0,114.070198,22.545584,1
19-1,114.112053,22.603033,0
