time,jd,wd,status
18-0-36,114.074486,22.542368,1
18-1-2,114.020164,22.634350,0
18-1-18,114.032814,22.629150,1
18-1-29,114.067520,22.568768,0
18-1-43,114.103996,22.553717,1
18-1-45,114.104485,22.556467,0
18-2-22,114.115364,22.596416,1
18-2-30,114.107597,22.597567,0
18-2-38,114.112900,22.584482,1
18-2-45,114.121002,22.557533,0
18-2-53,114.114632,22.588083,1
18-2-53,114.115631,22.588367,0
18-3-7,114.137047,22.626083,1
18-3-8,114.135735,22.624733,0
18-8-16,114.091270,22.561399,1
18-8-33,114.118446,22.542917,0
18-8-35,114.121269,22.539633,1
18-8-38,114.114380,22.534500,0
18-8-43,114.112099,22.537317,1
18-9-10,114.058296,22.535316,0
18-9-16,114.059349,22.527349,1
18-9-21,114.071548,22.527582,0
18-9-25,114.072197,22.530233,1
18-9-36,114.081749,22.548233,0
18-9-40,114.081886,22.554033,1
18-9-59,114.031830,22.637068,0
18-10-4,114.034370,22.625999,1
18-10-45,114.080971,22.537184,0
18-10-47,114.078186,22.534033,1
18-10-57,114.068466,22.524117,0
18-11-26,114.076248,22.534750,1
18-11-41,114.020630,22.544533,0
18-11-53,114.002930,22.536650,1
18-11-56,114.021446,22.538834,0
18-12-6,114.026566,22.537268,1
18-12-15,114.024986,22.527567,0
18-12-25,114.037819,22.523649,1
18-12-32,114.063049,22.517532,0
18-12-49,114.063019,22.517767,1
18-13-0,114.023399,22.539633,0
18-13-13,114.014069,22.549482,1
18-13-15,114.021332,22.539383,0
18-13-25,114.019119,22.544416,1
18-13-31,114.041069,22.555950,0
18-13-45,114.080399,22.573816,1
18-13-50,114.056480,22.566133,0
18-13-52,114.050766,22.565100,1
18-14-2,114.010231,22.548367,0
18-14-5,114.013100,22.547132,1
18-14-9,114.018768,22.540533,0
18-14-12,114.012100,22.548651,1
18-14-32,114.016319,22.554600,0
18-14-37,114.031418,22.558384,1
18-15-0,114.048065,22.539433,0
18-15-1,114.047165,22.539450,1
18-15-6,114.075249,22.542883,0
18-15-18,114.099464,22.545418,1
18-15-24,114.089203,22.543467,0
18-15-28,114.090736,22.545483,1
18-15-40,114.107880,22.546850,0
18-15-41,114.107903,22.546717,1
18-15-51,114.107635,22.569550,0
18-15-54,114.107452,22.567883,1
18-16-4,114.114632,22.546818,0
18-16-6,114.112633,22.546049,1
18-16-18,114.129501,22.546949,0
18-16-19,114.129585,22.548183,1
18-16-23,114.116814,22.547934,0
18-16-24,114.116432,22.549084,1
18-16-40,114.134537,22.617167,0
18-17-25,114.100052,22.558718,1
18-17-33,114.092567,22.568150,0
18-17-34,114.090134,22.567568,1
18-17-36,114.083237,22.571966,0
18-17-39,114.082253,22.573683,1
18-18-2,114.115265,22.553967,0
18-18-6,114.116631,22.548849,1
18-18-32,114.043533,22.567617,0
18-18-53,114.041054,22.544399,1
18-19-3,114.053352,22.527718,0
18-19-8,114.052734,22.538532,1
