time,jd,wd,status
18-0-33,113.909966,22.531267,0
18-0-41,113.909698,22.531549,1
18-0-44,113.913101,22.539249,0
18-0-47,113.918518,22.542950,1
18-0-50,113.923149,22.534033,0
18-2-23,113.920784,22.543768,1
18-2-29,113.920403,22.521917,0
18-2-37,113.919083,22.543467,1
18-2-43,113.918266,22.526051,0
18-2-56,113.920700,22.543800,1
18-3-0,113.916130,22.533100,0
18-6-57,113.909065,22.517567,1
18-7-6,113.866516,22.508467,0
18-7-17,113.900887,22.513950,1
18-7-50,113.816086,22.647167,0
18-8-6,113.889549,22.569967,1
18-8-40,113.920502,22.520233,0
18-8-40,113.920319,22.520117,1
18-8-44,113.908569,22.515717,0
18-8-47,113.908417,22.515150,1
18-9-12,113.938004,22.559851,0
18-9-20,113.923302,22.529533,1
18-9-33,113.974548,22.536682,0
18-9-35,113.974350,22.536900,1
18-10-6,114.062737,22.517651,0
18-10-16,114.063332,22.517799,1
18-10-39,113.963181,22.533550,0
18-10-46,113.962151,22.547068,1
18-11-0,113.916153,22.510017,0
18-11-6,113.920250,22.512632,1
18-11-31,113.909897,22.563618,0
18-11-34,113.903130,22.562799,1
18-11-57,114.055847,22.570732,0
18-12-1,114.053970,22.567051,1
18-12-9,114.063049,22.538183,0
18-12-41,114.075966,22.542017,1
18-12-53,114.051102,22.511150,0
18-12-54,114.050316,22.511450,1
18-13-1,114.046684,22.525700,0
18-13-29,114.001579,22.536150,1
18-13-41,113.920982,22.543318,0
18-13-44,113.918236,22.552834,1
18-14-2,113.879829,22.593184,0
18-14-18,113.893784,22.559700,1
18-14-34,113.962196,22.534166,0
18-14-43,113.963615,22.542667,1
18-15-1,113.896248,22.569782,0
18-15-2,113.896248,22.569782,1
18-15-14,113.879616,22.593082,0
18-15-39,113.905930,22.538267,1
18-16-13,114.104218,22.545050,0
18-16-13,114.104218,22.545050,1
18-16-17,114.098114,22.543550,0
18-16-33,114.086899,22.542732,1
18-16-58,113.930664,22.543699,0
18-17-16,113.941032,22.535618,1
18-17-50,114.113586,22.534517,0
18-17-53,114.113586,22.534517,1
18-18-15,114.104797,22.545700,0
18-18-17,114.105133,22.545668,1
18-18-24,114.103180,22.544750,0
18-18-26,114.100929,22.543833,1
18-18-46,114.120651,22.568783,0
18-18-49,114.121620,22.567850,1
18-19-6,114.140701,22.577066,0
18-19-10,114.137436,22.571350,1
18-20-10,114.046417,22.570566,0
18-20-26,114.050934,22.549217,1
18-20-33,114.046783,22.528450,0
18-20-44,114.053596,22.537582,1
18-20-49,114.068283,22.523567,0
18-20-51,114.068016,22.528683,1
18-20-58,114.058914,22.520550,0
18-21-0,114.058418,22.523483,1
18-21-3,114.062714,22.518999,0
18-21-7,114.060898,22.525967,1
18-21-30,114.025635,22.631983,0
18-21-50,114.054871,22.549450,1
18-21-55,114.042000,22.546967,0
18-22-0,114.043633,22.550350,1
18-22-4,114.059052,22.562532,0
18-22-13,114.057236,22.551250,1
18-22-28,114.106171,22.555401,0
18-22-53,114.089729,22.564667,1
18-22-58,114.051048,22.567200,0
18-23-18,114.051483,22.547951,1
18-23-24,114.063782,22.545366,0
18-23-29,114.076248,22.547750,1
18-23-44,114.033897,22.607668,0
18-23-46,114.034470,22.607050,1
19-0-15,114.082230,22.543016,0
19-0-26,114.089249,22.564501,1
19-0-32,114.042099,22.559732,0
19-2-55,113.928680,22.545732,1
19-3-18,114.098297,22.579866,0
19-3-21,114.098152,22.575832,1
19-3-24,114.106064,22.590134,0
19-3-46,114.071548,22.543167,1
19-3-57,114.029434,22.527901,0
19-6-44,113.928413,22.549334,1
19-6-47,113.919319,22.555300,0
19-7-4,113.901047,22.514017,1
19-7-26,114.043449,22.557899,0
19-7-28,114.039146,22.565884,1
19-7-44,114.021484,22.539482,0
19-7-57,113.963615,22.544300,1
19-8-24,114.068550,22.523718,0
19-8-32,114.062950,22.527884,1
19-8-48,114.097351,22.568916,0
19-8-48,114.097351,22.568916,1
19-9-10,114.089333,22.543882,0
19-9-15,114.084816,22.551718,1
19-9-20,114.099701,22.549232,0
19-9-21,114.102020,22.545767,1
19-9-32,114.059303,22.546682,0
19-9-40,114.065186,22.557768,1
19-9-49,114.036400,22.543400,0
19-9-52,114.035034,22.545799,1
19-10-2,114.035233,22.529917,0
19-10-3,114.035233,22.529917,1
19-10-22,114.115784,22.534384,0
19-10-25,114.115784,22.534384,1
19-10-29,114.119965,22.541100,0
19-10-31,114.120514,22.538700,1
19-10-38,114.114998,22.534950,0
19-10-42,114.114517,22.534599,1
19-11-2,114.019333,22.533001,0
19-11-13,114.007568,22.537268,1
19-11-41,113.908264,22.479366,0
19-11-49,113.915802,22.492750,1
19-12-8,113.866432,22.508400,0
19-12-9,113.866768,22.506468,1
19-12-13,113.883133,22.496634,0
19-12-42,113.908150,22.515017,1
19-12-45,113.900169,22.513350,0
19-13-10,113.924629,22.490250,1
19-13-31,113.976265,22.562082,0
19-13-43,113.946098,22.543383,1
19-13-49,113.922935,22.551933,0
19-13-54,113.918365,22.540518,1
19-14-3,113.920464,22.520033,0
19-14-4,113.920097,22.519583,1
19-14-9,113.918518,22.508266,0
19-14-12,113.918266,22.508183,1
19-14-30,113.952934,22.576250,0
19-14-44,113.963898,22.546568,1
19-14-55,113.964149,22.534849,0
19-14-57,113.963951,22.534767,1
19-15-4,113.946236,22.537567,0
19-15-6,113.945114,22.538782,1
19-15-13,113.919418,22.541433,0
19-15-21,113.923370,22.528500,1
19-15-29,113.933548,22.548317,0
19-15-34,113.925568,22.535418,1
19-15-38,113.923019,22.548883,0
19-15-43,113.919853,22.550600,1
19-16-5,113.980186,22.588100,0
19-16-12,113.960281,22.585051,1
19-16-21,113.946617,22.561533,0
19-16-28,113.940636,22.559349,1
19-16-40,113.916801,22.535784,0
19-17-7,113.940598,22.540234,1
19-17-17,113.949585,22.578768,0
19-17-25,113.954269,22.549667,1
19-17-31,113.944618,22.525900,0
19-17-33,113.944099,22.525867,1
19-17-46,113.968582,22.540533,0
19-17-53,113.946671,22.543449,1
19-18-20,113.865219,22.582283,0
19-19-23,113.814079,22.651251,1
19-19-46,113.945686,22.559267,0
19-19-52,113.940369,22.552601,1
19-20-12,114.041832,22.530867,0
19-20-22,114.047920,22.538151,1
19-20-28,114.038101,22.523701,0
19-20-37,114.020287,22.535917,1
19-20-45,114.053665,22.549400,0
19-20-49,114.047852,22.546883,1
19-21-5,114.117050,22.539017,0
19-21-7,114.115829,22.539301,1
19-21-16,114.102768,22.552816,0
19-21-24,114.095398,22.558567,1
19-21-38,114.040352,22.611500,0
19-21-51,114.054985,22.549500,1
19-21-56,114.042030,22.553516,0
19-21-58,114.042099,22.553633,1
19-22-4,114.059280,22.527834,0
19-22-6,114.059280,22.527834,1
19-22-10,114.079483,22.535433,0
19-22-11,114.079483,22.535433,1
19-22-17,114.112450,22.535917,0
19-22-23,114.113647,22.534599,1
19-22-24,114.118347,22.537399,0
19-22-25,114.121017,22.538500,1
19-22-29,114.138069,22.547167,0
19-22-31,114.136780,22.546432,1
19-22-39,114.116699,22.536217,0
19-22-46,114.114304,22.534700,1
19-22-49,114.117851,22.537117,0
19-22-59,114.113831,22.534166,1
19-23-6,114.116501,22.540533,0
19-23-8,114.115967,22.541834,1
19-23-20,114.093132,22.566299,0
20-0-19,114.089714,22.564449,1
20-0-22,114.099831,22.569817,0
20-1-4,114.089218,22.564466,1
20-1-13,114.036034,22.611732,0
20-6-48,113.927467,22.546516,1
20-6-52,113.919830,22.534067,0
20-6-57,113.914864,22.539301,1
20-7-23,113.815697,22.647818,0
20-7-42,113.895264,22.564034,1
20-8-1,113.924080,22.529034,0
20-8-5,113.922600,22.526382,1
20-8-9,113.919563,22.534000,0
20-8-12,113.919731,22.533882,1
20-8-22,113.933617,22.520901,0
20-8-23,113.931915,22.521299,1
20-8-30,113.938484,22.536716,0
20-8-45,113.920998,22.526783,1
20-8-59,113.908470,22.484100,0
20-9-3,113.914551,22.489668,1
20-9-12,113.887932,22.480482,0
20-9-20,113.900299,22.513166,1
20-9-35,113.951683,22.542032,0
20-9-36,113.950066,22.542233,1
20-9-39,113.930618,22.543949,0
20-9-44,113.924164,22.530483,1
20-9-52,113.910782,22.539583,0
20-9-56,113.915451,22.541883,1
20-10-4,113.930603,22.543917,0
20-10-6,113.930717,22.543182,1
20-10-8,113.937798,22.549417,0
20-10-14,113.937119,22.548332,1
20-11-5,113.847466,22.768167,0
20-11-24,113.836670,22.728783,1
20-11-39,113.823036,22.674667,0
20-12-28,113.908401,22.515200,1
20-12-35,113.910164,22.539749,0
20-13-19,113.927666,22.549467,1
20-13-28,113.946548,22.560484,0
20-13-35,113.939880,22.543133,1
20-14-33,113.855682,22.568417,0
20-14-49,113.900932,22.559784,1
20-14-56,113.914520,22.537500,0
20-15-7,113.903900,22.516817,1
20-15-15,113.918983,22.534800,0
20-15-16,113.918983,22.534800,1
20-15-30,113.927567,22.546333,0
20-15-33,113.930283,22.547983,1
20-15-43,113.932182,22.520832,0
20-15-45,113.931084,22.521683,1
20-15-55,113.943268,22.506468,0
20-15-58,113.945282,22.506550,1
20-16-8,113.915970,22.534918,0
20-16-9,113.916397,22.535868,1
20-16-22,113.946800,22.560617,0
20-16-24,113.946564,22.561382,1
20-16-40,113.910202,22.547684,0
20-17-2,113.937233,22.535583,1
20-17-8,113.918816,22.527582,0
20-17-10,113.918900,22.527750,1
20-17-41,114.113632,22.534384,0
20-17-45,114.113632,22.534384,1
20-18-4,114.132164,22.583117,0
20-18-13,114.118263,22.564934,1
20-18-33,114.108864,22.547216,0
20-18-33,114.108864,22.547216,1
20-18-51,114.081947,22.547083,0
20-18-55,114.083885,22.548550,1
20-19-6,114.096481,22.561567,0
20-19-13,114.086586,22.558533,1
20-19-41,114.061134,22.574368,0
20-21-10,113.813271,22.647917,1
20-21-43,114.077187,22.543550,0
20-21-46,114.075714,22.544649,1
20-22-2,114.113503,22.535767,0
20-22-8,114.113686,22.534582,1
20-22-17,114.115448,22.579550,0
20-22-19,114.118019,22.580667,1
20-22-27,114.080803,22.554050,0
20-22-28,114.081413,22.553049,1
20-22-36,114.092850,22.543249,0
20-22-40,114.087814,22.543484,1
20-22-42,114.083481,22.548300,0
20-22-57,114.081253,22.549334,1
