time,jd,wd,status
18-0,113.923584,22.514784,1
18-0,113.921898,22.501183,0
18-1,114.016518,22.537783,1
18-1,114.010696,22.542368,0
18-2,114.015137,22.537483,1
18-2,113.976097,22.536882,0
18-2,113.920433,22.543249,1
18-2,113.924370,22.513184,0
18-2,113.924034,22.513166,1
18-3,113.919830,22.534082,0
18-3,113.814751,22.649517,1
18-4,114.066315,22.572617,0
18-4,113.903549,22.516632,1
18-4,113.882446,22.496517,0
18-5,113.901680,22.514717,1
18-6,113.816216,22.646700,0
18-6,113.887451,22.560551,1
18-6,113.923569,22.521116,0
18-6,113.908813,22.516382,1
18-7,113.866486,22.508183,0
18-7,113.890114,22.501568,1
18-7,113.938148,22.542482,0
18-8,114.043236,22.527651,1
18-8,114.051270,22.511101,0
18-9,114.042747,22.519484,1
18-9,114.044334,22.510983,0
18-9,114.044502,22.519617,1
18-10,114.078133,22.559250,0
18-10,114.062935,22.543167,1
18-10,114.032784,22.608116,0
18-10,114.035103,22.605883,1
18-11,114.006302,22.537268,0
18-11,113.965935,22.571150,1
18-11,113.971603,22.565399,0
18-12,113.991753,22.540199,1
18-12,113.962219,22.533951,0
18-12,113.961884,22.539383,1
18-12,113.974449,22.541149,0
18-12,113.992020,22.538733,1
18-12,113.940666,22.537018,0
18-12,113.940117,22.535767,1
18-12,113.924454,22.524950,0
18-13,113.919380,22.526800,1
18-13,114.104065,22.543318,0
18-13,114.103836,22.543150,1
18-14,114.055550,22.622566,0
18-14,114.051903,22.625233,1
18-14,114.055550,22.635933,0
18-14,114.055367,22.634899,1
18-14,114.066681,22.571182,0
18-14,114.063202,22.571100,1
18-14,113.981819,22.558083,0
18-15,113.921982,22.543167,1
18-15,113.910881,22.515167,0
18-15,113.917816,22.523268,1
18-15,113.918083,22.524683,0
18-16,113.938164,22.524082,1
18-16,113.948036,22.541117,0
18-16,113.949150,22.541750,1
18-16,113.950546,22.570499,0
18-17,113.963181,22.563784,1
18-17,113.975914,22.563950,0
18-17,113.983032,22.557100,1
18-17,113.974419,22.588266,0
18-17,113.953079,22.575001,1
18-17,113.949547,22.528650,0
18-18,113.923599,22.525766,1
18-18,113.927521,22.514133,0
18-18,113.927734,22.517651,1
18-19,113.919853,22.534201,0
18-19,113.923683,22.525749,1
18-19,113.932632,22.520517,0
18-20,113.917198,22.509100,1
18-21,113.896919,22.515100,0
18-21,113.917931,22.505516,1
18-21,113.957802,22.543234,0
18-21,113.952721,22.555967,1
18-21,114.012482,22.530333,0
18-22,114.080948,22.536516,1
18-22,114.018349,22.544216,0
18-22,114.022820,22.540817,1
18-22,114.022270,22.535467,0
18-22,114.027481,22.539066,1
18-22,114.038002,22.531633,0
18-22,114.022003,22.536583,1
18-22,114.045036,22.529318,0
18-22,114.042381,22.529217,1
18-22,114.117081,22.544634,0
18-23,114.110970,22.542418,1
18-23,114.106247,22.535999,0
18-23,114.107185,22.536367,1
18-23,114.110313,22.540632,0
18-23,114.077133,22.537800,1
18-23,114.076515,22.537933,0
19-0,114.067070,22.524950,1
19-0,114.129318,22.550983,0
19-1,114.062218,22.529417,1
19-1,114.062119,22.530300,0
19-1,114.078316,22.533167,1
19-1,114.113518,22.539682,0
19-3,113.940430,22.552500,1
19-3,113.949997,22.587032,0
19-4,113.916283,22.531218,1
19-4,113.871880,22.591183,0
19-4,113.910568,22.535383,1
19-5,113.816101,22.646883,0
19-5,113.870865,22.574734,1
19-5,113.913849,22.497084,0
19-6,113.926849,22.488033,1
19-6,113.943367,22.507084,0
19-6,113.926384,22.510799,1
19-6,113.920013,22.532984,0
