time,jd,wd,status
18-0,114.014297,22.669468,1
18-0,114.014297,22.669468,0
18-2,114.014297,22.669468,1
18-2,114.014297,22.669468,0
18-6,114.014297,22.669468,1
18-6,114.014297,22.669468,0
18-6,114.014297,22.669468,1
18-6,114.014297,22.669468,0
18-6,114.014297,22.669468,1
18-7,114.014297,22.669468,0
18-7,114.014297,22.669468,1
18-7,114.014297,22.669468,0
18-8,114.014297,22.669468,1
18-8,114.014297,22.669468,0
18-8,114.014297,22.669468,1
18-8,114.014297,22.669468,0
18-8,114.014297,22.669468,1
18-8,114.014297,22.669468,0
18-8,114.014297,22.669468,1
18-8,114.014297,22.669468,0
18-9,114.014297,22.669468,1
18-9,114.014297,22.669468,0
18-9,114.014297,22.669468,1
18-9,114.014297,22.669468,0
18-9,114.014297,22.669468,1
18-9,114.014297,22.669468,0
18-10,114.014297,22.669468,1
18-10,114.014297,22.669468,0
18-10,114.014297,22.669468,1
18-10,114.014297,22.669468,0
18-10,114.014297,22.669468,1
18-11,114.014297,22.669468,0
18-11,114.014297,22.669468,1
18-11,114.014297,22.669468,0
18-11,114.014297,22.669468,1
18-11,114.014297,22.669468,0
18-11,114.014297,22.669468,1
18-12,114.014297,22.669468,0
18-12,114.014297,22.669468,1
18-12,114.014297,22.669468,0
18-12,114.014297,22.669468,1
18-12,114.014297,22.669468,0
18-13,114.014297,22.669468,1
18-13,114.014297,22.669468,0
18-13,114.014297,22.669468,1
18-13,114.014297,22.669468,0
18-13,114.014297,22.669468,1
18-13,114.014297,22.669468,0
18-14,114.014297,22.669468,1
18-14,114.014297,22.669468,0
18-14,114.014297,22.669468,1
18-15,114.014297,22.669468,0
18-15,114.014297,22.669468,1
18-15,114.014297,22.669468,0
18-15,114.014297,22.669468,1
18-15,114.014297,22.669468,0
18-15,114.014297,22.669468,1
18-15,114.014297,22.669468,0
18-15,114.014297,22.669468,1
18-16,114.014297,22.669468,0
18-16,114.014297,22.669468,1
18-16,114.014297,22.669468,0
18-16,114.014297,22.669468,1
18-16,114.014297,22.669468,0
18-16,114.014297,22.669468,1
18-16,114.014297,22.669468,0
18-16,114.014297,22.669468,1
18-16,114.014297,22.669468,0
18-16,114.014297,22.669468,1
18-16,114.014297,22.669468,0
18-17,114.014297,22.669468,1
18-17,114.014297,22.669468,0
18-17,114.014297,22.669468,1
18-18,114.014297,22.669468,0
18-18,114.014297,22.669468,1
18-18,114.014297,22.669468,0
18-18,114.014297,22.669468,1
18-19,114.014297,22.669468,0
18-20,114.014297,22.669468,1
18-20,114.014297,22.669468,0
18-20,114.014297,22.669468,1
18-20,114.014297,22.669468,0
18-22,114.014297,22.669468,1
18-22,114.014297,22.669468,0
19-6,114.014297,22.669468,1
19-6,114.014297,22.669468,0
19-7,114.014297,22.669468,1
19-7,114.014297,22.669468,0
19-7,114.014297,22.669468,1
19-7,114.014297,22.669468,0
19-7,114.014297,22.669468,1
19-8,114.014297,22.669468,0
19-8,113.859734,22.632868,1
19-8,113.862320,22.660151,0
19-9,113.920303,22.673117,1
19-9,113.920303,22.673117,0
19-10,113.920303,22.673117,1
19-10,113.920303,22.673117,0
19-10,113.920303,22.673117,1
19-11,113.920303,22.673117,0
19-11,113.920303,22.673117,1
19-11,113.920303,22.673117,0
19-13,113.920303,22.673117,1
19-13,113.920303,22.673117,0
19-14,113.920303,22.673117,1
19-14,113.920303,22.673117,0
19-14,113.920303,22.673117,1
19-14,113.920303,22.673117,0
19-14,113.920303,22.673117,1
19-14,113.920303,22.673117,0
19-15,113.920303,22.673117,1
19-15,113.920303,22.673117,0
19-15,113.920303,22.673117,1
19-15,113.920303,22.673117,0
19-15,113.920303,22.673117,1
19-16,113.920303,22.673117,0
19-16,113.920303,22.673117,1
19-16,113.920303,22.673117,0
19-16,113.920303,22.673117,1
19-17,113.920303,22.673117,0
19-17,113.920303,22.673117,1
19-17,113.920303,22.673117,0
19-17,113.920303,22.673117,1
19-17,113.920303,22.673117,0
19-17,113.920303,22.673117,1
19-18,113.920303,22.673117,0
19-18,113.920303,22.673117,1
19-18,113.920303,22.673117,0
19-20,113.920303,22.673117,1
19-20,113.920303,22.673117,0
19-21,113.920303,22.673117,1
19-21,113.920303,22.673117,0
19-21,113.920303,22.673117,1
19-21,113.920303,22.673117,0
19-22,113.920303,22.673117,1
19-22,113.920303,22.673117,0
19-22,113.920303,22.673117,1
19-23,113.920303,22.673117,0
19-23,113.920303,22.673117,1
19-23,113.920303,22.673117,0
19-23,113.920303,22.673117,1
19-23,113.920303,22.673117,0
20-0,113.920303,22.673117,1
20-1,113.920303,22.673117,0
20-6,113.920303,22.673117,1
20-6,113.920303,22.673117,0
20-7,113.920303,22.673117,1
20-7,113.920303,22.673117,0
20-7,113.920303,22.673117,1
20-7,113.920303,22.673117,0
20-7,113.920303,22.673117,1
20-7,113.920303,22.673117,0
20-7,113.920303,22.673117,1
20-7,113.920303,22.673117,0
20-7,113.920303,22.673117,1
20-7,113.920303,22.673117,0
20-7,113.920303,22.673117,1
20-8,113.920303,22.673117,0
20-8,113.920303,22.673117,1
20-8,113.920303,22.673117,0
20-8,113.920303,22.673117,1
20-8,113.920303,22.673117,0
20-8,113.920303,22.673117,1
20-9,113.920303,22.673117,0
20-9,113.920303,22.673117,1
20-9,113.920303,22.673117,0
20-10,113.920303,22.673117,1
20-10,113.920303,22.673117,0
20-10,113.920303,22.673117,1
20-10,113.920303,22.673117,0
20-10,113.920303,22.673117,1
20-11,113.920303,22.673117,0
20-11,113.920303,22.673117,1
20-12,113.920303,22.673117,0
20-12,113.920303,22.673117,1
