time,jd,wd,status
18-8-50,114.121765,22.566868,1
18-9-2,114.101852,22.564783,0
18-9-6,114.089371,22.564550,1
18-9-31,114.113899,22.531782,0
18-9-37,114.113831,22.534134,1
18-9-47,114.099602,22.547684,0
18-9-48,114.099602,22.547684,1
18-10-9,113.996269,22.529167,0
18-10-15,114.014320,22.537367,1
18-10-27,114.062553,22.517567,0
18-10-34,114.063583,22.517567,1
18-10-41,114.073051,22.531616,0
18-10-48,114.087097,22.537268,1
18-11-27,113.908363,22.480000,0
18-11-28,113.908730,22.479851,1
18-12-5,114.107803,22.547632,0
18-12-36,114.093987,22.561483,1
18-12-42,114.081482,22.550550,0
18-12-47,114.077316,22.547033,1
18-13-0,114.040833,22.604467,0
18-13-21,114.047600,22.593582,1
18-13-36,114.086800,22.540751,0
18-14-5,114.027832,22.522467,1
18-14-29,114.081451,22.558983,0
18-17-40,114.045181,22.558216,1
18-17-57,114.034920,22.541668,0
18-18-1,114.019669,22.539133,1
18-18-6,114.011131,22.542601,0
18-18-10,114.015404,22.541817,1
18-18-19,114.039917,22.551916,0
18-18-22,114.039864,22.547216,1
18-18-35,114.025620,22.526400,0
18-18-37,114.025116,22.527849,1
18-18-52,114.046951,22.540016,0
18-18-53,114.047836,22.538782,1
18-19-5,114.022385,22.536667,0
18-19-6,114.022385,22.536667,1
18-19-18,114.068398,22.523884,0
18-19-20,114.067863,22.523884,1
18-20-11,114.126663,22.570749,0
18-20-14,114.125420,22.570200,1
18-20-19,114.124550,22.553967,0
18-20-24,114.123268,22.548651,1
18-20-37,114.081566,22.546833,0
18-20-43,114.081802,22.544382,1
18-20-48,114.082001,22.535116,0
18-20-55,114.078636,22.542749,1
18-21-6,114.084534,22.555384,0
18-21-10,114.081932,22.552267,1
18-21-26,114.052452,22.528467,0
18-21-30,114.051384,22.535282,1
18-21-45,114.021164,22.529484,0
18-21-46,114.021164,22.529484,1
18-22-3,113.943214,22.506451,0
18-22-14,113.944786,22.506718,1
18-22-24,113.920815,22.538799,0
18-22-26,113.919167,22.541533,1
18-22-32,113.932419,22.522318,0
18-22-44,113.930832,22.544233,1
18-22-57,113.858536,22.585133,0
18-23-9,113.818916,22.647182,1
18-23-10,113.818848,22.647583,0
18-23-42,113.815063,22.649733,1
19-0-4,113.992699,22.533833,0
19-0-56,113.989151,22.539083,1
19-1-25,113.821198,22.675467,0
19-6-1,114.041031,22.604050,1
19-7-10,113.815102,22.649017,0
19-9-58,113.816185,22.647449,1
19-10-28,113.968315,22.545033,0
19-10-38,114.004181,22.533167,1
19-11-41,114.111717,22.530199,0
19-11-45,114.111969,22.530884,1
19-11-57,114.102417,22.572416,0
19-12-6,114.088814,22.558483,1
19-12-20,114.049866,22.538668,0
19-13-2,114.067848,22.523817,1
19-13-27,113.908180,22.575367,0
19-13-40,113.895882,22.569283,1
19-13-52,113.909851,22.544649,0
19-13-59,113.920319,22.526567,1
19-14-13,114.009682,22.534849,0
19-14-16,114.009636,22.533983,1
19-14-32,113.913200,22.521067,0
19-14-44,113.940948,22.524282,1
19-15-0,114.053780,22.545366,0
19-15-5,114.057251,22.537983,1
19-15-19,114.114037,22.531750,0
19-15-30,114.113518,22.534483,1
19-15-37,114.107765,22.548018,0
19-16-14,114.041000,22.604233,1
19-16-48,114.114265,22.534433,0
19-16-50,114.112480,22.535116,1
