time,jd,wd,status
18-0,114.113930,22.534384,1
18-0,114.055618,22.516216,0
18-0,114.067467,22.524166,1
18-0,114.107903,22.548218,0
18-1,114.067802,22.523849,1
18-2,114.057114,22.527550,0
18-2,114.115265,22.553499,1
18-2,114.077766,22.534933,0
18-2,114.076965,22.535583,1
18-2,114.081482,22.551950,0
18-6,114.103935,22.561518,1
18-6,114.114830,22.533882,0
18-7,114.058784,22.525999,1
18-8,114.111282,22.542482,0
18-8,114.108620,22.541700,1
18-8,114.111130,22.545532,0
18-8,114.110497,22.545433,1
18-8,114.107780,22.548283,0
18-8,114.107330,22.551167,1
18-9,113.815315,22.648783,0
18-10,113.871399,22.619682,1
18-10,113.925880,22.565983,0
18-11,113.910286,22.533983,1
18-11,113.904968,22.555817,0
18-11,113.905098,22.555500,1
18-11,113.960365,22.565434,0
18-12,113.960464,22.564516,1
18-12,113.986366,22.564234,0
18-12,114.035454,22.562233,1
18-12,114.093246,22.571983,0
18-13,114.106865,22.574650,1
18-13,114.112221,22.546984,0
18-13,114.114151,22.546133,1
18-13,114.087013,22.543333,0
18-13,114.084030,22.545033,1
18-14,114.110085,22.542667,0
18-14,114.111053,22.544233,1
18-14,114.112633,22.535900,0
18-14,114.111481,22.541267,1
18-14,114.067650,22.524332,0
18-15,114.069115,22.530434,1
18-15,114.093216,22.568001,0
18-15,114.076698,22.549168,1
18-16,114.046204,22.567417,0
18-16,114.062469,22.557934,1
18-16,114.061203,22.549368,0
18-16,114.060249,22.549566,1
18-16,114.061798,22.520582,0
18-16,114.062698,22.522949,1
18-16,114.111115,22.535749,0
18-16,114.111168,22.535250,1
18-17,114.137718,22.620968,0
18-17,114.113319,22.603399,1
18-17,114.123337,22.545183,0
18-17,114.117149,22.539932,1
18-17,114.107018,22.537132,0
18-18,114.061279,22.531467,1
18-18,114.094254,22.537867,0
18-19,114.106216,22.558666,1
18-19,114.125618,22.552700,0
18-19,114.124680,22.554117,1
18-20,114.085968,22.543333,0
18-20,114.082397,22.543100,1
18-21,114.033119,22.553850,0
18-21,114.033730,22.560766,1
18-21,114.025169,22.560200,0
18-21,114.035454,22.542566,1
18-21,114.038918,22.555183,0
18-21,114.039780,22.548201,1
18-21,113.991234,22.535049,0
18-21,113.992821,22.533333,1
18-21,113.923332,22.526068,0
18-21,113.915131,22.541033,1
18-22,113.901886,22.569300,0
18-23,114.099533,22.541483,1
18-23,114.076332,22.540083,0
18-23,114.083786,22.545683,1
18-23,114.135864,22.552467,0
18-23,114.123901,22.545282,1
18-23,114.124619,22.564234,0
19-0,114.107536,22.549383,1
19-0,114.078484,22.560467,0
19-0,114.105003,22.549017,1
19-1,114.067268,22.524767,0
19-1,114.088768,22.543350,1
19-1,114.104866,22.545683,0
19-1,114.103996,22.552767,1
19-1,114.078865,22.535316,0
19-1,114.076950,22.535667,1
19-1,114.082169,22.533833,0
19-2,114.104897,22.549267,1
19-2,114.124680,22.549150,0
19-2,114.107567,22.549549,1
19-2,114.126884,22.575832,0
19-2,114.105850,22.552233,1
19-2,114.113098,22.542418,0
19-2,114.111900,22.544132,1
19-3,114.119865,22.541117,0
19-3,114.104797,22.551916,1
19-3,114.135765,22.566650,0
19-3,114.104263,22.552450,1
19-3,114.102135,22.542732,0
19-3,114.105148,22.544333,1
19-3,114.105003,22.548983,0
19-3,114.104431,22.552267,1
19-4,114.109352,22.599350,0
