time,jd,wd,status
18-0,114.060150,22.520767,1
18-0,114.017151,22.528700,0
18-1,114.021553,22.536551,1
18-1,114.040230,22.531183,0
18-1,114.022369,22.536516,1
18-1,113.922867,22.526251,0
18-5,114.026733,22.539734,1
18-5,114.040985,22.554016,0
18-6,114.026817,22.539499,1
18-6,114.079620,22.535418,0
18-6,114.075897,22.540417,1
18-7,113.816330,22.646633,0
18-8,114.023537,22.525316,1
18-8,114.062401,22.518566,0
18-8,114.060219,22.518450,1
18-8,114.061020,22.527599,0
18-8,114.062050,22.527082,1
18-8,114.055969,22.536633,0
18-8,114.060249,22.523733,1
18-8,114.049515,22.539433,0
18-9,114.038353,22.523199,1
18-9,114.022636,22.543034,0
18-9,114.033867,22.551001,1
18-9,114.005997,22.537968,0
18-9,114.019798,22.531717,1
18-10,114.125732,22.552250,0
18-10,114.125732,22.552250,1
18-10,113.900169,22.571199,0
18-10,113.895218,22.574867,1
18-11,113.918434,22.535418,0
18-11,113.919434,22.535433,1
18-11,114.074303,22.542900,0
18-11,114.074936,22.542868,1
18-11,114.026169,22.529650,0
18-11,114.030220,22.522350,1
18-12,114.056931,22.527918,0
18-12,114.057602,22.527651,1
18-12,114.062515,22.517550,0
18-12,114.063652,22.517668,1
18-12,114.065567,22.571283,0
18-12,114.066704,22.571182,1
18-12,114.080383,22.543417,0
18-13,114.061119,22.543333,1
18-13,114.090652,22.565916,0
18-13,114.084869,22.563784,1
18-13,114.112350,22.585983,0
18-13,114.110985,22.587732,1
18-13,114.134880,22.570534,0
18-13,114.134880,22.570534,1
18-13,114.159698,22.566650,0
18-14,114.119514,22.539249,1
18-14,114.111801,22.547684,0
18-14,114.112503,22.547567,1
18-14,114.106148,22.543617,0
18-15,114.086647,22.537701,1
18-15,114.021385,22.539400,0
18-15,114.008881,22.535334,1
18-15,114.038719,22.520117,0
18-15,114.036835,22.519117,1
18-16,114.108200,22.541416,0
18-16,114.108200,22.541416,1
18-16,114.117432,22.541451,0
18-16,114.118080,22.539766,1
18-16,114.004700,22.536966,0
18-16,114.006119,22.537817,1
18-17,113.978333,22.589684,0
18-17,113.962883,22.589268,1
18-17,113.978897,22.558968,0
18-17,113.982803,22.545700,1
18-17,113.992729,22.534166,0
18-17,113.992897,22.532949,1
18-18,114.047249,22.571234,0
18-18,114.048630,22.570517,1
18-19,114.023636,22.531450,0
18-19,114.020668,22.531799,1
18-20,114.046204,22.529533,0
18-20,114.055283,22.537634,1
18-20,114.099449,22.542217,0
18-20,114.092400,22.541616,1
18-21,114.017464,22.656767,0
18-21,114.016830,22.657368,1
18-21,113.909851,22.543200,0
18-21,113.918869,22.528316,1
18-21,113.942970,22.528017,0
18-22,113.945099,22.527500,1
18-22,113.908066,22.514999,0
18-23,113.928185,22.521400,1
18-22,113.915535,22.532066,0
18-22,113.919853,22.534100,1
18-22,113.918732,22.545082,0
18-22,113.928116,22.521517,1
18-22,113.912567,22.526449,0
18-22,113.911163,22.526117,1
18-23,113.943848,22.532717,0
18-23,113.930084,22.519867,1
18-23,113.919098,22.528799,0
18-23,113.932030,22.520233,1
18-23,113.927620,22.546568,0
19-1,114.022415,22.536467,1
19-1,114.063232,22.537333,0
19-2,114.074265,22.535217,1
19-2,114.130547,22.562433,0
19-2,114.116096,22.542784,1
19-3,114.068398,22.523767,0
19-3,114.071518,22.544283,1
19-3,113.988235,22.544518,0
19-3,113.991470,22.541733,1
19-3,113.942566,22.549717,0
19-6,114.026703,22.605267,1
19-6,114.045067,22.557949,0
19-8,114.024597,22.527000,1
19-8,114.062233,22.518417,0
19-8,114.035271,22.517366,1
19-8,114.076263,22.544733,0
19-8,114.067886,22.523849,1
19-9,114.080719,22.551600,0
19-9,114.062614,22.546667,1
19-9,114.019135,22.527782,0
19-9,114.024750,22.527267,1
19-9,114.031265,22.539232,0
19-9,114.038780,22.541817,1
19-10,114.037918,22.608482,0
19-10,114.038284,22.613916,1
19-10,114.063271,22.533051,0
19-10,114.063248,22.537434,1
19-10,114.130585,22.580233,0
19-10,114.130547,22.580650,1
19-11,114.135597,22.575916,0
19-11,114.127853,22.572001,1
19-11,114.115280,22.545067,0
19-11,114.115219,22.544950,1
19-11,114.124016,22.558617,0
19-11,114.124016,22.558617,1
19-11,114.103981,22.564699,0
19-11,114.103783,22.569000,1
19-12,114.068436,22.523849,0
19-12,114.067780,22.524200,1
19-12,114.007149,22.537333,0
19-12,114.003052,22.537233,1
19-12,114.017967,22.539766,0
19-12,114.018135,22.539232,1
19-12,114.027069,22.538601,0
19-12,114.020401,22.531733,1
19-12,114.016197,22.538033,0
19-13,114.025917,22.539400,1
19-13,114.062653,22.517517,0
19-13,114.063568,22.517450,1
19-13,114.031281,22.521851,0
19-14,114.065399,22.538099,1
19-14,114.057266,22.529383,0
19-14,114.057365,22.529850,1
19-14,114.068436,22.523733,0
19-14,114.067917,22.523916,1
19-14,114.043449,22.557734,0
19-14,114.049385,22.563499,1
19-14,114.032730,22.570967,0
19-14,114.034630,22.568649,1
19-15,114.014114,22.550917,0
19-15,114.013420,22.539534,1
19-15,114.074234,22.542883,0
19-15,114.074234,22.542883,1
19-15,114.057266,22.545500,0
19-15,114.051003,22.549049,1
19-15,114.099014,22.575283,0
19-15,114.098618,22.575367,1
19-16,113.885780,22.582750,0
19-16,113.904251,22.556534,1
19-17,114.111267,22.535233,0
19-17,114.111267,22.535233,1
19-17,114.056847,22.525883,0
19-17,114.052963,22.525900,1
19-18,114.021004,22.536383,0
19-18,114.022400,22.534849,1
19-18,114.042213,22.559883,0
19-18,114.047966,22.534983,1
19-18,114.053436,22.537701,0
19-18,114.052383,22.537582,1
19-19,114.030617,22.527283,0
19-19,114.026169,22.525400,1
19-19,114.121269,22.543182,0
19-19,114.118652,22.543850,1
19-20,114.134834,22.565533,0
19-20,114.134834,22.565533,1
19-20,114.116768,22.545282,0
19-20,114.116051,22.544216,1
19-20,114.135986,22.560118,0
19-20,114.101463,22.558783,1
19-21,114.081833,22.539167,0
19-21,114.079880,22.540550,1
19-21,114.081818,22.539101,0
19-21,114.081818,22.539101,1
19-21,114.067886,22.539600,0
19-21,114.056183,22.537582,1
19-21,114.040947,22.543983,0
19-21,114.041946,22.544600,1
19-21,113.966881,22.541117,0
19-22,113.979515,22.535999,1
19-22,113.973015,22.540649,0
19-22,113.970802,22.539633,1
19-22,113.910080,22.540367,0
19-22,113.930885,22.522400,1
19-22,113.916100,22.500401,0
19-22,113.916115,22.500816,1
19-22,113.923981,22.517883,0
19-22,113.923981,22.517883,1
19-23,113.973030,22.540518,0
19-23,113.961899,22.542351,1
19-23,114.064285,22.529716,0
19-23,114.068314,22.523951,1
19-23,114.119331,22.538383,0
20-0,114.085464,22.537466,1
20-0,113.919121,22.528933,0
20-0,113.932053,22.520283,1
20-0,113.962097,22.534567,0
20-1,114.022163,22.536200,1
20-1,114.026199,22.527950,0
20-2,114.027100,22.525000,1
20-2,114.056381,22.521549,0
20-2,114.056381,22.521467,1
20-2,114.017136,22.558683,0
20-2,114.018379,22.558783,1
20-2,114.039764,22.549183,0
20-8,114.024719,22.527201,1
20-8,114.039932,22.574333,0
20-8,114.038330,22.572718,1
20-8,114.091003,22.547132,0
20-9,114.059280,22.526882,1
20-9,114.068367,22.523718,0
20-9,114.068169,22.524033,1
20-9,114.052521,22.525801,0
20-9,114.052521,22.525801,1
20-9,114.062668,22.517550,0
20-9,114.063286,22.517799,1
20-9,114.058899,22.527683,0
20-9,114.057053,22.527634,1
20-9,114.068481,22.523817,0
20-9,114.073280,22.535950,1
20-9,114.079483,22.545168,0
20-11,114.073952,22.537634,1
20-11,114.062851,22.517550,0
