time,jd,wd,status
18-0-9,114.077019,22.537216,1
18-0-13,114.082085,22.533951,0
18-0-33,114.089249,22.543467,1
18-0-40,114.061852,22.533600,0
18-0-52,114.074219,22.538900,1
18-0-57,114.066284,22.547617,0
18-1-29,114.076584,22.535982,1
18-1-38,114.091866,22.541451,0
18-1-39,114.093819,22.540234,1
18-1-42,114.107513,22.536551,0
18-1-47,114.111351,22.534184,1
18-1-52,114.106880,22.540100,0
18-2-17,114.128166,22.550650,1
18-2-22,114.131119,22.544149,0
18-2-29,114.130333,22.543751,1
18-2-39,114.068398,22.523649,0
18-3-3,114.089630,22.540333,1
18-3-8,114.104286,22.540449,0
18-3-25,114.108635,22.541567,1
18-3-28,114.113365,22.538183,0
18-4-12,114.119934,22.545433,1
18-4-15,114.118881,22.540216,0
18-5-40,114.127884,22.555750,1
18-6-15,113.814613,22.649683,0
18-6-58,114.009766,22.553818,1
18-7-5,114.042435,22.553400,0
18-7-52,114.180031,22.558483,1
18-9-9,113.815002,22.649033,0
18-9-24,113.867432,22.594151,1
18-10-4,113.968063,22.540182,0
18-10-34,114.079086,22.534683,1
18-10-47,114.084183,22.549150,0
18-10-51,114.084999,22.545601,1
18-11-2,114.094566,22.563316,0
18-11-12,114.137634,22.571234,1
18-11-24,114.103531,22.543133,0
18-11-29,114.109383,22.545017,1
18-12-10,113.816597,22.646282,0
18-12-27,113.862366,22.601868,1
18-12-59,114.081718,22.553949,0
19-11-56,114.109100,22.547667,1
19-11-57,114.109100,22.547667,0
19-11-59,114.109100,22.547667,1
19-12-0,114.109100,22.547667,0
19-12-0,114.109100,22.547667,1
19-12-1,114.109100,22.547667,0
19-12-20,113.996635,22.529318,1
19-12-37,113.908363,22.479317,0
19-12-45,113.920250,22.491899,1
19-12-56,113.932083,22.520201,0
19-13-1,113.925751,22.521883,1
19-13-23,114.079720,22.553984,0
19-13-29,114.070320,22.551149,1
19-13-37,114.058365,22.537634,0
19-13-39,114.057884,22.537649,1
19-13-59,113.931717,22.546967,0
19-14-12,113.948097,22.543583,1
19-14-17,113.924454,22.548733,0
19-14-37,113.939384,22.543100,1
19-14-39,113.930817,22.546350,0
19-14-43,113.940018,22.546118,1
19-14-48,113.947533,22.540583,0
19-14-53,113.948082,22.543484,1
19-14-57,113.937065,22.535566,0
19-14-59,113.937065,22.535566,1
19-15-4,113.941498,22.549932,0
19-15-7,113.946098,22.541834,1
19-15-13,113.940414,22.532534,0
19-15-26,113.948196,22.543501,1
19-15-30,113.924484,22.530767,0
19-16-26,113.912903,22.521000,1
19-16-47,114.014664,22.538267,0
19-16-48,114.013519,22.538116,1
19-16-54,114.019669,22.534433,0
19-16-56,114.019936,22.533199,1
19-17-10,114.043770,22.524166,0
19-17-23,114.019470,22.535767,1
19-17-47,114.083969,22.543200,0
19-17-48,114.083969,22.543200,1
19-17-48,114.083969,22.543200,0
19-17-50,114.083969,22.543200,1
19-18-0,114.076118,22.536400,0
19-18-1,114.076118,22.536400,1
19-18-22,114.057449,22.522417,0
19-18-34,114.042870,22.520800,1
19-18-53,114.039070,22.549482,0
19-18-56,114.035568,22.542316,1
19-19-16,114.040268,22.569851,0
19-19-29,114.034866,22.541683,1
19-19-37,114.030884,22.551184,0
19-19-52,114.020287,22.539232,1
19-20-4,114.029770,22.567783,0
19-20-23,113.980782,22.536617,1
19-20-37,114.068497,22.523867,0
19-20-44,114.064003,22.532017,1
19-20-57,114.026367,22.525167,0
19-20-58,114.026367,22.525167,1
19-21-11,114.073700,22.537201,0
19-21-17,114.073448,22.535801,1
19-21-30,114.092453,22.540182,0
19-21-32,114.092216,22.541634,1
19-21-42,114.113464,22.538233,0
19-21-47,114.111916,22.538433,1
19-22-1,114.101349,22.555317,0
19-22-4,114.101898,22.552500,1
19-22-13,114.124702,22.547684,0
19-22-17,114.116051,22.546350,1
19-22-32,114.041451,22.523518,0
19-22-35,114.042099,22.527233,1
19-23-3,114.094452,22.564817,0
19-23-25,114.019501,22.539066,1
19-23-31,114.041031,22.529217,0
21-0-0,113.930252,22.519182,1
21-0-6,113.916832,22.516968,0
21-5-18,113.913948,22.533167,1
21-5-26,113.883186,22.581583,0
21-5-36,113.898285,22.556917,1
21-5-39,113.907951,22.544849,0
21-6-13,113.925163,22.504984,1
21-6-39,113.814835,22.649418,0
21-7-0,113.886620,22.566549,1
21-7-5,113.899071,22.566467,0
21-8-1,114.058601,22.561951,1
21-8-20,114.097771,22.540251,0
21-8-24,114.091515,22.540051,1
21-8-47,113.926384,22.534384,0
21-8-49,113.923653,22.529699,1
21-8-59,113.930832,22.544333,0
21-9-47,113.919601,22.531532,1
21-10-8,113.938034,22.555866,0
21-11-7,113.923035,22.527834,1
21-11-31,114.114250,22.539167,0
21-11-32,114.114250,22.539167,1
21-11-49,114.129898,22.611032,0
21-11-56,114.111000,22.586967,1
21-12-1,114.118484,22.553482,0
21-12-3,114.115364,22.553400,1
21-12-15,114.133331,22.571400,0
21-12-16,114.133430,22.571367,1
21-12-24,114.116547,22.548933,0
21-12-28,114.104515,22.544050,1
21-12-40,114.059814,22.525499,0
21-13-4,114.012619,22.541517,1
21-13-13,114.058334,22.549467,0
21-13-20,114.046753,22.544800,1
21-13-27,114.057053,22.526016,0
21-13-37,114.025864,22.540182,1
21-13-56,114.033951,22.626499,0
21-14-10,114.037247,22.616949,1
21-14-42,113.943130,22.506468,0
21-14-45,113.945320,22.506550,1
21-14-57,113.925217,22.545549,0
21-15-10,113.917236,22.535517,1
21-15-17,113.915253,22.541332,0
21-15-25,113.905998,22.531450,1
21-15-35,113.924568,22.549267,0
21-15-39,113.918503,22.548082,1
21-15-47,113.919449,22.530884,0
21-15-47,113.919182,22.529583,1
21-16-0,113.915497,22.499983,0
21-16-6,113.918282,22.505751,1
21-16-20,113.919083,22.528500,0
21-16-21,113.919083,22.528500,1
21-16-26,113.916084,22.520350,0
21-16-56,113.919098,22.535433,1
21-17-13,113.874718,22.571600,0
21-17-17,113.875870,22.571167,1
21-17-46,114.024429,22.537001,0
21-17-48,114.022331,22.536633,1
