time,jd,wd,status
20-0,113.819832,22.647766,1
20-0,113.815399,22.651699,0
20-0,113.815987,22.647150,1
20-0,113.825752,22.649218,0
20-3,113.919815,22.499384,1
20-3,113.927536,22.491432,0
21-7,113.926765,22.519550,1
21-7,113.963684,22.531017,0
21-7,113.947334,22.528450,1
21-7,113.919830,22.534218,0
21-7,113.914680,22.535517,1
21-7,113.944801,22.546049,0
21-7,113.945984,22.552134,1
21-7,113.938271,22.545282,0
21-8,113.924850,22.535450,1
21-8,113.915886,22.493967,0
21-8,113.913849,22.498583,1
21-9,113.816498,22.646467,0
21-10,113.883148,22.564667,1
21-10,113.913734,22.522034,0
21-10,113.914551,22.525133,1
21-10,113.927147,22.513599,0
21-10,113.924652,22.513166,1
21-10,113.922470,22.517817,0
21-10,113.924049,22.517782,1
21-10,113.942902,22.506433,0
21-10,113.944786,22.506767,1
21-10,113.928917,22.521950,0
21-11,113.924347,22.519600,1
21-11,113.917252,22.513582,0
22-12,113.953735,22.550768,1
22-12,113.917084,22.543467,0
22-12,113.916801,22.543467,1
22-12,113.860214,22.559401,0
22-12,113.911934,22.535334,1
22-12,113.907898,22.514982,0
22-13,113.919746,22.519632,1
22-13,114.081436,22.547417,0
22-13,114.079964,22.549150,1
22-13,114.092484,22.561518,0
22-13,114.091187,22.561466,1
22-13,114.082352,22.540716,0
22-13,114.082352,22.540716,1
22-14,114.089264,22.551800,0
22-14,114.085251,22.549250,1
22-14,114.092781,22.561434,0
22-14,114.092781,22.561434,1
22-14,114.140221,22.559401,0
22-14,114.133736,22.549299,1
22-14,114.122581,22.557432,0
22-14,114.122498,22.557417,1
22-15,114.111984,22.545134,0
22-15,114.100998,22.543751,1
22-15,114.095268,22.555082,0
22-15,114.093285,22.554182,1
22-15,114.099182,22.551783,0
22-15,114.099319,22.550716,1
20-15,114.103836,22.555550,0
20-15,114.006615,22.536949,1
20-15,114.043068,22.544416,0
20-16,114.018982,22.532101,1
20-16,114.011284,22.534082,0
20-16,113.997818,22.529716,1
20-16,113.904030,22.516817,0
20-16,113.919586,22.519667,1
20-17,113.940720,22.542101,0
20-17,113.942032,22.539368,1
20-17,113.930969,22.547934,0
20-17,113.930969,22.547934,1
20-17,113.923531,22.522266,0
20-17,113.921967,22.519133,1
20-17,113.934166,22.520149,0
20-17,113.925034,22.519016,1
20-17,113.914467,22.535717,0
20-17,113.914467,22.535717,1
20-18,113.920769,22.529966,0
20-18,113.919601,22.530718,1
20-18,113.969368,22.539568,0
20-18,113.970863,22.539583,1
20-18,113.939835,22.559950,0
20-18,113.939835,22.559950,1
22-19,113.853119,22.566000,0
22-20,113.814270,22.650650,1
22-21,113.930435,22.516317,0
22-21,113.924980,22.518101,1
22-21,113.901367,22.514282,0
22-21,113.920586,22.518749,1
22-22,114.062798,22.517584,0
22-22,114.063667,22.517599,1
