time,jd,wd,status
18-0-10,114.028236,22.623383,0
18-0-34,114.035217,22.568100,1
18-0-41,114.060997,22.563917,0
18-1-27,114.058014,22.523666,1
18-1-32,114.068466,22.523899,0
18-2-26,114.078903,22.534599,1
18-2-37,114.107765,22.567633,0
18-3-14,114.088921,22.547268,1
18-3-18,114.081520,22.545868,0
18-5-44,114.071930,22.528183,1
18-5-50,114.114182,22.534616,0
18-7-2,114.034119,22.518217,1
18-7-14,114.068314,22.523617,0
18-7-35,114.068253,22.523884,1
18-7-40,114.063080,22.536617,0
18-7-41,114.063080,22.537483,1
18-7-50,114.056381,22.571217,0
18-7-51,114.054482,22.571182,1
18-8-12,114.022385,22.541149,0
18-8-14,114.019485,22.540483,1
18-8-54,114.114799,22.535168,0
18-8-55,114.113647,22.535133,1
18-9-29,114.055817,22.570368,0
18-9-30,114.056450,22.571083,1
18-9-51,114.083832,22.647150,0
18-10-16,114.048286,22.621817,1
18-10-22,114.033348,22.619617,0
18-10-24,114.035301,22.620649,1
18-10-48,114.019547,22.533051,0
18-11-15,114.034218,22.518284,1
18-11-32,114.088600,22.555450,0
18-11-35,114.085014,22.554367,1
18-11-44,114.101418,22.598650,0
18-11-54,114.098701,22.576384,1
18-12-4,114.089867,22.543449,0
18-12-59,114.041534,22.525101,1
18-13-16,114.091553,22.560101,0
18-13-40,114.068100,22.523832,1
18-13-58,114.039551,22.613350,0
18-14-2,114.039169,22.613317,1
18-14-8,114.042717,22.600800,0
18-14-14,114.040649,22.609917,1
18-14-27,114.035667,22.621050,0
18-14-28,114.035667,22.621050,1
18-15-10,113.940468,22.557568,0
18-15-26,113.951767,22.541550,1
18-15-39,113.992836,22.541651,0
18-15-41,113.992249,22.537033,1
18-15-52,114.041084,22.521767,0
18-15-56,114.042465,22.522432,1
18-16-19,114.021935,22.639900,0
18-16-41,114.040367,22.610950,1
18-16-56,114.081436,22.552151,0
18-16-56,114.081436,22.552151,1
18-17-16,114.042053,22.556767,0
18-17-17,114.042053,22.556767,1
18-17-55,113.814651,22.649750,0
18-18-32,114.046898,22.527782,1
18-18-54,114.041397,22.544416,0
18-18-55,114.040337,22.544533,1
18-19-11,114.068451,22.523899,0
18-19-13,114.067902,22.523916,1
18-20-9,114.029671,22.650749,0
