time,jd,wd,status
18-20-25,114.114670,22.542717,0
18-20-26,114.114670,22.542717,1
18-20-43,114.127647,22.560568,0
18-20-45,114.125481,22.559418,1
18-20-52,114.115349,22.542667,0
18-20-53,114.114914,22.542450,1
18-21-0,114.103485,22.552383,0
18-21-15,114.106483,22.545483,1
18-21-26,114.118683,22.563400,0
18-23-56,114.056870,22.525932,1
19-0-2,114.068436,22.523666,0
19-0-10,114.058220,22.527651,1
19-0-18,114.110565,22.539682,0
19-1-18,114.058617,22.527666,1
19-1-21,114.057831,22.523617,0
19-1-38,114.058334,22.527451,1
19-1-46,114.075203,22.533667,0
19-1-47,114.075417,22.533951,1
19-2-1,114.126015,22.570368,0
19-2-32,114.057968,22.527750,1
19-2-42,114.038414,22.565933,0
19-3-8,114.058365,22.527683,1
19-3-16,114.107803,22.547916,0
19-3-17,114.107803,22.547916,1
19-3-26,114.057999,22.563816,0
19-3-56,114.057831,22.527700,1
19-4-1,114.042183,22.530018,0
19-6-13,114.054916,22.527300,1
19-6-17,114.068420,22.523666,0
19-6-23,114.077515,22.536633,1
19-6-27,114.086868,22.540916,0
19-6-59,114.102470,22.548349,1
19-7-5,114.117729,22.548166,0
19-7-28,114.100784,22.547934,1
19-7-39,114.120232,22.559784,0
19-7-43,114.099365,22.559816,1
19-7-47,114.107864,22.572067,0
19-7-50,114.107735,22.570551,1
19-8-31,113.944916,22.558817,0
19-8-33,113.945297,22.558832,1
19-8-42,113.940498,22.545732,0
19-8-45,113.939247,22.543068,1
19-8-57,113.903603,22.530132,0
19-9-1,113.907532,22.531250,1
19-9-21,113.950836,22.542000,0
19-9-22,113.950836,22.542000,1
19-10-8,113.859947,22.731533,0
19-10-35,113.827347,22.648867,1
19-10-54,113.889954,22.563967,0
19-10-55,113.889954,22.563967,1
19-11-3,113.915337,22.542450,0
19-11-6,113.919182,22.541567,1
19-11-28,114.092598,22.559799,0
19-11-29,114.092598,22.559799,1
19-11-40,114.047729,22.546432,0
19-11-40,114.047729,22.546432,1
19-11-55,114.114052,22.531633,0
19-12-3,114.113480,22.534451,1
19-12-17,114.047852,22.525801,0
19-12-19,114.047783,22.525784,1
19-12-27,114.016747,22.530050,0
19-12-31,114.032913,22.529818,1
19-12-38,114.074501,22.542383,0
19-12-39,114.074501,22.542383,1
19-12-48,114.107834,22.539883,0
19-12-53,114.111320,22.532984,1
19-13-2,114.121880,22.544018,0
19-13-11,114.102531,22.540033,1
19-13-14,114.106247,22.543118,0
19-13-17,114.116501,22.546066,1
19-13-41,113.919121,22.509001,0
19-13-56,113.922318,22.518717,1
19-14-17,114.051369,22.534866,0
19-14-18,114.051369,22.534866,1
19-14-21,114.054848,22.527300,0
19-14-21,114.055931,22.527184,1
19-14-29,114.062798,22.517599,0
19-14-30,114.062965,22.519617,1
19-14-51,114.121063,22.543550,0
19-14-51,114.121063,22.543550,1
19-15-9,114.068466,22.523849,0
19-15-17,114.068214,22.524000,1
19-15-45,113.930931,22.493383,0
19-15-47,113.930534,22.493483,1
19-15-55,113.925468,22.520201,0
19-16-32,114.058586,22.527582,1
19-16-37,114.068466,22.523800,0
19-16-38,114.067848,22.523983,1
19-17-9,113.882935,22.579433,0
19-17-29,113.893951,22.565268,1
19-17-44,113.938919,22.542517,0
19-18-54,114.026871,22.537300,1
19-19-33,114.159431,22.568382,0
19-19-57,114.121231,22.543467,1
19-20-15,114.021599,22.555450,0
19-20-25,114.046700,22.541166,1
19-20-32,114.002800,22.537567,0
19-20-40,114.021530,22.538900,1
19-20-43,114.029114,22.526684,0
19-20-59,114.058067,22.527550,1
19-21-5,114.071968,22.533484,0
19-21-12,114.068085,22.523800,1
19-21-20,114.058983,22.521667,0
19-21-31,114.061447,22.526367,1
19-21-35,114.068481,22.523849,0
19-21-36,114.067802,22.523867,1
19-21-54,114.120750,22.604668,0
19-21-57,114.119583,22.603350,1
19-22-16,114.084953,22.540716,0
19-22-17,114.084015,22.542534,1
19-22-22,114.086136,22.549383,0
19-22-26,114.081718,22.548700,1
19-22-49,114.039253,22.604168,0
19-22-52,114.046753,22.594967,1
19-22-59,114.046021,22.566851,0
19-23-22,114.058334,22.527617,1
19-23-36,114.121819,22.552250,0
19-23-37,114.121819,22.552250,1
19-23-42,114.103065,22.552700,0
19-23-46,114.102119,22.552683,1
19-23-54,114.079231,22.538900,0
20-0-21,114.058502,22.527567,1
20-0-25,114.068497,22.523849,0
20-0-37,114.058250,22.527599,1
20-0-50,114.116486,22.547882,0
20-1-7,114.117981,22.542982,1
20-1-10,114.118698,22.544283,0
20-1-34,114.058220,22.527683,1
20-1-44,114.002464,22.537500,0
20-2-4,114.058632,22.527582,1
20-2-15,114.116951,22.535868,0
20-2-28,114.058121,22.527666,1
20-2-30,114.062737,22.527666,0
20-2-41,114.058220,22.527651,1
20-2-42,114.062401,22.526600,0
20-3-10,114.058319,22.527483,1
20-3-25,114.102432,22.558483,0
20-7-11,114.047218,22.535282,1
20-7-19,114.030746,22.562166,0
20-7-45,114.063232,22.574100,1
20-8-13,114.091568,22.542168,0
