time,jd,wd,status
18-0,114.042801,22.712217,1
18-0,114.043900,22.702749,0
18-5,114.038719,22.710550,1
18-5,114.037003,22.705217,0
18-5,114.038132,22.705900,1
18-5,114.042053,22.706249,0
18-6,114.044617,22.695833,1
18-6,114.049553,22.717768,0
18-7,114.107933,22.697950,1
18-8,114.017700,22.737667,0
18-9,114.041580,22.715282,1
18-10,114.047699,22.733601,0
18-10,114.058952,22.723566,1
18-10,114.044518,22.693567,0
18-11,114.040367,22.714567,1
18-11,114.077232,22.685568,0
18-11,114.069519,22.692917,1
18-12,114.041733,22.706133,0
18-12,114.001381,22.734484,1
18-12,114.001366,22.734484,0
18-13,114.016647,22.742350,1
18-13,114.044266,22.700500,0
18-14,114.035530,22.695368,1
18-14,114.027031,22.673283,0
18-15,114.046516,22.716682,1
18-15,114.040703,22.705200,0
18-16,114.001335,22.734867,1
18-17,114.042068,22.707233,0
18-17,114.043350,22.704933,1
18-18,114.041519,22.705267,0
18-18,114.042381,22.705050,1
18-20,114.037781,22.706249,0
18-21,114.044334,22.698250,1
18-22,114.044464,22.675133,0
18-22,114.061653,22.661200,1
18-22,114.038719,22.710400,0
18-22,114.065636,22.716883,1
18-22,114.050598,22.718683,0
18-23,114.038383,22.713217,1
18-23,114.038383,22.713217,0
19-1,114.035652,22.694767,1
19-1,114.073517,22.725000,0
19-7,113.981979,22.739733,1
19-7,114.006599,22.734934,0
19-7,114.011848,22.746468,1
19-8,114.007698,22.731667,0
19-8,114.040550,22.715282,1
19-8,114.084015,22.703833,0
19-9,114.067085,22.716566,1
19-9,114.045586,22.711050,0
19-9,114.049530,22.717716,1
19-10,114.040497,22.699568,0
19-10,114.044418,22.698267,1
19-10,114.080498,22.692432,0
19-10,114.056084,22.665382,1
19-10,114.058479,22.677151,0
19-11,114.073250,22.692533,1
19-11,114.084686,22.703251,0
19-11,114.084633,22.702682,1
19-11,114.096748,22.731899,0
19-13,114.040970,22.714867,1
19-13,114.044220,22.701317,0
19-15,114.027969,22.700583,1
19-15,114.044296,22.698433,0
19-15,114.043503,22.704967,1
19-15,114.040581,22.715166,0
19-16,114.062103,22.722584,1
19-16,114.041969,22.707350,0
19-17,114.044548,22.694651,1
19-17,114.080284,22.696182,0
19-18,114.002533,22.731916,1
19-18,114.045265,22.803417,0
19-22,114.061134,22.644617,1
19-22,114.061302,22.644016,0
20-6,114.042480,22.706682,1
20-7,114.043701,22.715166,0
20-7,114.043747,22.704117,1
20-7,114.101097,22.632317,0
20-7,114.094620,22.636482,1
20-8,114.044334,22.701651,0
20-9,114.035599,22.694633,1
20-9,114.024467,22.673883,0
20-10,114.040100,22.714233,1
20-11,114.052719,22.720449,0
20-13,114.057816,22.723717,1
20-14,114.061035,22.731567,0
20-14,114.059769,22.723301,1
20-14,114.059769,22.723301,0
20-14,114.059769,22.723301,1
20-15,114.033348,22.642250,0
20-15,114.033348,22.642250,1
20-15,114.034821,22.676367,0
20-15,114.034966,22.688049,1
20-15,114.021347,22.731750,0
20-15,114.030220,22.754116,1
20-16,114.014420,22.745367,0
20-16,114.017754,22.748949,1
20-16,114.124336,22.698950,0
20-16,114.121735,22.698601,1
20-17,114.043800,22.715282,0
20-18,114.040665,22.715117,1
20-19,114.044434,22.598949,0
20-19,114.044434,22.598949,1
20-19,114.048447,22.621918,0
20-19,114.037354,22.617550,1
20-19,114.054115,22.608433,0
20-19,114.033768,22.627184,1
20-20,114.021446,22.639500,0
20-20,114.021950,22.640900,1
20-20,114.022270,22.641916,0
20-20,114.022781,22.643818,1
20-21,114.044350,22.698650,0
20-21,114.026031,22.701616,1
20-21,114.060699,22.722900,0
20-22,114.041763,22.705151,1
20-23,114.061668,22.722349,0
20-23,114.140869,22.627567,1
20-23,114.112000,22.609533,0
20-23,114.112846,22.604584,1
21-0,114.053101,22.722900,0
21-1,114.044319,22.701733,1
21-1,114.059067,22.722349,0
21-1,114.060081,22.723066,1
21-1,114.077347,22.708933,0
21-1,114.075867,22.710033,1
21-1,114.031151,22.692766,0
21-2,114.039284,22.712732,1
21-2,113.998581,22.735416,0
21-3,114.061050,22.691299,1
21-3,114.059715,22.723284,0
21-4,113.990784,22.735283,1
21-4,114.041603,22.707184,0
21-7,114.047714,22.671301,1
21-8,114.043999,22.703400,0
21-9,114.021469,22.729349,1
21-9,114.011299,22.745001,0
21-9,114.021385,22.733067,1
