time,jd,wd,status
18-0-4,114.055550,22.549383,1
18-0-26,114.116631,22.590418,0
18-0-30,114.114883,22.588818,1
18-0-43,114.138313,22.545017,0
18-1-54,114.035416,22.557217,1
18-2-2,114.056480,22.525600,0
18-2-3,114.057770,22.525667,1
18-2-8,114.059067,22.519800,0
18-2-18,114.045235,22.539568,1
18-2-34,114.057404,22.627968,0
18-3-3,114.051117,22.567316,1
18-3-10,114.028397,22.568150,0
18-3-11,114.028397,22.568132,1
18-3-12,114.028297,22.568132,0
18-3-22,114.039886,22.552799,1
18-3-36,114.118683,22.559151,0
18-5-58,114.033501,22.556400,1
18-6-11,114.107597,22.546749,0
18-6-25,114.088364,22.554783,1
18-6-31,114.111603,22.535250,0
18-6-36,114.102753,22.540400,1
18-6-49,114.137215,22.571667,0
18-7-13,114.076683,22.535749,1
18-7-28,114.113716,22.534483,0
18-8-11,114.021980,22.531834,1
18-9-14,114.058815,22.536217,0
18-9-17,114.052536,22.525984,1
18-9-22,114.047798,22.534599,0
18-9-26,114.036919,22.531151,1
18-9-44,114.009979,22.534800,0
18-9-45,114.007965,22.534166,1
18-9-54,114.039413,22.529499,0
18-10-5,114.041153,22.521433,1
18-10-27,113.942986,22.552750,0
18-10-39,113.962067,22.535000,1
18-10-45,113.971016,22.540817,0
18-10-53,113.992317,22.537367,1
18-11-3,114.030830,22.526800,0
18-11-14,114.025146,22.527733,1
18-11-22,114.068550,22.524134,0
18-11-28,114.059464,22.527117,1
18-11-54,114.149384,22.610067,0
18-11-58,114.148697,22.608917,1
18-12-15,114.112602,22.549116,0
18-12-16,114.110664,22.547867,1
18-12-23,114.125214,22.558916,0
18-12-25,114.127052,22.557516,1
18-12-52,113.910698,22.581100,0
18-13-54,113.815002,22.649082,1
18-14-20,113.927750,22.513750,0
18-14-23,113.925232,22.519217,1
18-14-44,114.097000,22.538000,0
18-14-53,114.113998,22.537951,1
18-15-0,114.117966,22.544033,0
18-15-1,114.118500,22.546499,1
