time,jd,wd,status
18-0,114.068153,22.530050,1
18-0,114.068298,22.524384,0
18-0,114.076797,22.535700,1
18-0,114.043549,22.529949,0
18-1,114.060768,22.525618,1
18-1,114.095184,22.540167,0
18-2,114.021698,22.528133,1
18-3,114.131737,22.587833,0
18-3,114.135803,22.578716,1
18-3,114.132317,22.579651,0
18-5,114.067848,22.545967,1
18-5,114.037247,22.529417,0
18-6,114.063980,22.537466,1
18-6,114.078796,22.541416,0
18-7,114.039436,22.548550,1
18-7,114.043198,22.567583,0
18-7,114.040001,22.569866,1
18-7,114.035835,22.560301,0
18-7,114.033600,22.560966,1
18-7,114.050880,22.550266,0
18-7,114.050880,22.548166,1
18-8,114.044052,22.512501,0
18-8,114.050369,22.512501,1
18-8,114.058968,22.522367,0
18-8,114.058647,22.525084,1
18-8,114.114250,22.534367,0
18-8,114.118103,22.537451,1
18-8,114.114647,22.534800,0
18-8,114.113853,22.534184,1
18-8,114.119186,22.540518,0
18-8,114.119881,22.541384,1
18-9,114.056084,22.531834,0
18-9,114.051804,22.531767,1
18-9,114.047798,22.538668,0
18-9,114.038200,22.529984,1
18-9,113.960747,22.534332,0
18-9,113.961983,22.536350,1
18-10,113.933533,22.548100,0
18-10,113.973236,22.538151,1
18-10,114.062836,22.517599,0
18-10,114.063034,22.517782,1
18-10,114.063370,22.533966,0
18-11,114.055450,22.535400,1
18-11,114.118164,22.553118,0
18-11,114.116585,22.541283,1
18-12,114.114815,22.534782,0
18-12,114.113533,22.534166,1
18-12,114.139435,22.549833,0
18-12,114.095100,22.541349,1
18-12,114.081848,22.543249,0
18-13,114.063301,22.537666,1
18-13,114.025002,22.538799,0
18-13,114.026886,22.539783,1
18-13,114.041603,22.556351,0
18-13,114.042183,22.553617,1
18-13,114.057785,22.562384,0
18-14,114.116714,22.550650,1
18-14,114.118614,22.551817,0
18-14,114.120880,22.552134,1
18-14,114.134903,22.565184,0
18-14,114.127716,22.560717,1
18-14,114.116333,22.577534,0
18-14,114.111649,22.603167,1
18-15,114.146782,22.567350,0
18-15,114.129646,22.551950,1
18-16,114.033180,22.615549,0
18-16,114.043686,22.600267,1
18-16,114.033401,22.561016,0
18-16,114.039848,22.553734,1
18-17,114.109016,22.541582,0
18-17,114.109535,22.541683,1
18-17,114.128670,22.550501,0
18-18,114.084335,22.571266,1
18-18,113.978821,22.563383,0
18-18,113.978264,22.562433,1
18-18,113.973366,22.543583,0
18-18,113.980598,22.539618,1
18-18,114.018501,22.555416,0
18-19,114.044334,22.549633,1
18-20,113.933319,22.520866,0
18-20,113.933868,22.521868,1
18-21,113.904785,22.508368,0
18-21,113.913902,22.522284,1
18-21,113.910332,22.529934,0
18-21,113.917969,22.543034,1
18-21,113.928864,22.495483,0
18-22,113.932465,22.521267,1
18-22,113.915314,22.541517,0
18-22,113.917603,22.543068,1
18-22,113.945053,22.536949,0
18-22,113.944901,22.545883,1
18-22,113.948250,22.561350,0
18-23,113.936653,22.542967,1
18-23,113.925682,22.521334,0
18-23,114.018517,22.526850,1
18-23,114.042885,22.522583,0
18-23,114.047516,22.525566,1
19-0,114.084000,22.551268,0
19-0,114.085670,22.551634,1
19-0,114.094299,22.537884,0
19-0,114.101730,22.547832,1
19-0,114.087418,22.549299,0
19-1,114.084015,22.548233,1
19-1,114.035881,22.560333,0
19-1,114.035500,22.562532,1
19-1,114.125847,22.550217,0
19-2,114.118103,22.552500,1
19-2,114.076736,22.553967,0
19-2,114.084084,22.547817,1
19-2,114.078514,22.534533,0
19-3,114.059219,22.518217,1
19-3,114.061134,22.521099,0
19-4,114.061546,22.533600,1
19-4,114.095230,22.564632,0
19-5,114.081497,22.552082,1
19-5,114.122719,22.553368,0
19-5,114.122536,22.550283,1
19-6,114.112335,22.536100,0
19-7,114.039734,22.549000,1
19-7,114.010498,22.557283,0
19-7,114.011818,22.555183,1
19-7,114.024284,22.535633,0
19-8,114.113953,22.534283,1
19-8,114.129669,22.547016,0
19-8,114.129799,22.546600,1
19-8,114.020264,22.534582,0
19-8,114.020630,22.534733,1
19-9,114.100319,22.551399,0
19-9,114.102585,22.552732,1
19-9,114.112350,22.542368,0
19-9,114.110970,22.544050,1
19-9,114.084282,22.571117,0
19-9,114.083252,22.571899,1
19-10,114.115532,22.555767,0
19-10,114.113335,22.550068,1
19-10,114.105431,22.559267,0
19-10,114.104050,22.559834,1
19-10,114.116631,22.549717,0
19-10,114.064514,22.531549,1
19-11,114.101280,22.546400,0
19-11,114.100853,22.547518,1
19-11,113.986771,22.524000,0
19-11,113.961853,22.537184,1
19-12,114.078346,22.545401,0
19-12,114.081665,22.543934,1
19-12,114.081619,22.538868,0
19-12,114.055969,22.531767,1
19-12,114.011848,22.530001,0
19-14,114.045235,22.519449,1
19-14,114.044083,22.524900,0
19-14,114.048065,22.547318,1
19-14,114.049332,22.540783,0
19-14,114.047615,22.540882,1
19-14,114.058250,22.545532,0
19-14,114.058136,22.545567,1
19-15,114.039780,22.544968,0
19-15,114.041031,22.548332,1
19-15,114.037186,22.544067,0
19-15,114.038399,22.549067,1
19-15,114.049934,22.518167,0
19-15,114.045517,22.522400,1
19-15,114.045517,22.522400,0
19-15,114.045502,22.522417,1
19-15,114.045517,22.522467,0
19-15,114.042786,22.520718,1
19-16,114.121819,22.544018,0
19-16,114.121033,22.542482,1
19-16,114.113831,22.534616,0
19-16,114.114037,22.534267,1
19-16,114.131447,22.553217,0
19-16,114.129898,22.550917,1
19-16,114.146469,22.557167,0
19-16,114.148003,22.559317,1
19-16,114.166733,22.564234,0
19-17,114.167519,22.563084,1
19-17,114.104614,22.541634,0
19-17,114.106003,22.543318,1
19-17,114.110466,22.537117,0
19-17,114.111237,22.535250,1
19-17,114.111252,22.542732,0
19-17,114.111168,22.545500,1
19-18,114.125816,22.546600,0
19-18,114.123566,22.545151,1
19-18,114.086769,22.537683,0
19-18,114.072670,22.532049,1
19-19,114.033516,22.560818,0
19-19,114.040901,22.523149,1
19-19,114.024635,22.527100,0
19-19,114.026833,22.526983,1
19-19,114.065636,22.532133,0
19-19,114.063370,22.537733,1
19-20,114.040970,22.566767,0
19-20,114.039719,22.566133,1
19-20,114.116669,22.535999,0
19-20,114.115982,22.535650,1
19-20,114.123482,22.562017,0
19-20,114.122269,22.557617,1
19-21,114.121246,22.543200,0
19-21,114.122032,22.543467,1
