time,jd,wd,status
18-7-8,114.089668,22.567133,0
18-7-26,114.072014,22.536083,1
18-7-29,114.060516,22.533501,0
18-7-35,114.063599,22.537983,1
18-8-2,114.081467,22.547632,0
18-8-4,114.081596,22.550484,1
18-8-33,114.143814,22.555267,0
18-8-34,114.143768,22.554617,1
18-8-40,114.136703,22.549633,0
18-8-50,114.117981,22.560883,1
18-9-0,114.112053,22.546833,0
18-9-2,114.114464,22.546867,1
18-9-13,114.114998,22.532450,0
18-9-16,114.112419,22.535667,1
18-9-56,114.063248,22.531517,0
18-10-1,114.080017,22.536083,1
18-10-13,114.130402,22.543833,0
18-10-14,114.131950,22.544649,1
18-10-42,114.023033,22.532183,0
18-10-50,114.026520,22.539633,1
18-10-50,114.028183,22.539984,0
18-12-6,114.059715,22.562416,1
18-12-14,114.046867,22.541683,0
18-12-14,114.046753,22.540934,1
18-12-21,114.045120,22.562166,0
18-12-25,114.043915,22.557133,1
18-12-40,113.961449,22.530983,0
18-12-45,113.961800,22.539249,1
18-13-1,113.909981,22.527416,0
18-13-6,113.906670,22.531250,1
18-13-20,113.921967,22.519068,0
18-13-58,113.906548,22.553766,1
18-14-9,113.969200,22.561916,0
18-14-12,113.972282,22.565783,1
18-14-44,114.114151,22.535282,0
18-14-48,114.113297,22.534000,1
18-15-18,114.061165,22.524668,0
18-15-26,114.061981,22.534599,1
18-15-36,114.082199,22.543051,0
18-15-37,114.083717,22.543200,1
18-15-48,114.113686,22.534550,0
18-15-50,114.114250,22.534401,1
18-16-11,114.055702,22.513901,0
18-16-30,114.134979,22.546017,1
18-16-50,114.062630,22.550484,0
18-17-49,114.112534,22.536118,1
18-18-13,114.122887,22.548367,0
18-18-13,114.123001,22.548267,1
18-18-29,114.103432,22.544117,0
18-18-30,114.103767,22.545017,1
18-18-43,114.104118,22.556017,0
18-18-54,114.108917,22.575800,1
18-19-1,114.136536,22.567400,0
18-19-2,114.137619,22.571333,1
18-19-18,114.186981,22.595301,0
18-19-55,114.132004,22.562166,1
18-20-57,114.051331,22.564466,0
18-21-11,114.078751,22.549133,1
18-21-19,114.043350,22.537184,0
18-21-24,114.052696,22.542816,1
18-21-29,114.062836,22.533167,0
18-21-30,114.062416,22.533567,1
18-21-36,114.056999,22.527416,0
18-21-37,114.056885,22.527599,1
18-21-51,114.021431,22.526051,0
18-21-55,114.026848,22.530849,1
18-22-0,114.062347,22.529400,0
18-22-7,114.062981,22.537350,1
18-22-22,114.038948,22.524218,0
18-22-38,114.041229,22.530832,1
18-22-51,114.067017,22.525766,0
18-22-55,114.077652,22.542999,1
18-23-9,114.055786,22.615267,0
18-23-33,114.102585,22.558649,1
18-23-36,114.096001,22.553284,0
18-23-48,114.133400,22.563618,1
20-0-9,114.139816,22.576584,0
20-3-29,114.139519,22.576668,1
20-3-35,114.111748,22.585199,0
20-6-58,114.140320,22.609318,1
20-7-6,114.109634,22.589233,0
20-7-21,114.083916,22.571533,1
20-8-3,114.084213,22.571518,0
20-8-3,114.083916,22.571768,1
20-8-31,114.047966,22.539900,0
20-8-36,114.064682,22.542517,1
20-8-50,114.090630,22.563250,0
20-8-51,114.089470,22.561417,1
20-9-10,114.112251,22.536449,0
20-9-16,114.113518,22.534483,1
20-9-34,114.068451,22.524183,0
20-9-42,114.067467,22.524567,1
20-9-53,114.019897,22.533234,0
20-10-0,114.027985,22.540033,1
20-10-9,114.058746,22.566282,0
20-10-34,114.119682,22.593849,1
20-10-53,114.116631,22.535999,0
20-11-47,114.134201,22.549116,1
20-12-1,114.159149,22.610283,0
20-12-7,114.151199,22.607901,1
20-12-11,114.151047,22.610884,0
20-12-19,114.134735,22.610884,1
20-12-51,114.112251,22.537067,0
20-13-11,114.034515,22.522118,1
20-13-33,114.107735,22.569317,0
20-13-34,114.107513,22.567167,1
20-13-42,114.119553,22.573851,0
20-13-44,114.122017,22.573868,1
20-13-50,114.130836,22.574850,0
20-13-55,114.124832,22.576633,1
20-14-3,114.128517,22.550632,0
20-14-5,114.130234,22.553682,1
20-14-8,114.136566,22.560766,0
20-14-50,114.229233,22.556351,1
20-14-53,114.225853,22.551149,0
20-14-56,114.229317,22.550167,1
20-15-3,114.229767,22.559616,0
20-15-7,114.226135,22.549618,1
20-15-40,114.110764,22.538082,0
20-15-44,114.111580,22.532967,1
20-15-50,114.084236,22.540001,0
20-15-52,114.086098,22.540800,1
20-16-5,114.117249,22.550682,0
20-16-8,114.125748,22.551634,1
20-16-34,114.135696,22.566317,0
20-17-21,114.157898,22.609150,1
20-17-32,114.134186,22.617350,0
20-18-22,114.139099,22.575718,1
20-18-57,114.043404,22.523832,0
20-19-9,114.048302,22.537434,1
20-19-43,113.919220,22.505650,0
20-19-50,113.927483,22.510983,1
20-20-5,113.920197,22.543234,0
20-21-7,114.006470,22.536484,1
20-21-32,114.100571,22.552616,0
20-21-37,114.104019,22.553682,1
20-21-58,114.062698,22.535549,0
20-22-15,114.087402,22.566383,1
20-22-25,114.092316,22.579901,0
20-22-28,114.098434,22.580017,1
20-22-38,114.117996,22.560417,0
20-22-55,114.116531,22.558733,1
20-23-0,114.125847,22.547850,0
20-23-3,114.122780,22.545183,1
20-23-16,114.108833,22.558666,0
20-23-22,114.136047,22.566732,1
20-23-30,114.127914,22.586651,0
21-6-42,114.138252,22.608732,1
21-6-55,114.105682,22.592882,0
21-7-14,114.106049,22.590218,1
21-7-24,114.107597,22.568268,0
21-7-35,114.120850,22.558767,1
21-7-47,114.123520,22.607450,0
21-7-51,114.128487,22.612818,1
21-7-55,114.119797,22.621218,0
21-7-56,114.119331,22.620150,1
21-8-32,114.126617,22.552834,0
21-8-43,114.120102,22.570784,1
21-8-47,114.115700,22.555849,0
21-8-47,114.115448,22.554800,1
21-9-1,114.098396,22.579950,0
21-9-4,114.098663,22.573032,1
21-9-16,114.093384,22.548634,0
21-9-17,114.093002,22.549967,1
21-9-33,114.035881,22.543818,0
21-9-34,114.035400,22.543867,1
21-9-38,114.017548,22.544333,0
21-9-49,114.006950,22.549801,1
21-9-55,113.989067,22.538816,0
21-9-57,113.988419,22.536318,1
21-10-4,113.960136,22.549334,0
21-10-22,114.008217,22.536501,1
21-10-27,114.008133,22.538183,0
21-10-27,114.008034,22.538317,1
21-10-45,114.064751,22.531584,0
21-11-4,114.133003,22.582367,1
21-11-14,114.099350,22.559267,0
21-11-47,114.134483,22.565216,1
21-11-59,114.112366,22.588133,0
21-12-5,114.130730,22.584383,1
21-12-14,114.134964,22.570400,0
21-12-14,114.133949,22.571100,1
21-12-19,114.123131,22.576401,0
21-12-31,114.112099,22.601032,1
21-12-40,114.136436,22.583099,0
21-12-42,114.139984,22.579201,1
21-12-54,114.115936,22.542351,0
21-13-7,114.118202,22.537466,1
21-13-13,114.081703,22.542667,0
21-13-27,114.118179,22.548082,1
21-13-35,114.106636,22.566616,0
21-13-39,114.107582,22.568333,1
21-13-41,114.111084,22.558683,0
21-14-0,114.086716,22.540768,1
21-14-5,114.097099,22.542116,0
21-14-6,114.097420,22.543417,1
21-14-13,114.110565,22.545334,0
21-14-20,114.117020,22.545668,1
21-14-29,114.128418,22.577217,0
21-14-30,114.132202,22.577267,1
21-14-36,114.123764,22.542967,0
21-15-5,114.137070,22.563084,1
21-15-31,114.114067,22.531866,0
21-16-59,114.082352,22.704634,1
21-17-1,114.091019,22.701668,0
21-17-22,114.123665,22.698168,1
21-18-16,114.118469,22.553034,0
21-18-17,114.116547,22.549417,1
21-18-30,114.113647,22.534332,0
21-18-30,114.113914,22.534283,1
21-19-16,114.117104,22.576218,0
21-19-34,114.121185,22.607683,1
21-19-34,114.120033,22.607082,0
21-19-40,114.111069,22.586451,1
21-19-57,113.955582,22.556534,0
21-20-23,113.930168,22.519182,1
21-20-31,113.936714,22.536568,0
21-20-31,113.937065,22.535717,1
21-20-42,113.916351,22.500351,0
21-20-44,113.917480,22.504284,1
21-20-53,113.918114,22.524782,0
21-20-59,113.923317,22.528400,1
21-21-4,113.932419,22.521601,0
21-21-13,113.931480,22.518900,1
21-21-30,113.917648,22.543182,0
21-21-34,113.915848,22.543501,1
21-21-45,113.910316,22.531851,0
21-22-6,113.904953,22.554350,1
21-22-21,113.906769,22.555017,0
21-22-28,113.904999,22.554934,1
21-22-33,113.918869,22.545366,0
21-22-36,113.918671,22.546534,1
21-22-43,113.904701,22.555967,0
