time,jd,wd,status
18-0-57,114.117119,22.546534,0
18-1-6,114.099869,22.558617,1
18-1-17,113.978081,22.561983,0
18-1-33,114.087730,22.561234,1
18-1-34,114.087784,22.561399,0
18-1-44,114.088448,22.562283,1
18-1-46,114.094566,22.560534,0
18-2-9,114.087379,22.560984,1
18-2-18,114.130363,22.583750,0
18-7-8,114.062866,22.518383,1
18-7-26,113.896866,22.565067,0
18-7-37,113.909683,22.545500,1
18-7-53,113.939835,22.542583,0
18-7-58,113.961967,22.541683,1
18-8-39,113.816170,22.646999,0
18-10-10,113.816719,22.646217,1
18-10-20,113.918968,22.572550,0
18-10-47,114.067467,22.524166,1
18-10-56,114.059334,22.526899,0
18-11-0,114.050880,22.519266,1
18-11-2,114.043068,22.520683,0
18-11-27,114.041451,22.523951,1
18-11-34,114.062584,22.527918,0
18-11-44,114.068047,22.529034,1
18-11-45,114.067436,22.524683,0
18-12-11,114.067535,22.531933,1
18-12-30,114.112419,22.547701,0
18-12-32,114.110435,22.547001,1
18-12-42,114.118736,22.575518,0
18-13-37,114.117981,22.573999,1
18-13-42,114.119949,22.596600,0
18-14-26,114.117836,22.589100,1
18-14-38,114.100601,22.580366,0
18-14-48,114.115021,22.576349,1
18-14-54,114.116417,22.550467,0
18-14-55,114.116684,22.548018,1
18-15-11,114.114136,22.534483,0
18-15-13,114.113548,22.534451,1
18-15-18,114.126816,22.543850,0
18-15-19,114.125984,22.544800,1
18-15-45,114.071968,22.539949,0
18-15-48,114.071953,22.541401,1
18-15-59,114.091270,22.544184,0
18-16-10,114.096970,22.551832,1
18-16-21,114.114014,22.531866,0
18-16-30,114.115532,22.540934,1
18-16-41,114.132599,22.550266,0
18-16-44,114.127167,22.549917,1
18-16-52,114.120934,22.541468,0
18-16-52,114.122482,22.540882,1
18-17-4,114.132530,22.571817,0
18-17-10,114.135284,22.570284,1
18-17-47,114.063499,22.517349,0
18-17-48,114.062881,22.517817,1
18-17-59,114.031464,22.523701,0
18-18-2,114.038048,22.523268,1
18-18-10,114.047981,22.537268,0
18-18-11,114.050934,22.537399,1
18-18-16,114.046883,22.527718,0
18-18-19,114.044998,22.528633,1
18-18-39,113.986732,22.536699,0
18-18-39,113.986534,22.538250,1
18-18-53,114.025200,22.537100,0
18-18-54,114.024216,22.537100,1
18-19-15,114.050018,22.525801,0
18-20-51,114.039146,22.530867,1
18-21-9,113.949471,22.581367,0
18-21-9,113.949615,22.583401,1
18-21-32,113.960930,22.596600,0
18-21-41,113.949883,22.583717,1
18-21-58,113.920815,22.530199,0
18-22-1,113.919785,22.533100,1
18-22-16,113.890366,22.571417,0
18-22-49,113.891830,22.504150,1
18-22-54,113.904633,22.515917,0
18-23-7,113.932770,22.522167,1
18-23-13,113.923119,22.519783,0
18-23-54,113.895699,22.563618,1
19-0-4,113.909554,22.525017,0
19-0-38,114.022484,22.538584,1
19-2-8,114.167000,22.564466,0
19-2-9,114.164085,22.564333,1
19-2-13,114.157280,22.567667,0
19-7-22,114.063019,22.518499,1
19-7-48,113.814583,22.649817,0
19-10-7,113.816254,22.647266,1
19-10-31,113.921280,22.514050,0
19-11-3,113.908684,22.479851,1
19-11-6,113.907829,22.485884,0
19-11-47,114.107803,22.547318,1
19-11-52,114.113503,22.534416,0
19-12-2,114.081764,22.539867,1
19-12-16,114.083946,22.548901,0
19-12-21,114.091003,22.551468,1
19-12-28,114.093819,22.540583,0
19-12-32,114.089882,22.541533,1
19-12-47,114.094498,22.567650,0
19-12-49,114.094597,22.567167,1
19-12-51,114.098816,22.566282,0
19-12-52,114.094719,22.566267,1
19-13-0,114.056183,22.568100,0
19-13-10,114.040802,22.556032,1
19-13-23,114.106850,22.553984,0
19-13-23,114.105431,22.553551,1
19-13-29,114.119400,22.574383,0
19-13-45,114.122620,22.571733,1
19-13-52,114.125000,22.565083,0
19-13-55,114.126114,22.570467,1
19-14-3,114.140671,22.559467,0
19-14-11,114.137619,22.569134,1
19-14-24,114.115753,22.547001,0
19-14-25,114.114700,22.546183,1
19-14-32,114.107620,22.537800,0
19-14-35,114.107803,22.537350,1
19-14-38,114.101952,22.541134,0
19-14-39,114.100517,22.541149,1
19-14-55,114.117531,22.541250,0
19-14-59,114.118202,22.539900,1
19-15-12,114.112579,22.542217,0
19-15-22,114.115097,22.534733,1
19-15-45,114.304283,22.598333,0
19-16-9,114.307816,22.601400,1
19-16-12,114.302567,22.603300,0
19-17-16,114.122017,22.544832,1
19-17-19,114.117699,22.543583,0
19-17-22,114.116081,22.542383,1
19-17-28,114.118179,22.543400,0
19-17-29,114.118317,22.543751,1
19-17-35,114.114830,22.534750,0
19-17-39,114.113815,22.534050,1
19-17-48,114.093864,22.538349,0
19-17-57,114.077637,22.538799,1
19-18-4,114.088036,22.541267,0
19-18-16,114.106117,22.543734,1
19-18-30,114.111320,22.534517,0
19-19-1,114.080864,22.536983,1
19-19-23,114.049431,22.525766,0
19-19-41,114.063118,22.534967,1
19-20-14,114.057869,22.621651,0
19-20-36,114.055519,22.625351,1
19-20-42,114.045517,22.604250,0
19-21-0,114.085670,22.549168,1
19-21-17,114.113930,22.538099,0
19-21-32,114.115181,22.539249,1
19-21-39,114.113899,22.531851,0
19-21-40,114.114632,22.534483,1
19-21-58,114.130669,22.610867,0
19-22-38,114.100899,22.571501,1
19-22-46,114.102615,22.552567,0
19-22-49,114.103287,22.549200,1
19-23-0,114.088219,22.543867,0
19-23-5,114.081635,22.551216,1
19-23-18,114.093864,22.580667,0
19-23-36,114.087585,22.561132,1
20-0-5,114.062950,22.529284,0
20-0-5,114.063103,22.526716,1
20-0-9,114.063049,22.538733,0
20-0-11,114.066750,22.542500,1
20-0-26,114.135864,22.553833,0
20-0-51,114.087265,22.560499,1
20-0-58,114.088432,22.541250,0
20-1-12,114.087379,22.560984,1
20-1-24,114.084282,22.535217,0
20-1-28,114.081619,22.546200,1
20-1-44,114.032547,22.624599,0
20-2-5,114.087814,22.561434,1
20-2-28,113.961983,22.542017,0
20-7-30,114.038948,22.524467,1
20-7-41,114.043587,22.557484,0
20-7-45,114.048752,22.567051,1
20-7-57,114.050934,22.548767,0
20-8-19,114.044067,22.527718,1
20-8-35,113.995834,22.528883,0
20-8-54,113.953979,22.544367,1
20-8-59,113.943848,22.532650,0
20-11-24,114.080765,22.540632,1
20-12-49,113.941017,22.546167,0
20-13-0,113.940804,22.539833,1
20-13-5,113.937248,22.542982,0
20-13-12,113.945084,22.536400,1
20-13-34,114.053329,22.535700,0
20-14-1,114.051498,22.527218,1
20-14-11,114.118034,22.539734,0
20-14-22,114.113815,22.533800,1
20-14-35,114.123650,22.569668,0
20-14-42,114.136398,22.569468,1
20-14-51,114.117668,22.543432,0
20-14-55,114.113731,22.544001,1
20-15-16,114.114151,22.545883,0
20-15-19,114.109802,22.545782,1
20-15-22,114.113831,22.534582,0
20-15-25,114.114929,22.534866,1
20-15-33,114.134750,22.565517,0
20-15-50,114.081818,22.539316,1
20-16-6,114.089134,22.551817,0
20-16-7,114.088699,22.551733,1
20-16-16,114.084167,22.543600,0
20-16-18,114.084015,22.543234,1
20-16-18,114.083618,22.543182,0
20-16-23,114.067535,22.542250,1
20-16-31,114.020981,22.532351,0
20-16-31,114.018768,22.532066,1
20-16-44,113.943619,22.540934,0
20-16-45,113.947365,22.541767,1
20-17-1,114.025833,22.534201,0
20-17-4,114.027252,22.537451,1
20-17-9,114.017548,22.540216,0
20-17-14,114.018784,22.539900,1
20-17-40,114.079369,22.562799,0
20-17-43,114.081268,22.558767,1
20-17-53,114.094536,22.559851,0
20-17-54,114.094635,22.558683,1
20-18-2,114.095284,22.558468,0
20-18-20,114.112701,22.546618,1
20-18-30,114.116966,22.536383,0
20-18-43,114.171021,22.562532,1
20-19-18,114.049797,22.525749,0
20-19-28,114.067436,22.524233,1
20-19-41,114.065414,22.531467,0
20-19-52,114.067101,22.525000,1
20-20-6,114.014130,22.564583,0
20-21-1,114.029915,22.617832,1
20-21-21,114.029884,22.544832,0
20-21-22,114.029831,22.545317,1
20-21-26,114.021317,22.539217,0
20-21-36,113.986771,22.541634,1
20-21-43,113.971397,22.540716,0
20-21-45,113.968231,22.540449,1
20-21-54,114.016479,22.531233,0
20-23-31,113.852768,22.569950,1
20-23-36,113.860214,22.566282,0
20-23-57,113.896217,22.563267,1
21-0-10,114.055283,22.565117,0
21-0-44,114.087700,22.561234,1
21-0-50,114.087730,22.541183,0
21-0-54,114.090103,22.545401,1
21-0-57,114.086403,22.553217,0
21-1-26,114.087730,22.561268,1
21-1-33,114.084183,22.540117,0
21-1-51,114.087265,22.560917,1
21-2-0,114.121384,22.547716,0
21-7-8,114.038849,22.525517,1
21-7-19,114.077080,22.543484,0
21-7-22,114.063553,22.542950,1
21-7-34,113.991783,22.540234,0
21-7-37,113.991653,22.543417,1
21-7-43,113.978165,22.562416,0
21-7-44,113.978615,22.563168,1
21-7-57,114.025398,22.602617,0
21-8-5,114.038963,22.606716,1
