time,jd,wd,status
24-0-11,114.218948,22.731318,0
24-0-50,114.273582,22.733299,1
24-0-58,114.252167,22.730482,0
24-1-1,114.250801,22.729151,1
24-1-7,114.265900,22.749800,0
24-1-39,114.251183,22.720516,1
24-1-43,114.251701,22.719151,0
24-1-58,114.251335,22.735518,1
24-2-14,114.249649,22.722200,0
24-3-3,114.247971,22.736217,1
24-3-11,114.231049,22.728001,0
24-3-54,114.253181,22.735901,1
24-3-58,114.274216,22.742950,0
24-4-12,114.231735,22.697283,1
24-4-15,114.223633,22.702999,0
22-6-55,114.241852,22.728483,1
22-6-59,114.235550,22.722532,0
22-7-4,114.239685,22.728468,1
22-7-10,114.235619,22.719032,0
22-7-17,114.241600,22.728500,1
22-7-23,114.235634,22.717850,0
22-7-30,114.239868,22.728483,1
22-7-36,114.223747,22.729366,0
22-7-44,114.235313,22.728416,1
22-7-54,114.228935,22.699867,0
22-7-55,114.225899,22.701283,1
22-7-58,114.220802,22.705482,0
22-8-3,114.224014,22.702932,1
22-8-15,114.213936,22.727900,0
22-8-17,114.217216,22.725000,1
22-8-27,114.233253,22.713751,0
22-8-33,114.241516,22.720633,1
22-8-39,114.236816,22.728468,0
22-9-8,114.218536,22.724751,1
22-9-12,114.227303,22.722067,0
22-9-28,114.236565,22.709932,1
22-9-40,114.261299,22.725683,0
22-9-40,114.261284,22.725683,1
22-9-45,114.266533,22.728001,0
22-9-58,114.252296,22.725451,1
22-10-3,114.252136,22.718616,0
22-10-24,114.260452,22.731501,1
22-10-41,114.223633,22.702499,0
22-10-42,114.224503,22.702200,1
22-10-49,114.235016,22.695267,0
22-10-56,114.262085,22.711166,1
22-11-2,114.287102,22.720716,0
22-12-14,114.245651,22.724583,1
22-12-19,114.230484,22.710684,0
22-12-45,114.237320,22.712566,1
22-12-57,114.247902,22.727051,0
22-13-26,114.241264,22.720818,1
22-13-40,114.209534,22.707684,0
22-14-5,114.227516,22.724600,1
22-14-39,114.235001,22.708500,0
22-14-42,114.227165,22.700283,1
22-14-47,114.221718,22.704433,0
22-15-31,114.281815,22.728201,1
22-15-44,114.251137,22.722767,0
22-16-12,114.268814,22.732599,1
22-16-20,114.257713,22.740433,0
22-16-31,114.257202,22.728483,1
22-16-42,114.252930,22.736032,0
22-18-44,114.263100,22.718817,1
22-18-57,114.228867,22.737949,0
22-19-19,114.242470,22.721567,1
22-19-29,114.267403,22.721466,0
20-12-25,114.108200,22.697783,1
20-12-32,114.129982,22.702618,0
20-12-35,114.128998,22.707500,1
20-12-50,114.207214,22.726900,0
20-13-46,114.259514,22.730150,1
20-13-51,114.269882,22.731550,0
20-14-4,114.206230,22.728300,1
24-22-30,114.272018,22.731216,0
24-22-56,114.309570,22.732401,1
24-23-5,114.308533,22.706118,0
24-23-17,114.271400,22.731333,1
24-23-28,114.235085,22.732117,0
24-23-37,114.235535,22.727783,1
24-23-41,114.229332,22.726650,0
24-23-49,114.247971,22.736282,1
24-23-57,114.225220,22.705883,0
