time,jd,wd,status
18-0,114.087334,22.541166,1
18-0,114.140198,22.554850,0
18-0,114.136551,22.550501,1
18-0,114.118080,22.550882,0
18-1,114.086670,22.540768,1
18-1,114.021820,22.640333,0
18-2,114.087120,22.540968,1
18-2,114.113182,22.546316,0
18-6,114.039581,22.522318,1
18-6,114.055946,22.535067,0
18-7,114.048668,22.518333,1
18-7,114.110931,22.536283,0
18-7,114.107765,22.536283,1
18-7,114.119835,22.579250,0
18-7,114.120735,22.579218,1
18-8,114.114098,22.531450,0
18-8,114.111519,22.540850,1
18-8,114.124565,22.547449,0
18-8,114.123817,22.547318,1
18-8,114.056870,22.531816,0
18-9,114.045349,22.527666,1
18-9,114.050819,22.547283,0
18-9,114.062897,22.539717,1
18-9,114.052383,22.535316,0
18-9,114.046898,22.528067,1
18-9,114.026115,22.538282,0
18-9,114.043068,22.527468,1
18-9,114.064163,22.533300,0
18-10,114.063721,22.532000,1
18-10,114.055748,22.531767,0
18-10,114.046921,22.527651,1
18-10,113.945297,22.524483,0
18-10,113.909264,22.486366,1
18-10,113.915947,22.490982,0
18-10,113.925369,22.496149,1
18-11,113.921951,22.517366,0
18-11,113.921829,22.526234,1
18-11,113.931068,22.520767,0
18-11,113.925980,22.522100,1
18-11,113.928185,22.547434,0
18-11,113.923050,22.551767,1
18-12,113.917801,22.499184,0
18-12,113.924599,22.522232,1
18-12,113.918137,22.554600,0
18-12,113.923866,22.555067,1
18-12,113.937897,22.555849,0
18-12,113.940498,22.544518,1
18-13,113.908447,22.550568,0
18-13,113.906967,22.552900,1
18-13,114.084167,22.547632,0
18-13,114.068047,22.546949,1
18-14,114.032730,22.571133,0
18-14,114.034897,22.568199,1
18-14,114.043434,22.557699,0
18-14,114.041084,22.561951,1
18-14,114.065018,22.571199,0
18-14,114.067398,22.571167,1
18-14,114.080635,22.557217,0
18-14,114.078415,22.549084,1
18-14,114.078766,22.541918,0
18-14,114.081596,22.539618,1
18-15,114.051048,22.525749,0
18-15,114.046829,22.530018,1
18-15,114.076065,22.548933,0
18-15,114.075653,22.547216,1
18-15,114.060616,22.562416,0
18-15,114.044296,22.557266,1
18-15,114.051414,22.510900,0
18-15,114.050797,22.510700,1
18-16,114.010246,22.534918,0
18-16,114.009354,22.534933,1
18-16,114.055702,22.622168,0
18-17,114.041679,22.566999,1
18-17,114.047119,22.567932,0
18-17,114.033852,22.551300,1
18-17,114.027451,22.546017,0
18-17,114.032387,22.541283,1
18-17,114.027603,22.545883,0
18-17,114.029449,22.540783,1
18-18,114.010834,22.552549,0
18-18,114.015366,22.539850,1
18-18,113.931030,22.521784,0
18-18,113.940651,22.523983,1
18-18,113.944946,22.542900,0
18-18,113.991020,22.535233,1
18-19,114.050064,22.535233,0
18-19,114.050049,22.533100,1
18-19,114.044785,22.526783,0
18-19,114.102303,22.537916,1
18-20,114.113785,22.538967,0
18-20,114.113235,22.542566,1
18-21,114.122253,22.542982,0
18-21,114.116615,22.548532,1
18-21,114.110367,22.542000,0
18-22,114.113899,22.540617,1
18-22,114.086533,22.537718,0
18-22,114.083199,22.537600,1
18-22,114.078232,22.534634,0
18-22,114.077065,22.535801,1
18-22,114.124084,22.544033,0
18-22,114.113503,22.543449,1
18-22,114.105003,22.549032,0
18-22,114.104881,22.551733,1
18-22,114.103180,22.552782,0
18-22,114.102615,22.552500,1
18-22,114.086914,22.540833,0
18-22,114.084503,22.540751,1
18-23,114.045647,22.545433,0
18-23,114.058197,22.538017,1
18-23,114.060402,22.526016,0
18-23,114.086800,22.540850,1
18-23,114.101379,22.555517,0
20-0,114.106636,22.536383,1
20-0,114.112053,22.547684,0
20-0,114.105080,22.541616,1
20-0,114.082130,22.552799,0
20-0,114.081367,22.551350,1
20-0,114.101349,22.541233,0
20-1,114.085052,22.540800,1
20-1,114.131683,22.565866,0
20-2,114.113831,22.546333,1
20-2,114.119934,22.546101,0
20-3,114.087769,22.541283,1
20-3,114.093849,22.541067,0
20-7,114.042847,22.519449,1
20-7,114.050880,22.548767,0
20-7,114.047630,22.548050,1
20-7,113.919098,22.541767,0
20-7,113.919365,22.540934,1
20-8,113.964119,22.541550,0
20-8,113.979599,22.539534,1
20-8,114.049553,22.538200,0
20-8,114.040985,22.523300,1
20-8,114.021347,22.539433,0
20-8,114.012947,22.547400,1
20-9,114.037598,22.547768,0
20-9,114.037880,22.546700,1
20-9,114.078667,22.542482,0
20-9,114.076485,22.540100,1
20-9,114.087852,22.550383,0
20-9,114.087799,22.549032,1
20-9,114.084450,22.571167,0
20-9,114.083549,22.571817,1
20-10,114.048485,22.524500,0
20-10,114.048317,22.521116,1
20-10,114.105865,22.543432,0
20-10,114.077347,22.532516,1
20-10,114.062798,22.517584,0
20-11,114.042648,22.520767,1
20-11,114.028183,22.532000,0
