time,jd,wd,status
18-20-6,114.142082,22.555767,1
18-20-17,114.122932,22.567133,0
18-20-24,114.120819,22.569050,1
18-20-51,114.053070,22.517483,0
18-20-52,114.053017,22.517267,1
18-20-54,114.055717,22.513866,0
18-21-9,114.062950,22.517782,1
18-21-21,114.075584,22.536617,0
18-21-36,114.070984,22.545732,1
18-21-47,114.055717,22.513399,0
18-21-48,114.055679,22.513416,1
18-22-7,114.115402,22.558132,0
18-22-10,114.115250,22.558750,1
18-22-19,114.098450,22.569433,0
18-22-21,114.099014,22.566282,1
18-22-38,114.047119,22.525784,0
18-22-39,114.045784,22.525850,1
18-22-48,114.025131,22.555849,0
18-23-4,114.041916,22.560266,1
18-23-13,114.039268,22.604183,0
18-23-42,114.053329,22.570932,1
18-23-52,114.041283,22.524282,0
19-0-18,114.042419,22.570217,1
19-0-26,114.033234,22.561033,0
19-1-58,114.052551,22.571167,1
19-2-1,114.049820,22.567516,0
19-2-7,114.039566,22.570633,1
19-2-24,114.032532,22.631817,0
19-6-17,114.051735,22.558233,1
19-6-21,114.037903,22.566467,0
19-6-39,114.041534,22.573532,1
19-6-50,114.086502,22.558233,0
19-7-20,114.059219,22.562384,1
19-7-33,114.118179,22.555433,0
19-7-43,114.107483,22.549334,1
19-7-49,114.113449,22.537649,0
19-8-8,114.114250,22.532566,1
19-8-14,114.113884,22.545134,0
19-8-22,114.105751,22.550583,1
19-8-24,114.105751,22.550583,0
19-8-26,114.105751,22.550583,1
19-8-45,114.063751,22.535583,0
19-8-51,114.066017,22.537649,1
19-8-57,114.059067,22.544649,0
19-9-6,114.066185,22.547533,1
19-9-9,114.059349,22.546350,0
19-9-18,114.059219,22.561518,1
19-9-28,114.045700,22.540951,0
19-9-38,114.046021,22.567450,1
19-9-53,114.103264,22.572268,0
19-9-56,114.107780,22.570732,1
19-10-8,114.094849,22.565149,0
19-10-9,114.094482,22.565884,1
19-11-22,114.103081,22.544399,0
19-11-23,114.104416,22.545668,1
19-10-33,114.094849,22.542282,0
19-10-34,114.095215,22.542601,1
19-10-42,114.104515,22.539351,0
19-10-43,114.104584,22.539766,1
19-10-49,114.114197,22.531683,0
19-10-53,114.113716,22.539400,1
19-11-1,114.126221,22.553183,0
19-11-2,114.126221,22.552851,1
19-11-8,114.135666,22.569033,0
19-11-8,114.135651,22.568899,1
19-11-12,114.123779,22.569901,0
19-11-14,114.121147,22.569349,1
19-11-17,114.104134,22.565050,0
19-11-20,114.103851,22.566450,1
19-12-0,114.031914,22.667683,0
19-12-20,114.026466,22.641367,1
