time,jd,wd,status
18-0-3,114.044670,22.532618,1
18-0-9,114.032867,22.571016,0
18-0-59,114.089668,22.540251,1
18-1-6,114.120697,22.547617,0
18-1-19,114.089203,22.537916,1
18-1-24,114.071854,22.543850,0
18-5-49,114.104065,22.555717,1
18-6-21,113.897133,22.558033,0
18-6-44,113.912415,22.513416,1
18-6-52,113.943115,22.506433,0
18-7-6,113.944885,22.506567,1
18-7-32,113.814667,22.649683,0
18-7-53,113.867149,22.577267,1
18-8-41,113.938416,22.539118,0
18-8-44,113.943634,22.539301,1
18-8-57,113.953568,22.574984,0
18-8-58,113.954399,22.574232,1
18-9-21,114.050835,22.551083,0
18-9-41,114.039520,22.549368,1
18-9-57,114.072220,22.530783,0
18-9-58,114.072197,22.531067,1
18-10-11,114.082352,22.540684,0
18-10-14,114.085350,22.540684,1
18-10-19,114.074699,22.543182,0
18-10-22,114.074318,22.543167,1
18-10-33,114.086380,22.540817,0
18-10-39,114.084335,22.542200,1
18-10-49,114.113983,22.531450,0
18-10-55,114.111519,22.541517,1
18-10-58,114.116402,22.543318,0
18-11-0,114.119598,22.542116,1
18-11-10,114.114067,22.534433,0
18-11-12,114.114067,22.534416,1
18-11-19,114.138634,22.564016,0
18-11-21,114.136887,22.561449,1
18-11-33,114.112717,22.547567,0
18-11-35,114.112450,22.546150,1
18-11-39,114.106636,22.541000,0
18-11-55,114.101646,22.540983,1
18-11-59,114.099403,22.542749,0
18-12-2,114.099632,22.541367,1
18-12-15,114.057350,22.514450,0
18-12-15,114.057480,22.514433,1
18-12-21,114.060150,22.524616,0
18-12-25,114.063950,22.531500,1
18-12-39,114.114235,22.534349,0
18-12-45,114.137283,22.550983,1
18-12-48,114.132652,22.561350,0
18-12-48,114.132652,22.561466,1
18-13-2,114.118698,22.547867,0
18-13-3,114.117218,22.548134,1
18-13-23,114.068832,22.530100,0
18-13-25,114.072151,22.530867,1
18-13-32,114.058250,22.525867,0
18-13-34,114.051453,22.527834,1
18-13-42,114.051132,22.549084,0
18-13-49,114.047729,22.546083,1
18-13-58,114.057800,22.533266,0
18-13-59,114.056816,22.531767,1
18-14-10,114.081497,22.543283,0
18-14-37,114.055115,22.513767,1
18-15-19,114.103897,22.561417,0
18-15-21,114.103897,22.559683,1
18-15-31,114.111954,22.545668,0
18-15-34,114.112701,22.542868,1
18-15-36,114.115318,22.546167,0
18-15-38,114.117104,22.546600,1
18-15-46,114.125732,22.551317,0
18-15-48,114.125732,22.550383,1
18-15-53,114.109283,22.545433,0
18-16-9,114.089302,22.543449,1
18-16-29,114.013214,22.539467,0
18-16-45,114.020966,22.531767,1
18-16-49,114.064018,22.531418,0
18-16-54,114.102203,22.538082,1
18-16-58,114.110619,22.537416,0
18-17-2,114.105797,22.537184,1
18-17-23,114.031631,22.544018,0
18-17-41,114.004250,22.537600,1
18-18-14,114.043297,22.558033,0
18-18-14,114.043350,22.558083,1
18-18-37,113.988747,22.555317,0
18-18-46,113.999016,22.546316,1
18-18-50,114.011887,22.544367,0
18-18-50,114.011932,22.544382,1
18-18-56,114.020401,22.543367,0
18-19-0,114.015068,22.543617,1
18-19-10,114.032265,22.554567,0
18-19-16,114.035515,22.542000,1
18-19-17,114.031815,22.543467,0
18-20-6,114.077919,22.553699,1
18-20-14,114.106033,22.562050,0
18-20-15,114.106285,22.562000,1
18-20-31,114.057320,22.537416,0
18-20-32,114.056953,22.537167,1
18-20-38,114.038696,22.532133,0
18-20-46,114.054932,22.539467,1
18-20-58,114.030151,22.557467,0
18-20-59,114.030151,22.557417,1
18-21-14,113.961014,22.547001,0
18-21-31,113.963432,22.542566,1
18-21-41,113.986031,22.561434,0
18-21-46,113.978302,22.562401,1
18-22-0,114.107765,22.569733,0
18-22-3,114.107666,22.567900,1
18-22-21,114.088997,22.558582,0
18-22-40,114.069702,22.547850,1
18-22-43,114.078598,22.547800,0
18-22-47,114.076019,22.548317,1
18-22-51,114.072151,22.534767,0
18-22-53,114.073967,22.537933,1
18-23-0,114.046921,22.527634,0
18-23-3,114.049149,22.535366,1
18-23-7,114.064301,22.529682,0
18-23-20,114.067749,22.523968,1
18-23-31,114.082085,22.553482,0
19-5-44,114.019981,22.529182,1
19-5-51,114.068497,22.523849,0
19-6-10,114.074387,22.539316,1
19-6-15,114.071350,22.526882,0
19-6-30,114.100304,22.541733,1
19-7-2,113.814835,22.649267,0
19-7-35,113.877701,22.568333,1
19-8-4,113.939003,22.542500,0
19-8-12,113.962570,22.533484,1
19-8-30,114.060570,22.526934,0
19-8-34,114.061981,22.529367,1
19-8-44,114.101936,22.543034,0
19-8-45,114.101967,22.543533,1
19-8-49,114.120766,22.543699,0
19-8-50,114.120796,22.543550,1
19-8-59,114.113335,22.534567,0
19-9-0,114.112900,22.534933,1
19-9-20,114.027229,22.536751,0
19-9-26,114.025101,22.539984,1
19-9-30,114.009468,22.535851,0
19-9-40,114.009201,22.535900,1
19-9-56,114.058037,22.533016,0
19-10-3,114.062202,22.529600,1
19-10-6,114.057465,22.535784,0
19-10-25,114.059418,22.525850,1
19-10-42,114.103798,22.567432,0
19-10-47,114.103981,22.561283,1
19-10-59,114.122902,22.540934,0
19-11-1,114.123169,22.540951,1
19-11-15,114.088852,22.543900,0
19-11-23,114.079285,22.543249,1
19-11-35,114.092484,22.561417,0
19-11-36,114.092903,22.561617,1
19-11-47,114.120186,22.561068,0
19-11-56,114.122414,22.567167,1
19-12-5,114.131371,22.579599,0
19-12-6,114.131180,22.579582,1
19-12-14,114.084267,22.571301,0
19-12-38,114.079330,22.576933,1
19-12-51,114.051384,22.525967,0
19-12-55,114.056000,22.526068,1
19-13-2,114.032021,22.523350,0
19-13-6,114.040703,22.521566,1
19-13-11,114.058998,22.520067,0
19-13-12,114.059036,22.520132,1
19-13-16,114.063164,22.530701,0
19-13-18,114.059631,22.529583,1
19-13-27,114.104317,22.545483,0
19-13-28,114.104080,22.545567,1
19-13-33,114.091164,22.548800,0
19-13-35,114.092430,22.551867,1
19-13-46,114.114670,22.582167,0
19-13-48,114.111832,22.584932,1
19-14-2,114.078880,22.541033,0
19-14-5,114.080734,22.537149,1
19-14-7,114.074051,22.537634,0
19-14-9,114.074020,22.539167,1
19-14-16,114.080017,22.545233,0
19-14-17,114.080399,22.545300,1
19-14-30,114.111351,22.534283,0
19-14-32,114.111954,22.531218,1
19-15-0,114.071884,22.543751,0
19-15-1,114.071884,22.543550,1
19-15-7,114.047981,22.534767,0
19-15-8,114.047966,22.534901,1
19-15-16,114.062836,22.517599,0
19-15-25,114.062897,22.517782,1
19-15-48,114.086914,22.549368,0
19-15-52,114.089149,22.546801,1
19-16-3,114.116364,22.547617,0
19-16-4,114.114899,22.546583,1
19-16-22,114.068520,22.523884,0
19-16-27,114.064049,22.532034,1
19-16-33,114.059052,22.547617,0
19-16-53,114.024048,22.531334,1
19-16-58,114.038231,22.524000,0
19-17-4,114.048233,22.535217,1
19-17-13,114.075783,22.540100,0
19-17-14,114.075752,22.540117,1
19-17-22,114.063980,22.534599,0
19-17-23,114.064049,22.533800,1
19-17-38,114.077316,22.547583,0
19-17-43,114.077721,22.546482,1
19-18-19,114.113533,22.533649,0
19-18-22,114.113533,22.533649,1
19-19-20,113.889053,22.576950,0
19-19-24,113.895599,22.570368,1
19-19-40,113.919151,22.541468,0
19-19-46,113.934334,22.542383,1
19-19-56,113.918884,22.527433,0
19-19-57,113.919563,22.530399,1
19-20-10,113.982399,22.538700,0
19-20-22,114.008347,22.548500,1
19-20-36,114.060921,22.571251,0
19-20-37,114.060936,22.571150,1
19-20-37,114.060684,22.571167,0
19-20-50,114.040947,22.574551,1
19-20-59,114.043053,22.544518,0
19-21-7,114.043098,22.527500,1
19-21-19,114.062836,22.517584,0
19-21-26,114.062950,22.517817,1
19-21-51,114.048897,22.567734,0
19-21-58,114.050797,22.567217,1
19-22-3,114.066330,22.573032,0
19-22-29,114.069679,22.548000,1
19-22-35,114.087784,22.561367,0
19-22-35,114.087898,22.561417,1
19-22-50,114.137230,22.625999,0
19-23-5,114.102585,22.593384,1
19-23-21,114.074837,22.539883,0
19-23-29,114.069801,22.547934,1
19-23-43,114.029404,22.528133,0
20-0-5,114.085434,22.545500,1
20-0-20,114.055832,22.624367,0
