time,jd,wd,status
18-1-39,114.088783,22.558533,1
18-2-3,114.146484,22.554550,0
18-2-4,114.143799,22.555651,1
18-2-9,114.130615,22.543833,0
18-7-16,114.112534,22.584949,1
18-7-28,114.085419,22.558416,0
18-7-34,114.070084,22.558132,1
18-7-50,114.043182,22.520533,0
18-7-55,114.045181,22.525682,1
18-8-9,114.111069,22.535933,0
18-8-15,114.109665,22.537867,1
18-8-39,114.114197,22.531532,0
18-8-41,114.114197,22.531532,1
18-9-12,114.115685,22.556232,0
18-9-13,114.115517,22.555700,1
18-9-18,114.103218,22.552868,0
18-9-19,114.100685,22.552183,1
18-9-34,114.056267,22.531782,0
18-9-45,114.049919,22.528000,1
18-10-4,114.113647,22.540518,0
18-10-4,114.113266,22.539000,1
18-10-16,114.115181,22.534634,0
18-10-19,114.118698,22.537718,1
18-10-23,114.108635,22.541634,0
18-10-25,114.109581,22.541800,1
18-10-33,114.116684,22.550266,0
18-10-34,114.116631,22.549900,1
18-10-42,114.122902,22.558067,0
18-10-44,114.121552,22.557568,1
18-10-48,114.122849,22.546499,0
18-10-50,114.122032,22.546034,1
18-11-7,114.058670,22.542982,0
18-11-9,114.062836,22.540051,1
18-11-16,114.044319,22.541651,0
18-11-20,114.044296,22.548901,1
18-11-25,114.041069,22.555149,0
18-11-27,114.044235,22.549282,1
18-11-32,114.054031,22.536682,0
18-11-51,114.067917,22.536501,1
18-11-52,114.067947,22.535667,0
18-12-40,114.064835,22.529617,1
18-12-48,114.039169,22.527250,0
18-12-55,114.046547,22.530500,1
18-13-6,114.037018,22.568451,0
18-13-16,114.048630,22.567867,1
18-13-31,114.021332,22.549767,0
18-13-37,114.035820,22.558950,1
18-13-51,114.054916,22.535217,0
18-13-56,114.063217,22.535784,1
18-14-19,114.029732,22.631317,0
18-14-23,114.033081,22.628733,1
18-14-40,114.066536,22.571234,0
18-14-42,114.065033,22.568684,1
18-14-47,114.089081,22.561884,0
18-14-48,114.088997,22.558483,1
18-14-57,114.070450,22.548117,0
18-14-58,114.069817,22.548050,1
18-15-11,114.044502,22.510834,0
18-15-16,114.062447,22.518618,1
18-15-45,114.101868,22.568817,0
18-16-3,114.128899,22.611418,1
18-16-7,114.137947,22.603867,0
18-16-15,114.129051,22.604900,1
18-16-24,114.098114,22.630632,0
18-16-32,114.105637,22.617649,1
18-16-32,114.105652,22.617599,0
18-17-31,114.117836,22.573683,1
18-17-35,114.116470,22.550034,0
18-17-37,114.117180,22.547983,1
18-17-51,114.123947,22.563932,0
18-17-52,114.124817,22.562584,1
18-18-4,114.117798,22.541517,0
18-18-11,114.117653,22.543400,1
18-18-58,113.814682,22.649668,0
18-20-6,114.042000,22.513750,1
18-20-29,114.129501,22.546801,0
18-20-42,114.119614,22.539133,1
18-20-56,114.101250,22.552483,0
18-21-9,114.113785,22.550449,1
18-21-18,114.127296,22.555233,0
18-21-21,114.124069,22.558500,1
18-21-32,114.132530,22.579634,0
18-21-55,114.025581,22.526217,1
18-22-3,114.058167,22.527617,0
18-22-6,114.059418,22.526434,1
18-22-11,114.062767,22.517599,0
18-22-22,114.062965,22.517782,1
18-22-33,114.024719,22.527134,0
18-22-36,114.024803,22.527267,1
18-22-56,113.896881,22.565100,0
19-0-3,114.047447,22.537416,1
19-0-18,113.962914,22.545067,0
19-1-56,114.047867,22.539183,1
19-2-7,114.078453,22.548849,0
19-6-43,114.112099,22.600582,1
19-6-58,114.114120,22.531450,0
19-7-4,114.112816,22.536249,1
19-7-14,114.078766,22.555201,0
19-7-28,114.084099,22.571484,1
19-7-41,114.071518,22.547701,0
19-7-42,114.071381,22.548100,1
19-7-51,114.045013,22.557966,0
19-7-52,114.045013,22.557917,1
19-8-9,114.048569,22.521717,0
19-8-12,114.048515,22.521717,1
19-8-30,114.101868,22.543283,0
19-8-32,114.103104,22.544216,1
19-8-41,114.078232,22.550501,0
19-8-52,114.077347,22.549133,1
19-9-3,114.114265,22.576183,0
19-9-5,114.112381,22.566151,1
19-9-16,114.111115,22.536182,0
19-9-16,114.111382,22.535084,1
19-9-22,114.120552,22.542084,0
19-9-23,114.120636,22.542967,1
19-9-38,114.068535,22.523884,0
19-9-45,114.071350,22.526850,1
19-9-45,114.071297,22.526833,0
19-9-46,114.071419,22.526817,1
19-9-56,114.118118,22.541300,0
19-9-57,114.117836,22.541233,1
19-10-19,114.062317,22.519333,0
19-10-22,114.059013,22.520100,1
19-10-31,114.044617,22.525600,0
19-10-34,114.044815,22.525583,1
19-10-39,114.056198,22.538834,0
19-10-53,114.057533,22.537382,1
19-10-53,114.056747,22.537466,0
19-10-53,114.056633,22.537600,1
19-11-24,113.908630,22.479549,0
19-11-28,113.910583,22.480667,1
19-12-20,113.816017,22.647318,0
19-13-12,113.894020,22.565250,1
19-13-21,113.939049,22.542534,0
19-14-4,113.961952,22.536449,1
19-14-33,114.115364,22.558634,0
19-14-35,114.121002,22.557568,1
19-14-43,114.104385,22.543083,0
19-14-44,114.104431,22.542850,1
19-14-52,114.095047,22.542717,0
19-14-55,114.101868,22.542067,1
19-15-13,114.165047,22.564417,0
19-15-15,114.163879,22.564167,1
19-15-19,114.164467,22.561100,0
19-15-26,114.164452,22.563417,1
19-15-38,114.117371,22.559017,0
19-15-40,114.118584,22.561216,1
19-15-51,114.163963,22.571083,0
19-15-52,114.163597,22.570999,1
19-16-14,114.059799,22.525118,0
19-16-16,114.060249,22.523451,1
19-16-21,114.045097,22.512432,0
19-16-23,114.050781,22.512484,1
19-16-37,114.114136,22.531683,0
19-16-40,114.111336,22.542383,1
19-16-53,114.085335,22.570183,0
19-16-56,114.093285,22.571800,1
19-17-6,114.102882,22.610317,0
19-17-18,114.111732,22.601816,1
19-17-37,114.114182,22.531218,0
19-17-40,114.117432,22.536949,1
19-17-47,114.116867,22.548201,0
19-17-47,114.116997,22.548166,1
19-18-4,114.097015,22.542017,0
19-18-12,114.084000,22.537582,1
19-19-8,114.053635,22.568399,0
19-19-12,114.054131,22.570450,1
19-19-21,114.037567,22.560900,0
19-19-26,114.038734,22.556101,1
19-19-29,114.024948,22.555849,0
19-19-31,114.021416,22.555517,1
19-19-34,114.030769,22.558100,0
19-19-43,114.016548,22.559717,1
19-20-6,114.126831,22.549999,0
19-20-7,114.125832,22.548883,1
19-20-15,114.091347,22.541500,0
19-20-20,114.091202,22.541567,1
19-20-27,114.077736,22.539633,0
19-20-28,114.077721,22.539333,1
19-20-40,114.035896,22.522551,0
19-20-55,114.058830,22.520267,1
19-21-11,114.113853,22.537800,0
19-21-12,114.113899,22.538033,1
19-21-18,114.106529,22.551468,0
19-21-34,114.104034,22.554649,1
19-21-41,114.118179,22.579399,0
19-21-42,114.119385,22.579300,1
19-21-59,114.047630,22.571033,0
19-22-7,114.025269,22.560400,1
19-22-12,114.041870,22.553450,0
19-22-29,114.021301,22.550016,1
19-22-39,114.074516,22.542883,0
19-22-42,114.078934,22.543083,1
19-22-48,114.087830,22.549883,0
19-22-51,114.091064,22.545750,1
19-22-56,114.082069,22.534250,0
19-23-1,114.092514,22.543266,1
19-23-42,114.115036,22.542732,0
19-23-46,114.118164,22.541166,1
20-0-20,113.923035,22.527884,0
20-0-21,113.922882,22.526833,1
20-0-0,114.112381,22.588066,0
20-0-17,114.117996,22.541033,1
20-0-27,114.137520,22.578217,0
20-0-47,114.106918,22.562433,1
20-0-52,114.115181,22.542833,0
20-1-40,114.112083,22.585699,1
20-1-42,114.111870,22.585367,0
20-6-32,114.096916,22.614300,1
20-6-32,114.097900,22.613317,0
20-6-46,114.112236,22.600433,1
20-6-59,114.114166,22.531183,0
20-7-9,114.111534,22.532867,1
20-7-20,114.041901,22.524567,0
20-7-34,114.038597,22.526649,1
20-7-42,114.062302,22.518482,0
20-7-47,114.052536,22.513149,1
20-7-59,114.039314,22.532450,0
20-8-2,114.036514,22.530832,1
20-8-22,113.903633,22.530167,0
20-8-28,113.903603,22.530216,1
20-9-18,114.134804,22.611317,0
20-9-31,114.135719,22.614634,1
20-9-55,114.124847,22.559017,0
20-10-5,114.116783,22.548201,1
20-10-12,114.121353,22.573999,0
20-10-13,114.121765,22.573816,1
20-10-20,114.124786,22.564716,0
20-10-21,114.124832,22.564768,1
20-10-26,114.101585,22.559767,0
20-10-29,114.103951,22.555767,1
20-10-42,114.071884,22.543200,0
20-10-55,114.071716,22.543716,1
20-11-9,114.114250,22.531233,0
