time,jd,wd,status
18-0,114.065948,22.531467,1
18-0,114.068436,22.523849,0
18-0,114.041817,22.530533,1
18-0,114.065300,22.537884,0
18-1,114.041634,22.530100,1
18-2,114.001297,22.550568,0
18-2,114.048203,22.539700,1
18-2,114.047630,22.525867,0
18-2,114.048218,22.537649,1
18-2,114.063614,22.538933,0
18-3,114.048416,22.537518,1
18-3,114.058929,22.520201,0
18-5,114.041946,22.525450,1
18-5,114.020332,22.531717,0
18-7,114.037453,22.527250,1
18-7,114.086784,22.552717,0
18-7,114.081329,22.553967,1
18-7,114.071365,22.544901,0
18-7,114.064049,22.543068,1
18-8,114.062614,22.571100,0
18-8,114.062614,22.571100,1
18-8,114.114952,22.582067,0
18-8,114.115730,22.582100,1
18-9,114.046432,22.530666,0
18-9,114.049599,22.528183,1
18-9,114.051147,22.511101,0
18-9,114.023636,22.525351,1
18-9,114.040550,22.530701,0
18-10,114.038536,22.524300,1
18-10,114.025635,22.536734,0
18-10,114.049080,22.537350,1
18-11,114.090851,22.570118,0
18-11,114.095016,22.568951,1
18-11,114.084297,22.571217,0
18-11,114.079880,22.573299,1
18-11,114.094582,22.564150,0
18-11,114.094566,22.562149,1
18-11,114.012466,22.555532,0
18-11,114.007919,22.548634,1
18-11,113.982513,22.538799,0
18-11,113.982452,22.539400,1
18-12,114.044250,22.521982,0
18-12,114.038086,22.529118,1
18-12,113.940369,22.543150,0
18-13,113.949097,22.540649,1
18-13,113.937218,22.543449,0
18-13,113.949532,22.541834,1
18-13,113.940567,22.540382,0
18-14,113.981667,22.535933,1
18-14,113.913933,22.508417,0
18-14,113.914833,22.508883,1
18-14,114.013481,22.540251,0
18-15,114.016815,22.540167,1
18-15,114.040604,22.556232,0
18-15,114.042130,22.553534,1
18-15,114.021332,22.535067,0
18-15,114.019066,22.537382,1
18-15,114.062531,22.519068,0
18-15,114.058784,22.517550,1
18-15,114.068398,22.523666,0
18-16,114.067947,22.523933,1
18-16,113.963654,22.543467,0
18-16,113.963570,22.542566,1
18-16,113.944016,22.558849,0
18-16,113.944016,22.558849,1
18-16,113.954964,22.573816,0
18-16,113.952415,22.559851,1
18-17,113.938683,22.539232,0
18-17,113.940201,22.539316,1
18-17,113.907036,22.532101,0
18-17,113.920364,22.514282,1
18-18,114.066116,22.619551,0
18-18,114.040436,22.610983,1
18-19,114.103920,22.565117,0
18-19,114.103920,22.565117,1
18-20,114.039680,22.528950,0
18-20,114.021347,22.546984,1
18-20,114.116585,22.566900,0
19-6,114.036934,22.527050,1
19-6,114.041969,22.521467,0
19-6,114.038170,22.525049,1
19-6,113.980637,22.535950,0
19-7,113.973068,22.540600,1
19-7,113.970047,22.552799,0
19-7,113.972252,22.550182,1
19-7,113.815918,22.647383,0
19-8,113.870834,22.574766,1
19-8,113.943268,22.542767,0
19-8,113.945984,22.542900,1
19-9,113.865379,22.571600,0
19-9,113.864700,22.567450,1
19-9,113.930367,22.544083,0
19-9,113.950516,22.542000,1
19-10,113.907784,22.515051,0
19-10,113.914597,22.510967,1
19-10,113.937553,22.551100,0
19-10,113.950134,22.537701,1
19-11,114.016281,22.538532,0
19-11,114.035004,22.530067,1
19-11,114.053268,22.537550,0
19-11,114.053268,22.537550,1
19-11,114.058998,22.544783,0
19-11,114.058998,22.544783,1
19-11,114.049515,22.537434,0
19-12,114.038132,22.529600,1
19-12,114.058434,22.522449,0
19-12,114.056633,22.523649,1
19-12,114.062485,22.517517,0
19-12,114.063431,22.517767,1
19-12,114.023804,22.529751,0
19-12,114.035080,22.530083,1
19-13,113.903152,22.561150,0
19-14,113.944183,22.543333,1
19-14,113.940651,22.559483,0
19-14,113.943886,22.558832,1
19-14,113.924454,22.548349,0
19-14,113.926468,22.544783,1
19-14,113.922966,22.515533,0
19-14,113.930717,22.517166,1
19-15,113.962013,22.536833,0
19-15,113.962036,22.536118,1
19-15,113.973335,22.538168,0
19-15,113.979103,22.539066,1
19-15,113.960503,22.538418,0
19-15,113.970917,22.539000,1
19-15,114.038651,22.524200,0
19-15,114.038231,22.529766,1
19-16,114.043533,22.557650,0
19-16,114.043533,22.557650,1
19-16,113.950081,22.570683,0
19-16,113.951653,22.559851,1
19-16,113.943619,22.540916,0
19-16,113.943619,22.540916,1
19-16,113.915070,22.541582,0
19-16,113.917831,22.535482,1
19-17,113.888184,22.490282,0
19-17,113.900467,22.513350,1
19-17,113.910332,22.529766,0
19-17,113.911148,22.531200,1
19-18,114.114136,22.534567,0
19-18,114.114136,22.533983,1
19-19,114.027786,22.624300,0
19-19,114.037964,22.608168,1
19-20,114.111053,22.535233,0
19-20,114.111801,22.531282,1
19-20,114.126404,22.613333,0
19-21,114.026314,22.561684,1
19-21,113.969734,22.554466,0
20-7,114.037354,22.527267,1
20-7,114.084068,22.551666,0
20-7,114.050079,22.535000,1
20-8,114.101913,22.543133,0
20-8,114.104469,22.542950,1
20-8,114.058136,22.536734,0
20-8,114.052681,22.531733,1
20-8,114.046982,22.540400,0
20-8,114.043884,22.524950,1
20-9,114.087852,22.543983,0
20-9,114.077232,22.540182,1
20-9,114.052818,22.534950,0
20-9,114.051384,22.527582,1
20-10,114.046417,22.517433,0
20-10,114.046417,22.517433,1
20-10,114.114052,22.534550,0
20-10,114.113670,22.540449,1
20-10,114.091019,22.545099,0
20-10,114.080330,22.543249,1
20-11,114.103333,22.561666,0
20-11,114.081619,22.559116,1
20-11,114.083336,22.552650,0
20-11,114.060402,22.543467,1
20-12,113.985336,22.544817,0
20-12,113.985336,22.544817,1
20-12,113.943085,22.541800,0
20-12,113.943565,22.540400,1
20-12,113.919518,22.540216,0
20-14,113.960030,22.544117,1
20-14,113.943230,22.588167,0
20-14,113.943352,22.586950,1
20-14,114.030632,22.557833,0
20-15,114.036751,22.558184,1
20-15,114.049202,22.525667,0
20-15,114.048515,22.525351,1
20-15,114.111702,22.547733,0
20-15,114.111702,22.547733,1
20-15,114.111214,22.542049,0
20-15,114.111069,22.547716,1
20-16,114.101685,22.559750,0
20-16,114.091949,22.561483,1
20-16,114.058464,22.545418,0
20-16,114.060402,22.543633,1
20-16,114.062798,22.517599,0
20-16,114.063034,22.517782,1
20-16,114.070099,22.551033,0
20-16,114.069420,22.551117,1
20-17,114.080650,22.549183,0
20-17,114.080650,22.549183,1
20-17,114.132950,22.579651,0
20-17,114.131516,22.579599,1
20-17,114.130920,22.600033,0
20-17,114.111549,22.597233,1
20-18,114.117332,22.559168,0
20-18,114.111580,22.548033,1
20-18,114.106285,22.543818,0
20-18,114.106285,22.543818,1
20-19,114.098900,22.561600,0
20-19,114.098900,22.561600,1
20-19,114.038620,22.555668,0
20-19,114.039764,22.553867,1
20-20,113.953079,22.542250,0
20-21,113.988930,22.538218,1
20-21,113.913651,22.521982,0
21-6,114.036667,22.527184,1
21-6,113.814217,22.650517,0
21-9,113.816452,22.646799,1
21-10,113.908585,22.479483,0
21-10,113.909500,22.486782,1
21-11,113.961967,22.559099,0
21-11,113.971581,22.540283,1
21-11,113.970367,22.550650,0
21-11,113.989403,22.541117,1
21-12,114.166199,22.568951,0
21-12,114.167831,22.564117,1
21-12,114.149284,22.557667,0
21-12,114.119781,22.541218,1
21-12,114.116470,22.536283,0
21-13,114.038666,22.526850,1
21-13,114.089798,22.543484,0
21-13,114.089798,22.543484,1
21-14,114.113464,22.543867,0
21-14,114.113464,22.543867,1
21-14,114.096352,22.564684,0
21-14,114.094833,22.564667,1
21-14,114.084381,22.571182,0
21-14,114.093285,22.571501,1
21-14,114.082115,22.554016,0
21-14,114.082115,22.554016,1
21-15,114.031319,22.562500,0
21-15,114.017448,22.540150,1
21-15,114.072197,22.530951,0
21-15,114.072197,22.530951,1
21-15,114.057281,22.529417,0
21-15,114.056831,22.530083,1
21-15,114.068436,22.523849,0
21-15,114.067902,22.523951,1
21-16,114.119247,22.544149,0
21-16,114.120598,22.543867,1
21-16,114.114067,22.531683,0
21-16,114.113899,22.538918,1
21-16,114.125702,22.552282,0
21-16,114.115952,22.546167,1
21-16,114.098099,22.540216,0
21-16,114.096298,22.540117,1
21-17,114.081635,22.539734,0
21-17,114.081635,22.539734,1
21-17,114.112236,22.552517,0
21-17,114.112320,22.546967,1
21-18,114.034286,22.549183,0
21-18,114.034264,22.549400,1
21-18,114.113235,22.585684,0
21-19,114.114067,22.552349,1
21-19,114.121880,22.566883,0
21-19,114.111832,22.546682,1
21-19,114.110817,22.545782,0
21-19,114.111366,22.546883,1
21-20,113.816185,22.646982,0
21-20,113.831764,22.649082,1
21-21,114.122566,22.548483,0
21-22,114.042252,22.530018,1
21-23,114.055580,22.513733,0
21-23,114.059235,22.527918,1
21-23,114.080437,22.538883,0
21-23,114.076385,22.535000,1
21-23,114.084869,22.540716,0
21-23,114.086571,22.540083,1
21-23,114.081680,22.533983,0
22-0,114.047882,22.537649,1
