time,jd,wd,status
18-0-10,114.125214,22.566133,1
18-0-16,114.116165,22.542900,0
18-0-27,114.107414,22.546949,1
18-0-39,114.034950,22.521967,0
18-1-16,114.050697,22.535433,1
18-1-21,114.039902,22.547968,0
18-1-28,114.038536,22.553167,1
18-1-31,114.043671,22.558451,0
18-1-48,114.049316,22.563551,1
18-1-55,114.021019,22.532400,0
18-2-24,114.035202,22.554733,1
18-2-25,114.041000,22.554100,0
18-5-46,114.027580,22.623716,1
18-6-1,114.089729,22.543417,0
18-7-8,114.038734,22.614067,1
18-7-57,114.109749,22.545717,0
18-8-2,114.107582,22.546600,1
18-8-30,114.054199,22.536083,0
18-8-34,114.051483,22.526867,1
18-8-40,114.045685,22.515984,0
18-8-43,114.050049,22.516850,1
18-8-46,114.044434,22.511168,0
18-8-47,114.041832,22.512733,1
18-9-14,114.119370,22.542133,0
18-9-15,114.119370,22.542133,1
18-9-33,114.056335,22.531799,0
18-9-46,114.032448,22.554399,1
18-9-56,114.049919,22.549368,0
18-10-2,114.057816,22.546017,1
18-10-24,114.139252,22.549816,0
18-10-24,114.140434,22.550016,1
18-11-0,113.930199,22.517267,0
18-11-6,113.932549,22.521933,1
18-11-19,114.046921,22.539867,0
18-11-23,114.044930,22.539400,1
18-11-32,114.018700,22.534233,0
18-11-42,114.042213,22.540600,1
18-11-54,114.081398,22.550034,0
18-11-56,114.077454,22.549084,1
18-12-11,114.055435,22.603050,0
18-12-15,114.052132,22.605801,1
18-12-18,114.041565,22.602167,0
18-12-22,114.039368,22.613033,1
18-12-36,114.036385,22.555767,0
18-12-59,114.036949,22.552250,1
18-13-7,114.037132,22.523399,0
18-13-15,114.038963,22.524384,1
18-13-24,114.062935,22.517550,0
18-13-26,114.062119,22.521717,1
18-13-38,114.111450,22.547001,0
18-13-41,114.108582,22.545116,1
18-13-55,114.081451,22.546900,0
18-13-58,114.081230,22.549383,1
18-14-7,114.099403,22.559750,0
18-14-11,114.097969,22.561533,1
18-14-19,114.090103,22.551800,0
18-14-20,114.088448,22.551767,1
18-14-24,114.077133,22.553917,0
18-14-25,114.077133,22.553917,1
18-14-39,114.050430,22.537582,0
18-14-45,114.046417,22.539467,1
18-15-2,113.931152,22.521833,0
18-15-18,113.947632,22.541901,1
18-15-25,113.923737,22.551634,0
18-15-27,113.924683,22.551649,1
18-15-42,113.914551,22.526466,0
18-15-50,113.915154,22.541651,1
18-15-56,113.936165,22.547182,0
18-15-58,113.939636,22.546150,1
18-16-24,114.081749,22.539700,0
18-16-27,114.078903,22.540449,1
18-16-42,114.051483,22.528482,0
18-16-44,114.051453,22.533150,1
18-16-55,114.020851,22.536318,0
18-16-59,114.035347,22.541267,1
18-17-3,114.040619,22.532017,0
18-17-4,114.040565,22.533068,1
18-17-26,114.104713,22.545782,0
18-17-27,114.105003,22.545650,1
18-17-32,114.105865,22.539499,0
18-17-33,114.105865,22.539499,1
18-17-42,114.114082,22.532049,0
18-17-46,114.111771,22.538782,1
18-17-52,114.111397,22.541883,0
18-17-59,114.110748,22.545082,1
18-18-9,114.109467,22.576567,0
18-18-44,114.043449,22.601000,1
18-19-2,114.063004,22.530518,0
18-19-9,114.056435,22.535667,1
18-20-10,114.130447,22.580618,0
18-20-11,114.130585,22.578867,1
18-20-27,114.149849,22.608566,0
18-20-30,114.149902,22.608566,1
18-20-43,114.128937,22.591766,0
18-20-54,114.102654,22.572634,1
18-20-58,114.098434,22.580017,0
18-21-6,114.089783,22.564617,1
18-21-25,114.128365,22.614599,0
18-21-37,114.110901,22.586567,1
18-21-41,114.117729,22.571301,0
18-21-49,114.112068,22.548483,1
18-21-59,114.131020,22.548700,0
18-22-14,114.113785,22.544050,1
18-22-23,114.117783,22.560383,0
18-22-26,114.115532,22.558901,1
18-22-43,114.156647,22.617649,0
18-22-49,114.150169,22.608183,1
18-23-5,114.114929,22.534384,0
18-23-11,114.119331,22.539618,1
18-23-17,114.101486,22.545967,0
18-23-21,114.100883,22.547300,1
18-23-27,114.108437,22.541500,0
18-23-51,114.106270,22.543949,1
18-23-54,114.106247,22.553249,0
19-0-10,114.094215,22.564650,1
19-0-22,114.141563,22.607817,0
19-1-4,114.121834,22.567667,1
19-1-8,114.136314,22.569851,0
19-1-38,114.124619,22.549101,1
19-2-9,113.924431,22.515383,0
19-2-14,113.930801,22.512899,1
19-2-20,113.921486,22.497700,0
19-2-23,113.921486,22.497700,1
19-2-29,113.930252,22.513033,0
19-3-12,113.925018,22.522034,1
19-3-52,114.097214,22.612066,0
19-4-6,114.107567,22.601500,1
19-4-19,114.112030,22.537701,0
19-5-1,114.111717,22.538950,1
19-5-4,114.106468,22.543283,0
19-7-26,114.039703,22.612368,1
19-8-2,114.059097,22.520100,0
19-8-12,114.061836,22.529432,1
19-8-21,114.047630,22.536350,0
19-8-22,114.047630,22.536350,1
19-8-26,114.052467,22.531250,0
19-8-28,114.056831,22.525900,1
19-9-1,113.948067,22.577833,0
19-9-8,113.955536,22.572983,1
19-9-35,114.084053,22.543083,0
19-9-35,114.084053,22.543083,1
19-9-46,114.062302,22.520433,0
19-9-48,114.060867,22.521650,1
19-10-4,114.036797,22.523184,0
19-10-14,114.034851,22.530167,1
19-10-21,114.047546,22.518551,0
19-10-22,114.047546,22.518551,1
19-10-28,114.045715,22.522100,0
19-10-33,114.048470,22.524967,1
19-10-41,114.048286,22.541800,0
19-10-44,114.048935,22.541134,1
19-10-49,114.053032,22.538851,0
19-10-59,114.037552,22.544132,1
19-11-2,114.045616,22.540983,0
19-11-5,114.047852,22.540117,1
19-11-13,114.020164,22.553167,0
19-11-24,114.035469,22.562201,1
19-11-33,114.058479,22.547333,0
19-11-34,114.058479,22.547333,1
19-11-42,114.021484,22.539400,0
19-11-45,114.018051,22.539932,1
19-11-50,114.010681,22.552517,0
19-11-52,114.016602,22.545732,1
19-12-11,114.114037,22.531767,0
19-12-21,114.114151,22.534283,1
19-12-24,114.125885,22.542101,0
19-12-28,114.137283,22.550867,1
19-12-38,114.173317,22.567484,0
19-13-2,114.161850,22.566700,1
19-13-22,114.114052,22.531767,0
19-13-24,114.114998,22.532499,1
19-13-24,114.114998,22.532499,0
19-13-24,114.114998,22.532499,1
19-13-25,114.114998,22.532499,0
19-13-37,114.113564,22.534218,1
19-13-56,114.131699,22.611683,0
19-14-1,114.118134,22.605932,1
19-14-9,114.112915,22.569851,0
19-14-18,114.096016,22.561466,1
19-14-37,113.991180,22.532383,0
19-14-46,114.011749,22.534683,1
19-15-21,114.127716,22.560783,0
19-15-23,114.126816,22.560217,1
19-15-31,114.116753,22.553316,0
19-15-34,114.115486,22.554016,1
19-15-44,114.143829,22.555317,0
19-15-47,114.141151,22.550034,1
19-15-54,114.121353,22.543734,0
19-15-57,114.119270,22.540434,1
19-16-9,114.068451,22.523849,0
19-16-10,114.067886,22.523951,1
19-16-15,114.079231,22.543150,0
19-16-16,114.079018,22.542233,1
19-16-27,114.039886,22.532850,0
19-16-28,114.039886,22.532850,1
19-16-35,114.044182,22.522051,0
19-16-38,114.044220,22.525049,1
19-16-51,114.061966,22.537451,0
19-16-53,114.061050,22.535566,1
19-16-59,114.041367,22.527184,0
19-17-4,114.037666,22.527517,1
19-17-12,114.068451,22.523916,0
19-17-13,114.067902,22.523951,1
19-17-32,114.114136,22.534517,0
19-17-34,114.112434,22.535200,1
19-18-4,114.085548,22.556150,0
19-18-10,114.082916,22.556183,1
19-18-13,114.093819,22.567883,0
19-18-18,114.088165,22.564583,1
19-18-32,114.067436,22.573500,0
19-19-0,114.059380,22.577967,1
19-19-19,114.062714,22.517567,0
19-19-21,114.063553,22.517799,1
19-19-27,114.058281,22.525932,0
19-19-28,114.058281,22.525932,1
19-19-34,114.042618,22.528633,0
19-19-37,114.040535,22.527184,1
19-19-46,114.053917,22.527300,0
19-20-2,114.049530,22.540033,1
19-20-15,114.063164,22.533733,0
19-20-17,114.063766,22.537666,1
19-20-27,114.101898,22.541349,0
19-20-27,114.101898,22.541349,1
19-20-38,114.061302,22.524616,0
19-20-40,114.060631,22.522751,1
19-20-56,114.118385,22.541401,0
19-20-57,114.119064,22.542383,1
19-21-10,114.140602,22.577049,0
19-21-11,114.140602,22.577049,1
19-21-28,114.116753,22.539917,0
19-21-45,114.087997,22.543217,1
19-21-48,114.101067,22.546400,0
19-21-49,114.101067,22.546400,1
19-22-5,114.119614,22.561117,0
19-22-10,114.126633,22.557833,1
19-22-25,114.119934,22.556049,0
19-22-32,114.099602,22.547501,1
19-22-38,114.105820,22.551117,0
19-22-42,114.105820,22.551117,1
19-22-48,114.124168,22.545082,0
19-22-49,114.124252,22.545151,1
19-23-0,114.133667,22.585983,0
19-23-1,114.131966,22.586634,1
19-23-12,114.111549,22.547983,0
19-23-14,114.110069,22.550833,1
19-23-18,114.105598,22.546551,0
19-23-39,114.058563,22.574118,1
19-23-50,114.025398,22.632450,0
20-0-18,114.042534,22.602318,1
20-0-21,114.055817,22.621433,0
20-0-36,114.054283,22.562717,1
20-0-45,114.031616,22.606833,0
20-0-47,114.034149,22.606550,1
20-0-59,113.963783,22.585867,0
20-1-23,113.978783,22.559868,1
20-1-38,114.119583,22.590967,0
20-2-4,114.036148,22.551849,1
20-2-18,114.137398,22.583433,0
20-4-46,113.878937,22.574682,1
20-5-2,113.910782,22.489300,0
20-7-3,114.037033,22.612717,1
20-7-22,114.064079,22.566816,0
20-7-31,114.037384,22.565866,1
20-7-41,114.026886,22.561916,0
20-7-42,114.029633,22.563534,1
20-8-16,114.091064,22.545517,0
20-8-19,114.090164,22.545349,1
20-8-35,114.081650,22.539766,0
20-8-40,114.072052,22.537451,1
20-8-55,114.151047,22.551517,0
20-9-0,114.137886,22.544149,1
20-9-8,114.120483,22.541983,0
20-9-13,114.120300,22.542000,1
20-9-24,114.114136,22.534533,0
20-9-24,114.114136,22.534533,1
20-9-30,114.120979,22.543633,0
20-9-31,114.120834,22.542482,1
