time,jd,wd,status
18-1,114.119553,22.558384,1
18-1,114.135033,22.568434,0
18-1,114.119568,22.558483,1
18-2,114.122437,22.550817,0
18-2,114.117867,22.548317,1
18-2,114.107765,22.570066,0
18-2,114.119881,22.558233,1
18-2,114.026848,22.627132,0
18-3,114.119217,22.558500,1
18-3,114.122017,22.571550,0
18-3,114.119751,22.558233,1
18-4,114.124031,22.573933,0
18-4,114.114799,22.534718,1
18-5,114.059448,22.655767,0
18-5,114.114830,22.534700,1
18-6,113.939934,22.544617,0
18-6,113.938217,22.544350,1
18-6,113.981300,22.539417,0
18-6,113.978981,22.539650,1
18-6,113.978485,22.541767,0
18-6,113.978485,22.541767,1
18-7,113.816132,22.647034,0
18-7,113.859779,22.570999,1
18-8,113.909851,22.563667,0
18-8,113.897331,22.550501,1
18-8,113.900864,22.527967,0
18-8,113.901733,22.514700,1
18-9,113.919479,22.489149,0
18-9,113.919479,22.489149,1
18-9,113.908569,22.479467,0
18-9,113.908585,22.479433,1
18-10,113.930397,22.544117,0
18-10,113.924187,22.549316,1
18-10,113.937103,22.551468,0
18-10,113.941498,22.552668,1
18-10,114.041069,22.554333,0
18-10,114.041069,22.554333,1
18-10,114.050797,22.551350,0
18-10,114.044121,22.550417,1
18-10,114.062584,22.535433,0
18-11,114.039780,22.550432,1
18-11,114.039864,22.551100,0
18-11,114.038666,22.555901,1
18-11,114.104820,22.551517,0
18-12,114.104820,22.551517,1
18-12,114.104820,22.551517,0
18-12,114.104820,22.551517,1
18-12,114.104820,22.551517,0
18-12,114.104820,22.551517,1
18-12,114.105347,22.550751,0
18-12,114.105080,22.549334,1
18-12,114.104050,22.549334,0
18-13,114.026100,22.524366,1
18-14,114.128548,22.577284,0
18-14,114.130363,22.577467,1
18-14,114.107964,22.551184,0
18-14,114.102402,22.552668,1
18-14,114.078217,22.538834,0
18-14,114.074219,22.539801,1
18-14,114.057297,22.545616,0
18-14,114.047752,22.548134,1
18-14,114.043549,22.557667,0
18-15,114.032669,22.564516,1
18-16,113.816048,22.647266,0
18-16,113.814301,22.650583,1
18-17,113.900970,22.565001,0
18-17,113.922485,22.545099,1
18-17,113.923050,22.527800,0
18-17,113.921951,22.530050,1
18-18,113.900818,22.564182,0
18-18,113.907333,22.553682,1
18-18,113.876320,22.584000,0
18-18,113.874016,22.585817,1
18-19,113.860214,22.570984,0
18-20,113.814751,22.649418,1
18-20,113.931099,22.521851,0
18-21,113.941620,22.539232,1
18-21,114.024933,22.536850,0
18-21,114.022003,22.536533,1
18-21,113.814667,22.649683,0
18-21,113.817581,22.647699,1
18-22,113.915665,22.510384,0
18-22,113.915665,22.510384,1
18-22,113.943298,22.506468,0
18-22,113.944885,22.506567,1
18-22,113.903847,22.561716,0
18-23,113.904297,22.556299,1
18-23,113.915398,22.542618,0
18-23,113.915398,22.542618,1
18-23,113.911201,22.526167,0
18-23,113.818970,22.647751,1
18-23,113.816582,22.650034,0
19-0,113.814331,22.649767,1
19-0,113.920769,22.535784,0
19-1,113.816170,22.647034,1
19-1,114.115616,22.538250,0
19-2,114.119652,22.558567,1
19-2,114.076965,22.535732,0
19-2,114.119720,22.558367,1
19-2,114.089218,22.555683,0
19-2,114.094749,22.558367,1
19-2,114.095619,22.558384,0
19-3,114.120285,22.557667,1
19-3,114.120453,22.544649,0
19-4,114.115135,22.534866,1
19-5,113.995750,22.679867,0
19-7,113.880630,22.566967,1
19-8,114.026520,22.537317,0
19-8,114.018021,22.527567,1
19-9,114.122231,22.569418,0
19-9,114.125031,22.568068,1
19-9,114.115547,22.535467,0
19-9,114.116936,22.539017,1
19-9,114.119835,22.555918,0
19-9,114.118500,22.553734,1
19-10,114.078636,22.577450,0
19-10,114.083702,22.571983,1
19-10,114.079880,22.573133,0
19-10,114.079880,22.573133,1
19-10,114.037819,22.547449,0
19-10,114.039902,22.548500,1
19-10,114.043602,22.557501,0
19-10,114.032799,22.563000,1
19-10,114.044464,22.557182,0
19-10,114.045753,22.558617,1
19-11,114.063148,22.539150,0
19-11,114.049629,22.545433,1
19-11,114.006218,22.537167,0
19-11,114.006119,22.536983,1
19-11,113.908531,22.479418,0
19-12,113.930550,22.492350,1
19-12,113.971016,22.539516,0
19-13,114.039169,22.532450,1
19-13,114.039169,22.532450,0
19-13,114.032150,22.519167,1
19-13,114.117180,22.536800,0
19-13,114.116570,22.536100,1
19-14,114.121666,22.547983,0
19-14,114.121864,22.547350,1
19-14,114.111786,22.539717,0
19-14,114.111786,22.539717,1
19-14,114.111267,22.547632,0
19-14,114.109047,22.547367,1
19-14,114.116318,22.563267,0
19-14,114.114929,22.563150,1
19-14,114.124184,22.569668,0
19-14,114.124519,22.564034,1
19-15,114.102249,22.548149,0
19-15,114.102219,22.547768,1
19-15,114.113731,22.531750,0
19-15,114.113914,22.537933,1
19-15,114.104164,22.560699,0
19-15,114.104218,22.561184,1
19-15,114.113968,22.531816,0
19-16,114.101067,22.543800,1
19-16,114.078102,22.543283,0
19-16,114.078102,22.543283,1
19-17,114.044151,22.548483,0
19-16,114.044151,22.548450,1
19-16,114.020554,22.532368,0
19-16,114.020554,22.532368,1
19-17,114.104149,22.564100,0
19-17,114.090614,22.564617,1
19-17,114.030701,22.555817,0
19-18,113.970802,22.539633,1
19-18,113.925270,22.587667,0
19-18,113.924469,22.571699,1
19-18,113.923370,22.549217,0
19-18,113.917282,22.543400,1
19-18,113.917053,22.543400,0
19-18,113.884735,22.568417,1
19-19,113.860268,22.570984,0
19-19,113.863647,22.580267,1
19-19,114.029800,22.545099,0
19-20,114.035713,22.542133,1
19-20,114.038086,22.555933,0
19-20,114.038399,22.555918,1
19-20,114.047302,22.604116,0
19-20,114.045586,22.597183,1
19-21,113.844620,22.600117,0
19-21,113.817085,22.649017,1
19-21,113.815849,22.651449,0
19-21,113.814217,22.650267,1
19-22,114.109100,22.541149,0
19-22,114.109100,22.541149,1
19-22,114.055664,22.513468,0
19-22,114.063881,22.518883,1
19-22,114.046486,22.520367,0
19-22,114.053253,22.518299,1
19-23,114.086586,22.540117,0
19-23,114.086586,22.539850,1
19-23,114.064049,22.537567,0
21-1,114.119232,22.557882,1
21-1,114.119217,22.573784,0
21-2,114.119637,22.558483,1
21-2,114.124100,22.552250,0
21-2,114.119637,22.558434,1
21-2,114.119164,22.574568,0
21-2,114.119835,22.558367,1
21-3,114.113770,22.583134,0
21-3,114.121902,22.554449,1
21-3,114.122070,22.552250,0
21-4,114.120018,22.541866,1
21-4,114.132019,22.544550,0
21-4,114.115067,22.534567,1
21-4,114.067398,22.519117,0
21-5,114.104034,22.624933,1
21-6,113.943130,22.506451,0
21-6,113.944786,22.507000,1
21-6,113.930786,22.522583,0
21-6,113.924881,22.518368,1
21-7,113.941803,22.546167,0
21-7,113.870201,22.562883,1
21-8,114.090668,22.564650,0
21-8,114.090370,22.570084,1
21-9,114.029602,22.619034,0
21-9,114.028847,22.623617,1
21-9,114.081367,22.549232,0
21-9,114.090614,22.570066,1
21-10,114.079651,22.540216,0
21-10,114.081017,22.537300,1
21-10,114.042816,22.559267,0
21-10,114.042816,22.559267,1
21-10,114.058563,22.537416,0
21-11,114.039818,22.548634,1
21-11,114.009064,22.549732,0
21-11,114.032318,22.546217,1
21-11,114.043182,22.520300,0
21-12,114.038681,22.532017,1
21-12,114.139648,22.565001,0
21-12,114.120865,22.573950,1
21-13,114.114067,22.531918,0
21-13,114.105064,22.552050,1
21-13,114.085052,22.549383,0
21-13,114.081596,22.554867,1
21-13,114.136116,22.564167,0
21-13,114.135201,22.565149,1
21-14,114.115463,22.558983,0
21-14,114.115463,22.558983,1
21-14,114.068398,22.523733,0
21-14,114.038765,22.565733,1
21-14,114.026253,22.539734,0
21-14,114.026482,22.539734,1
21-15,114.057953,22.536949,0
21-15,114.056267,22.535683,1
21-15,114.089264,22.541468,0
21-15,114.099716,22.542383,1
21-15,114.111481,22.545366,0
21-15,114.111481,22.545366,1
21-15,114.123886,22.545218,0
21-15,114.123886,22.545218,1
21-16,114.084549,22.544518,0
21-16,114.084068,22.545982,1
21-16,114.121300,22.543600,0
21-16,114.121330,22.543716,1
21-17,113.814568,22.649883,0
21-18,113.907349,22.553818,1
21-18,113.874519,22.565083,0
21-19,113.854164,22.575916,1
21-20,113.938980,22.542566,0
21-20,113.940865,22.542667,1
21-20,113.932198,22.521099,0
21-20,113.931847,22.520416,1
21-20,113.916168,22.503700,0
21-20,113.918266,22.505650,1
21-20,113.884651,22.559433,0
21-21,113.815697,22.647734,1
21-22,114.113968,22.531782,0
21-22,114.119614,22.570883,1
21-22,114.187820,22.642418,0
21-23,114.113899,22.582884,1
21-23,114.107780,22.572733,0
22-0,114.113800,22.533817,1
22-0,114.034119,22.528267,0
22-0,114.042366,22.529800,1
22-0,114.041534,22.549267,0
22-1,114.119583,22.558416,1
22-1,114.056099,22.577499,0
22-1,114.058647,22.575916,1
22-1,114.033234,22.619534,0
22-2,114.119583,22.558517,1
22-2,114.126167,22.561050,0
22-2,114.119583,22.558434,1
22-2,114.121864,22.567051,0
22-3,114.119484,22.558533,1
22-3,114.118713,22.539967,0
22-3,114.119484,22.558617,1
22-4,114.032669,22.629749,0
22-7,113.865433,22.566933,1
22-8,113.903801,22.531584,0
22-8,113.904480,22.531483,1
22-8,114.032799,22.640516,0
22-9,114.035271,22.622116,1
22-9,114.075485,22.547150,0
22-9,114.090446,22.570101,1
22-9,114.080765,22.577316,0
22-9,114.080765,22.577316,1
22-10,114.114929,22.534834,0
22-10,114.112015,22.538200,1
22-10,114.081665,22.544416,0
22-11,114.093048,22.570267,1
22-11,114.121483,22.541384,0
22-11,114.121483,22.541384,1
22-11,114.079300,22.541918,0
22-11,114.079720,22.542767,1
22-11,114.116219,22.552418,0
22-12,114.112114,22.548550,1
22-12,114.113953,22.531834,0
22-12,114.036385,22.530216,1
22-12,114.050919,22.528833,0
22-13,114.049629,22.525833,1
22-13,114.050499,22.511232,0
22-13,114.043816,22.514317,1
22-13,114.048950,22.549334,0
22-13,114.050270,22.547483,1
22-13,113.969933,22.539383,0
22-13,113.995186,22.531418,1
22-13,113.920784,22.545250,0
22-14,113.926964,22.549200,1
22-14,113.920532,22.549232,0
22-14,113.918434,22.551701,1
