time,jd,wd,status
18-0,114.128769,22.550583,1
18-0,114.117683,22.544117,0
18-0,114.120003,22.545183,1
18-0,114.119118,22.539867,0
18-0,114.091217,22.549950,1
18-0,114.101532,22.552217,0
18-0,114.099686,22.552000,1
18-0,114.106331,22.590250,0
18-1,114.106133,22.590250,1
18-1,114.129646,22.641666,0
18-1,114.118919,22.612333,1
18-1,114.138832,22.632883,0
18-1,114.117981,22.610201,1
18-1,114.109421,22.600967,0
18-2,114.080452,22.557734,1
18-2,113.910149,22.480818,0
18-2,113.918518,22.506849,1
18-2,113.924751,22.530849,0
18-7,114.026787,22.526951,1
18-7,114.020218,22.539232,0
18-7,114.012070,22.543734,1
18-7,113.973984,22.547567,0
18-7,113.972984,22.540567,1
18-8,114.098152,22.543633,0
18-9,114.023430,22.525049,1
18-9,114.051300,22.511351,0
18-9,114.050865,22.512699,1
18-9,113.961632,22.531082,0
18-10,114.020203,22.531733,1
18-10,114.114319,22.534616,0
18-10,114.113968,22.534433,1
18-10,114.125931,22.542650,0
18-10,114.119781,22.541100,1
18-10,114.056000,22.531866,0
18-12,114.020233,22.531750,1
18-12,114.068466,22.523783,0
18-12,114.023453,22.525101,1
18-13,114.036118,22.519533,0
18-13,114.036118,22.519533,1
18-13,114.063019,22.537933,0
18-13,114.063118,22.547583,1
18-13,113.923035,22.550833,0
18-13,113.928284,22.548733,1
18-13,113.922729,22.520184,0
18-14,113.917580,22.522167,1
18-14,113.922920,22.542850,0
18-14,114.086197,22.537184,1
18-15,114.084419,22.544582,0
18-15,114.084068,22.545799,1
18-15,114.130569,22.580233,0
18-15,114.130569,22.580233,1
18-15,114.114380,22.587982,0
18-15,114.111832,22.585318,1
18-15,114.104347,22.579468,0
18-16,114.093170,22.568333,1
18-16,114.081284,22.558884,0
18-16,114.080620,22.557917,1
18-16,114.105217,22.558468,0
18-16,114.105217,22.558468,1
18-16,114.113518,22.534384,0
18-16,114.113953,22.534250,1
18-16,114.127731,22.552000,0
18-16,114.127235,22.549967,1
18-16,114.113419,22.538816,0
18-16,114.112747,22.538700,1
18-17,114.129585,22.545933,0
18-17,114.128433,22.545601,1
18-17,114.116936,22.541384,0
18-17,114.116364,22.539600,1
18-17,114.113968,22.531799,0
18-17,114.080933,22.540649,1
18-18,114.064903,22.537968,0
18-18,114.064903,22.537968,1
18-18,114.034836,22.568716,0
18-18,114.043930,22.555901,1
18-19,114.074234,22.539499,0
18-19,114.072685,22.538918,1
18-19,114.065216,22.538050,0
18-19,114.065216,22.538050,1
18-20,114.024132,22.531317,0
18-20,114.024132,22.531317,1
18-20,114.134903,22.565201,0
18-20,114.126701,22.560167,1
18-20,114.123985,22.576517,0
18-20,114.126381,22.576866,1
18-20,114.121666,22.569332,0
18-20,114.121666,22.569332,1
18-20,114.113983,22.531616,0
18-21,114.113480,22.534416,1
18-21,114.137619,22.562366,0
18-21,114.135330,22.564882,1
18-21,114.185883,22.591650,0
18-22,114.158447,22.611450,1
18-22,114.124100,22.548950,0
18-23,113.938332,22.543068,1
18-23,113.927734,22.515118,0
19-0,113.816216,22.647200,1
19-1,114.127701,22.549583,0
19-1,114.127701,22.549583,1
19-1,114.127701,22.549583,0
19-1,114.125069,22.549183,1
19-1,114.135117,22.570433,0
19-7,114.007629,22.548717,1
19-7,113.970718,22.539618,0
19-7,113.963684,22.543068,1
19-7,113.975266,22.559700,0
19-7,113.975868,22.563101,1
19-8,114.050903,22.518600,0
19-8,114.051247,22.521366,1
19-8,114.059052,22.544167,0
