time,jd,wd,status
18-0-0,113.893150,22.566601,1
18-0-12,113.810204,22.672016,0
18-0-46,113.815048,22.650267,1
18-1-20,114.051018,22.628416,0
18-2-0,114.080536,22.544518,1
18-2-6,114.114670,22.545918,0
18-2-13,114.102020,22.541634,1
18-2-21,114.119881,22.570766,0
18-2-33,114.099297,22.554434,1
18-2-37,114.104485,22.537300,0
18-3-10,114.084053,22.548967,1
18-3-19,114.057030,22.525932,0
18-3-26,114.058716,22.527733,1
18-3-36,114.124603,22.547832,0
18-5-56,114.024185,22.531267,1
18-6-1,114.029587,22.543318,0
18-6-5,114.035149,22.544634,1
18-6-10,114.037399,22.565849,0
18-6-16,114.051933,22.567551,1
18-6-49,113.815964,22.647350,0
18-7-22,113.915001,22.541018,1
18-7-34,113.917786,22.499132,0
18-7-46,113.929184,22.497950,1
18-8-27,114.051468,22.533466,0
18-8-28,114.051414,22.534401,1
18-8-32,114.058182,22.535999,0
18-8-35,114.058868,22.537350,1
18-8-39,114.071968,22.541582,0
18-8-41,114.072037,22.541267,1
18-8-52,114.100067,22.547466,0
18-8-53,114.100067,22.547466,1
18-9-39,113.816399,22.646500,0
18-9-41,113.816399,22.646500,1
18-10-18,114.121147,22.683567,0
18-10-48,114.115181,22.602533,1
18-11-6,114.081665,22.547483,0
18-11-7,114.081665,22.547483,1
18-11-21,114.038551,22.555983,0
18-11-22,114.039970,22.553734,1
18-11-22,114.039970,22.553734,0
18-11-46,114.043015,22.558399,1
18-11-56,114.036232,22.527617,0
18-11-58,114.037735,22.527433,1
18-12-9,114.081146,22.551550,0
18-12-15,114.081665,22.544283,1
18-12-18,114.063652,22.545433,0
18-12-23,114.062866,22.548866,1
18-12-31,114.050598,22.594667,0
18-12-33,114.045883,22.597567,1
18-12-43,114.032265,22.566851,0
18-12-44,114.035683,22.567551,1
18-12-53,114.107697,22.574966,0
18-12-59,114.117714,22.571083,1
18-13-5,114.106850,22.561367,0
18-13-9,114.103897,22.561617,1
18-13-19,114.083069,22.549168,0
18-13-25,114.081581,22.544201,1
18-13-34,114.113983,22.531782,0
18-13-38,114.112480,22.538584,1
18-13-47,114.113998,22.531700,0
18-13-58,114.111000,22.544649,1
18-14-13,114.083946,22.545017,0
18-14-18,114.080521,22.543150,1
18-14-29,114.005020,22.537832,0
18-14-38,114.019066,22.537783,1
18-14-46,114.049553,22.539450,0
18-14-47,114.049286,22.539482,1
18-14-54,114.078781,22.542982,0
18-14-57,114.081551,22.542418,1
18-15-5,114.053352,22.531733,0
18-15-6,114.053085,22.531733,1
18-15-35,113.816353,22.646618,0
18-16-43,114.023415,22.525133,1
18-17-17,114.115700,22.585333,0
18-17-36,114.088882,22.555450,1
18-17-56,114.078720,22.538982,0
18-18-3,114.073936,22.537634,1
18-18-16,114.086166,22.540899,0
18-18-16,114.085899,22.540783,1
18-18-50,114.027115,22.525150,0
18-18-52,114.027046,22.526533,1
18-19-20,113.814850,22.649349,0
18-20-4,113.880470,22.590599,1
18-20-42,114.033714,22.526133,0
18-20-56,114.026352,22.525034,1
18-21-13,114.114197,22.534283,0
18-21-15,114.113701,22.534300,1
18-21-31,114.123734,22.561983,0
18-21-45,114.116753,22.547466,1
18-22-13,113.919296,22.538717,0
18-22-13,113.919670,22.537767,1
18-22-29,113.922432,22.493467,0
18-22-42,113.932152,22.520599,1
18-22-49,113.962669,22.543301,0
18-22-53,113.964134,22.544950,1
18-23-2,113.923851,22.528799,0
18-23-26,113.950996,22.542049,1
18-23-32,113.920982,22.526733,0
19-0-29,113.938950,22.535700,1
19-0-0,113.992020,22.538851,0
19-0-1,113.992401,22.535717,1
19-0-5,113.977982,22.540550,0
19-6-12,114.019882,22.529583,1
19-6-24,114.087936,22.551600,0
19-6-29,114.090034,22.551666,1
19-7-7,113.814453,22.650084,0
19-7-50,113.905502,22.553833,1
19-8-17,113.937248,22.538116,0
19-8-24,113.929565,22.527817,1
19-8-33,113.950531,22.538601,0
19-8-39,113.961929,22.536818,1
19-9-4,114.077003,22.542967,0
19-9-7,114.078514,22.540117,1
19-9-15,114.051582,22.532900,0
19-9-28,114.068436,22.523867,1
19-9-38,114.091682,22.539150,0
19-9-39,114.091682,22.539150,1
19-9-43,114.084053,22.544399,0
19-9-48,114.077271,22.543200,1
19-9-54,114.056099,22.531816,0
19-10-3,114.038132,22.523916,1
19-10-10,114.016800,22.530018,0
19-10-11,114.016899,22.531099,1
19-10-15,114.024803,22.539417,0
19-10-20,114.019447,22.535950,1
19-10-47,113.916618,22.576300,0
19-10-49,113.916618,22.576300,1
19-11-32,114.108971,22.617451,0
19-11-34,114.106270,22.615200,1
19-11-44,114.107368,22.599701,0
19-11-48,114.110985,22.602100,1
19-12-2,114.114037,22.531668,0
19-12-20,114.111534,22.538967,1
19-13-2,113.822983,22.674316,0
19-13-36,113.914650,22.543417,1
19-13-43,113.936516,22.559767,0
19-13-56,113.961967,22.541918,1
19-14-8,113.934486,22.558599,0
19-14-10,113.935852,22.557266,1
