time,jd,wd,status
18-1,114.113899,22.544600,1
18-2,114.039749,22.551533,0
18-4,114.068016,22.523951,1
18-4,114.129829,22.548550,0
18-4,114.113968,22.544283,1
18-5,114.070534,22.546467,0
18-7,114.047981,22.534834,1
18-7,114.069031,22.526550,0
18-7,114.079399,22.535168,1
18-7,114.116386,22.549299,0
18-7,114.123634,22.555149,1
18-7,114.115097,22.534950,0
18-7,114.113586,22.534050,1
18-8,113.920303,22.526600,0
18-8,113.920570,22.526484,1
18-8,113.943016,22.530617,0
18-8,113.929199,22.517982,1
18-9,113.814697,22.649668,0
18-10,113.816734,22.647133,1
18-11,114.120819,22.541533,0
18-11,114.119484,22.539417,1
18-11,114.116882,22.548367,0
18-11,114.116997,22.548384,1
18-11,114.121216,22.540133,0
18-11,114.121384,22.540133,1
18-12,114.200081,22.648666,0
18-12,114.158981,22.609682,1
18-13,114.033417,22.518534,0
18-13,114.033150,22.518717,1
18-13,114.044418,22.511032,0
18-13,114.044418,22.511032,1
18-13,114.056717,22.536467,0
18-13,114.058014,22.537201,1
18-14,113.816048,22.647266,0
18-14,113.904953,22.555866,1
18-15,113.914833,22.538816,0
18-15,113.924133,22.519518,1
18-15,113.908653,22.515133,0
18-15,113.913467,22.521433,1
18-15,113.910400,22.530884,0
18-15,113.923531,22.521482,1
18-15,113.941551,22.550333,0
18-16,113.947731,22.541834,1
18-16,113.921021,22.526699,0
18-16,114.049232,22.525682,1
18-16,114.082169,22.543034,0
18-16,114.082169,22.543034,1
18-17,114.130600,22.572149,0
18-17,114.135765,22.566767,1
18-17,114.131836,22.544666,0
18-17,114.122185,22.543068,1
18-18,114.095215,22.543783,0
18-18,114.093048,22.549183,1
18-18,114.101585,22.552401,0
18-18,114.102730,22.552851,1
18-18,114.126236,22.545116,0
18-18,114.127029,22.545349,1
18-18,114.114616,22.542982,0
18-18,114.114136,22.542749,1
18-19,114.104614,22.544468,0
18-19,114.099731,22.544500,1
18-20,114.096153,22.543383,0
18-20,114.105530,22.544567,1
18-20,114.103752,22.564751,0
18-20,114.079483,22.543301,1
18-20,114.062370,22.537416,0
18-20,114.053452,22.537533,1
18-21,114.113800,22.544483,0
18-21,114.114929,22.546101,1
18-21,114.170853,22.565317,0
18-21,114.129601,22.548050,1
18-21,114.134537,22.546400,0
18-21,114.129799,22.546600,1
18-21,114.126701,22.543882,0
18-22,114.115829,22.542250,1
18-22,114.113983,22.531767,0
18-22,114.114571,22.531900,1
18-22,114.108437,22.539949,0
18-22,114.111031,22.535583,1
18-22,114.121498,22.543333,0
18-22,114.112564,22.534901,1
18-22,114.165535,22.568884,0
18-22,114.129051,22.544018,1
18-23,114.112633,22.535816,0
18-23,114.115601,22.544100,1
18-23,114.122520,22.550400,0
18-23,114.117081,22.542999,1
18-23,114.121552,22.540968,0
18-23,114.112419,22.535950,1
19-0,114.068352,22.523617,0
19-0,114.060471,22.525967,1
19-0,114.039467,22.519716,0
19-0,114.032951,22.522882,1
19-0,114.021271,22.549732,0
19-1,114.018265,22.541550,1
19-1,114.004349,22.538200,0
19-2,114.033470,22.525682,1
19-2,114.080147,22.559017,0
19-2,114.080482,22.557716,1
19-2,114.101768,22.541616,0
19-2,114.115379,22.544683,1
19-2,114.115463,22.538918,0
19-2,114.115730,22.538900,1
19-2,114.117615,22.548100,0
19-3,114.110519,22.540716,1
19-3,114.068336,22.523582,0
19-6,114.047966,22.534117,1
19-7,114.086136,22.553400,0
19-7,114.061401,22.549368,1
19-7,114.048584,22.549316,0
19-7,114.047684,22.548384,1
19-8,114.112053,22.603434,0
19-8,114.111252,22.602318,1
19-9,114.113899,22.531816,0
19-9,114.119583,22.539183,1
19-9,114.122383,22.591417,0
19-9,114.123085,22.591482,1
19-10,114.117249,22.547882,0
19-10,114.118500,22.548100,1
19-10,114.115067,22.534883,0
19-10,114.114067,22.534201,1
19-11,114.090385,22.562166,0
19-11,114.090385,22.562166,1
19-11,114.091698,22.554132,0
19-11,114.089417,22.551817,1
19-11,114.041298,22.574266,0
19-11,114.036430,22.568684,1
19-11,114.078300,22.547667,0
19-12,114.068214,22.523884,1
19-12,114.057152,22.527617,0
19-12,114.068314,22.524000,1
19-13,114.233231,22.555532,0
19-14,114.226334,22.549383,1
19-14,114.127831,22.560350,0
19-14,114.127930,22.560717,1
19-14,114.116714,22.548283,0
19-14,114.116768,22.547800,1
19-14,114.033417,22.561117,0
19-14,114.033897,22.556116,1
19-15,114.019218,22.537367,0
19-15,114.054703,22.545433,1
19-15,114.072052,22.541700,0
19-15,114.074120,22.539499,1
19-15,114.062798,22.535749,0
19-15,114.062798,22.535749,1
19-15,114.037430,22.548267,0
19-15,114.039848,22.544434,1
19-16,114.062599,22.517532,0
19-16,114.063431,22.517799,1
19-16,114.029869,22.603550,0
19-16,114.049271,22.525700,1
19-17,114.104881,22.545700,0
19-17,114.104881,22.545700,1
19-17,114.167366,22.564068,0
19-17,114.145683,22.555599,1
19-17,114.129631,22.546818,0
19-17,114.128571,22.545616,1
19-17,114.114632,22.546783,0
19-18,114.113419,22.546667,1
19-18,114.110100,22.544399,0
19-18,114.110367,22.547050,1
19-18,114.095352,22.561550,0
19-18,114.089851,22.558533,1
19-18,114.084183,22.543167,0
19-18,114.084183,22.543167,1
19-19,114.068420,22.523832,0
19-19,114.067863,22.523968,1
19-19,114.047066,22.527634,0
19-19,114.068047,22.524151,1
19-19,114.102867,22.558468,0
19-19,114.104065,22.554300,1
19-19,114.112381,22.548668,0
19-19,114.112381,22.548668,1
19-20,114.104935,22.541050,0
19-20,114.106102,22.542400,1
19-20,114.083870,22.549400,0
19-20,114.083870,22.549400,1
19-20,114.117867,22.544149,0
19-20,114.117683,22.544300,1
19-20,114.099403,22.577551,0
19-20,114.099136,22.577583,1
19-20,114.116570,22.552000,0
19-20,114.111900,22.548082,1
19-21,114.122597,22.579184,0
19-21,114.127235,22.570967,1
19-21,114.071800,22.543833,0
19-21,114.071800,22.543833,1
19-21,114.029236,22.560499,0
19-21,114.028954,22.560467,1
19-22,113.891869,22.560350,0
19-23,113.814316,22.650232,1
19-23,114.119164,22.540216,0
20-0,114.120903,22.543283,1
20-0,114.113670,22.540300,0
20-0,114.104614,22.539600,1
20-0,114.123047,22.545183,0
20-0,114.115730,22.539467,1
20-0,114.124481,22.569967,0
20-6,114.047897,22.534718,1
20-7,114.042099,22.527149,0
20-7,114.042099,22.527149,1
20-7,114.049736,22.514532,0
20-7,114.055435,22.517082,1
20-7,114.062485,22.517532,0
20-7,114.063049,22.517532,1
20-7,114.081734,22.539618,0
20-7,114.081902,22.535168,1
20-8,114.114784,22.534651,0
20-8,114.119316,22.537701,1
20-8,114.039833,22.544382,0
20-8,114.039917,22.549850,1
20-8,114.098648,22.566334,0
20-9,114.107719,22.570133,1
20-9,114.118385,22.560850,0
20-9,114.118080,22.560617,1
20-9,114.123833,22.558350,0
20-9,114.117218,22.558916,1
20-9,114.040703,22.542618,0
20-10,114.047768,22.549150,1
20-10,114.062103,22.525984,0
20-10,114.064598,22.531900,1
20-11,113.921814,22.504450,0
20-11,113.918221,22.505867,1
20-11,113.935982,22.505501,0
20-11,113.944786,22.506832,1
20-12,113.876968,22.783318,0
20-13,113.842415,22.771299,1
20-14,113.927116,22.504150,0
20-14,113.927399,22.508984,1
20-14,113.946281,22.583733,0
20-14,113.955498,22.573133,1
20-14,113.966553,22.570883,0
20-15,114.008133,22.548532,1
20-15,114.081520,22.550182,0
20-15,114.081047,22.549150,1
20-15,114.063286,22.539368,0
20-15,114.058052,22.537001,1
20-16,114.043549,22.555033,0
20-16,114.042847,22.553417,1
20-16,114.058502,22.537399,0
20-16,114.046570,22.525717,1
20-17,114.128883,22.560249,0
20-17,114.125847,22.546568,1
20-17,114.071831,22.528067,0
20-17,114.071602,22.527117,1
20-17,114.043831,22.601217,0
20-18,114.057854,22.545183,1
20-18,114.040970,22.520250,0
20-18,114.044647,22.512400,1
20-18,114.054916,22.539551,0
20-19,114.054916,22.539551,1
20-19,114.022346,22.536600,0
20-19,114.022346,22.536600,1
20-19,114.068481,22.523783,0
20-19,114.067680,22.524000,1
20-19,114.057419,22.538183,0
20-19,114.057419,22.538183,1
20-21,114.125565,22.570250,0
20-21,114.125565,22.570250,1
20-21,114.125565,22.570250,0
20-21,114.125565,22.570250,1
20-21,114.125565,22.570250,0
20-21,114.134979,22.565733,1
20-21,114.115051,22.534933,0
20-21,114.114037,22.534651,1
20-21,114.046715,22.525667,0
20-21,114.047798,22.525667,1
20-21,114.063034,22.519382,0
