time,jd,wd,status
18-0,113.945015,22.536934,1
18-0,114.168533,22.561750,0
18-1,114.157799,22.564199,1
18-1,114.187233,22.561016,0
18-2,114.107635,22.569082,1
18-2,114.105850,22.553432,0
18-3,114.107651,22.569233,1
18-3,114.107765,22.567650,0
18-4,114.107765,22.569117,1
18-4,114.026436,22.559450,0
18-8,114.025620,22.559401,1
18-8,114.029099,22.528032,0
18-8,114.029884,22.527700,1
18-8,114.057999,22.535334,0
18-8,114.063164,22.529699,1
18-9,114.119080,22.565767,0
18-9,114.117836,22.568850,1
18-9,114.068314,22.523649,0
18-9,114.067863,22.523968,1
18-9,114.042183,22.556650,0
18-9,114.042183,22.556650,1
18-10,114.024696,22.536934,0
18-10,114.079048,22.534666,1
18-10,114.084084,22.541782,0
18-10,114.093918,22.541582,1
18-10,114.084068,22.542233,0
18-11,114.108551,22.541533,1
18-11,114.068420,22.523649,0
18-11,114.093513,22.537849,1
18-11,114.068382,22.523701,0
18-11,114.068199,22.524050,1
18-12,114.126915,22.575768,0
18-12,114.135498,22.575983,1
18-12,114.105301,22.559067,0
18-12,114.104149,22.561399,1
18-12,114.078484,22.545366,0
18-12,114.078484,22.545366,1
18-12,114.049049,22.537434,0
18-13,114.111282,22.533167,1
18-13,114.046768,22.528717,0
18-13,114.046768,22.528717,1
18-13,114.058533,22.519283,0
18-14,114.084015,22.537201,1
18-14,114.099564,22.551184,0
18-14,114.099564,22.551184,1
18-14,114.115303,22.562067,0
18-14,114.116547,22.560316,1
18-14,114.121452,22.573868,0
18-14,114.120064,22.568899,1
18-14,114.123131,22.562050,0
18-14,114.123215,22.562082,1
18-14,114.116730,22.550301,0
18-14,114.116730,22.550301,1
18-14,114.120064,22.545401,0
18-14,114.121902,22.547001,1
18-15,114.090820,22.538267,0
18-15,114.088165,22.541300,1
18-15,114.102585,22.539049,0
18-15,114.104332,22.540533,1
18-15,114.081566,22.545282,0
18-15,114.081566,22.545282,1
18-15,114.113884,22.531782,0
18-15,114.114418,22.532017,1
18-16,114.128616,22.560284,0
18-16,114.123749,22.558533,1
18-16,114.124069,22.554667,0
18-16,114.124069,22.554667,1
18-16,114.129646,22.557783,0
18-16,114.130081,22.558733,1
18-16,114.023170,22.543583,0
18-17,114.050819,22.551033,1
18-17,114.136070,22.567051,0
18-17,114.134933,22.565651,1
18-17,114.148064,22.544149,0
18-17,114.141586,22.547951,1
18-17,114.127380,22.555017,0
18-17,114.125015,22.553900,1
18-18,114.128754,22.614416,0
18-18,114.111771,22.586018,1
18-19,114.030914,22.527134,0
18-19,114.025467,22.535717,1
18-19,114.010864,22.542549,0
18-20,114.085869,22.545517,1
18-20,114.130280,22.554417,0
18-20,114.128349,22.550217,1
18-20,114.078033,22.543234,0
18-20,114.077217,22.543133,1
18-21,113.818436,22.651117,0
18-21,113.814796,22.651400,1
18-21,113.814796,22.651400,0
18-21,113.814796,22.651400,1
18-21,113.814796,22.651400,0
18-21,113.815903,22.647484,1
18-22,114.008347,22.538183,0
18-22,114.002632,22.537916,1
18-22,114.048080,22.537300,0
18-22,114.105385,22.541018,1
18-23,114.104866,22.541267,0
19-0,114.093170,22.541533,1
19-0,114.108521,22.541533,0
19-1,114.068352,22.523733,1
19-1,114.051483,22.528217,0
19-1,114.062668,22.518867,1
19-1,114.065231,22.522617,0
19-1,114.068352,22.523916,1
19-2,113.998703,22.687700,0
19-7,114.029221,22.527983,1
19-7,114.041847,22.523199,0
19-7,114.034584,22.528017,1
19-7,114.050117,22.535400,0
19-7,114.040550,22.530649,1
19-8,114.050514,22.516933,0
19-8,114.041565,22.514717,1
19-8,114.006203,22.537500,0
19-8,114.007782,22.538183,1
19-8,113.995049,22.527500,0
19-8,114.019501,22.531668,1
19-8,114.064316,22.532017,0
19-9,114.064102,22.532150,1
19-9,113.815186,22.648849,0
19-10,113.903603,22.530268,1
19-10,113.898682,22.562950,0
19-10,113.898682,22.562950,1
19-10,113.938751,22.542549,0
19-10,114.002434,22.535650,1
19-11,113.886620,22.584566,0
19-11,113.904266,22.556534,1
19-12,113.917198,22.509216,0
19-13,114.079399,22.535366,1
19-13,114.083702,22.540768,0
19-13,114.086571,22.543100,1
19-13,114.145584,22.555218,0
19-13,114.134834,22.565599,1
19-13,114.113983,22.531750,0
19-13,114.114883,22.533466,1
19-14,114.103333,22.570932,0
19-14,114.102982,22.572083,1
19-14,114.118134,22.541250,0
19-14,114.111984,22.537666,1
19-14,114.114166,22.535101,0
19-14,114.113533,22.534983,1
19-14,114.108215,22.541483,0
19-14,114.108765,22.541533,1
19-14,114.116066,22.542017,0
19-14,114.114517,22.540951,1
19-15,114.083466,22.554449,0
19-15,114.086067,22.553450,1
19-15,114.111649,22.540501,0
19-15,114.111450,22.541166,1
19-15,114.083733,22.543283,0
19-15,114.081635,22.543167,1
19-16,114.019470,22.535566,0
19-16,114.027199,22.539801,1
19-16,114.052254,22.536083,0
19-16,114.051414,22.537201,1
19-16,114.010902,22.552517,0
19-16,114.010902,22.552517,1
19-16,114.084236,22.543818,0
19-16,114.084084,22.545183,1
19-17,114.072121,22.534700,0
19-17,114.075584,22.536800,1
19-17,114.086548,22.539984,0
19-17,114.084366,22.540199,1
19-17,114.047768,22.540649,0
19-17,114.047768,22.540649,1
19-18,114.010635,22.552366,0
19-18,114.010635,22.552366,1
19-19,114.022736,22.532700,0
19-19,114.025780,22.534117,1
19-19,114.031631,22.543367,0
19-19,114.038933,22.541834,1
19-19,114.039352,22.532482,0
19-19,114.019402,22.536533,1
19-19,114.043434,22.524950,0
19-19,114.014465,22.537600,1
19-20,114.052284,22.567232,0
19-20,114.054153,22.566084,1
19-20,114.034065,22.569500,0
19-20,114.047981,22.540382,1
19-20,114.125168,22.616568,0
19-21,114.104332,22.622549,1
19-21,114.074997,22.629551,0
19-21,114.065117,22.630182,1
19-21,114.032448,22.629784,0
19-22,114.070084,22.551167,1
19-22,114.062950,22.540449,0
19-22,114.062950,22.540449,1
19-22,114.090286,22.541651,0
19-22,114.090286,22.541651,1
19-22,114.015282,22.545500,0
19-22,114.026535,22.532949,1
19-22,113.971619,22.561100,0
19-22,113.963814,22.546249,1
19-23,113.959999,22.572733,0
19-23,113.946747,22.560150,1
19-23,113.928398,22.501350,0
19-23,113.928932,22.498817,1
19-23,113.927650,22.514833,0
19-23,113.929680,22.544033,1
19-23,113.886597,22.579367,0
19-23,113.816719,22.649717,1
20-0,113.815933,22.651217,0
20-0,113.815819,22.647617,1
20-0,113.925369,22.491182,0
20-1,113.972168,22.540268,1
20-1,114.122498,22.550533,0
20-2,114.115532,22.544867,1
20-2,114.145317,22.544216,0
20-2,114.115219,22.545732,1
20-3,114.105400,22.539600,0
20-3,114.115082,22.545851,1
20-3,114.134880,22.565483,0
20-3,114.115219,22.546284,1
20-3,114.134064,22.564734,0
20-4,114.114998,22.545683,1
20-4,114.130348,22.554100,0
20-4,114.115036,22.545834,1
20-4,114.127113,22.561684,0
20-5,114.115814,22.545918,1
20-5,114.142914,22.546667,0
20-6,114.049065,22.547283,1
20-6,114.039764,22.566183,0
20-8,114.029465,22.522034,1
20-8,114.049965,22.512417,0
20-8,114.049965,22.512417,1
20-8,113.814529,22.649918,0
20-9,113.904587,22.556183,1
20-9,113.968620,22.540350,0
20-9,114.022331,22.535851,1
20-10,114.006516,22.549601,0
20-10,114.008034,22.548550,1
20-10,114.016747,22.543949,0
20-10,114.049118,22.551018,1
20-10,114.106102,22.545883,0
20-10,114.105133,22.551350,1
20-10,114.114037,22.531668,0
20-11,114.113831,22.534483,1
20-11,114.062935,22.538134,0
20-11,114.090034,22.551767,1
20-12,114.026764,22.634968,0
20-12,114.043236,22.601549,1
20-13,113.892700,22.505684,0
20-13,113.958069,22.596382,1
20-14,113.814903,22.649317,0
20-15,113.814964,22.648567,1
20-16,113.917915,22.522249,0
20-16,113.938797,22.542566,1
20-16,113.920151,22.519283,0
20-17,114.120270,22.544983,1
20-17,114.089668,22.543432,0
20-17,114.088097,22.543417,1
20-17,114.078850,22.535133,0
20-17,114.077332,22.536034,1
20-17,114.086197,22.540783,0
20-17,114.086197,22.540783,1
20-18,114.097870,22.566317,0
20-18,114.097870,22.566317,1
20-18,114.063080,22.527399,0
20-18,114.063049,22.526300,1
20-19,114.031799,22.526867,0
20-19,114.025581,22.535351,1
20-19,113.965820,22.533850,0
20-19,113.965820,22.533850,1
20-21,114.064217,22.521418,0
20-21,114.067848,22.523867,1
20-21,114.054665,22.530434,0
20-21,114.067436,22.524117,1
20-21,114.067535,22.538799,0
20-21,114.068199,22.523800,1
20-21,114.118370,22.539900,0
20-21,114.115417,22.545950,1
20-21,114.134735,22.565468,0
20-22,114.124168,22.548918,1
20-22,114.114052,22.591333,0
20-22,114.128235,22.585966,1
20-22,114.125702,22.579500,0
20-22,114.125336,22.577250,1
20-22,114.102364,22.572433,0
20-22,114.094666,22.562283,1
20-22,114.108070,22.601784,0
20-23,114.113914,22.541800,1
20-23,114.113914,22.541800,0
20-23,114.113914,22.541800,1
20-23,114.085930,22.549467,0
20-23,114.083969,22.550800,1
20-23,114.076347,22.535017,0
20-23,114.067833,22.523951,1
21-0,114.123398,22.546818,0
21-0,114.123253,22.545134,1
21-0,114.068367,22.523750,0
21-0,114.052963,22.525883,1
21-0,114.032036,22.523367,0
21-1,114.073135,22.653900,1
21-1,114.063835,22.639816,0
21-1,114.061066,22.648701,1
21-1,114.056068,22.636368,0
21-1,114.060181,22.562532,1
21-1,114.107468,22.568649,0
21-1,114.115196,22.545567,1
21-2,114.091232,22.541250,0
21-2,114.067596,22.531982,1
21-2,114.062798,22.520332,0
21-2,114.067970,22.523968,1
21-2,114.118446,22.539783,0
21-2,114.115219,22.545799,1
21-2,114.120285,22.573851,0
21-3,114.115829,22.545750,1
21-3,114.120049,22.545099,0
21-6,114.115234,22.545668,1
21-6,113.814369,22.650499,0
21-7,114.057671,22.527651,1
21-7,114.077316,22.547068,0
21-7,114.076530,22.547117,1
21-8,114.049583,22.525833,0
21-8,114.045265,22.525818,1
21-8,114.060387,22.549217,0
21-8,114.065231,22.551117,1
21-8,114.047668,22.541317,0
21-8,114.041969,22.529949,1
21-9,114.114929,22.534817,0
21-9,114.114136,22.534300,1
21-9,114.099503,22.554817,0
21-9,114.118500,22.567600,1
21-9,114.040581,22.610167,0
21-9,114.040184,22.611366,1
21-10,114.032387,22.633133,0
21-10,114.049934,22.604650,1
21-10,114.081581,22.547684,0
21-11,114.111130,22.535816,1
21-11,114.150368,22.608116,0
21-11,114.132629,22.616283,1
21-11,114.079330,22.550734,0
21-11,114.079132,22.551567,1
21-12,114.134636,22.565451,0
21-12,114.123985,22.558666,1
21-12,114.099617,22.538366,0
21-13,114.111969,22.531134,1
21-13,114.112518,22.542950,0
21-13,114.113533,22.533882,1
21-13,114.128670,22.585684,0
21-14,114.123581,22.579218,1
21-14,114.121666,22.573851,0
21-14,114.133865,22.571301,1
21-14,114.122200,22.556067,0
21-14,114.124016,22.558666,1
21-14,114.115349,22.545250,0
21-14,114.115349,22.545250,1
21-15,114.077965,22.543417,0
21-15,114.077934,22.545383,1
21-15,114.087349,22.545433,0
21-15,114.089531,22.543516,1
21-15,113.943230,22.588333,0
21-16,113.946465,22.583549,1
21-16,114.009880,22.535250,0
21-16,114.009300,22.535032,1
21-16,114.042847,22.548834,0
21-16,114.045303,22.550617,1
21-16,114.090965,22.543318,0
21-16,114.094231,22.543318,1
21-17,114.042580,22.520599,0
21-17,114.063148,22.517799,1
21-17,114.061584,22.533768,0
21-17,114.074036,22.539650,1
21-17,114.074432,22.538799,0
21-17,114.076836,22.535833,1
21-17,114.040833,22.530251,0
21-18,114.047882,22.538317,1
21-18,114.033882,22.518383,0
21-18,114.088921,22.562767,1
21-19,114.025436,22.561483,0
21-19,114.025414,22.535967,1
21-19,114.025352,22.526133,0
21-19,114.040985,22.523718,1
21-19,114.029617,22.521584,0
21-19,114.029617,22.521584,1
21-20,114.020668,22.536182,0
21-20,114.081436,22.545616,1
21-20,114.118950,22.539833,0
21-20,114.117233,22.543016,1
21-20,114.113884,22.537333,0
21-20,114.111748,22.539351,1
21-21,114.094635,22.554768,0
21-21,114.096046,22.551933,1
21-21,114.097198,22.542732,0
21-21,114.097130,22.541250,1
21-21,114.120201,22.545183,0
21-21,114.119781,22.544416,1
21-21,114.119270,22.540333,0
21-21,114.119865,22.540518,1
21-21,114.095253,22.538750,0
21-21,114.095230,22.541451,1
21-22,114.107620,22.567467,0
21-22,114.095863,22.561518,1
21-22,114.113930,22.544317,0
21-22,114.113647,22.543234,1
21-22,114.139618,22.564934,0
21-22,114.134117,22.557283,1
21-23,114.118118,22.589167,0
21-23,114.130165,22.579599,1
21-23,114.120399,22.571150,0
21-23,114.119232,22.570749,1
21-23,114.140953,22.620399,0
21-23,114.112503,22.609734,1
21-23,114.137100,22.581133,0
21-23,114.132469,22.579634,1
22-0,114.123680,22.575001,0
22-0,114.128647,22.577217,1
22-0,114.134850,22.565500,0
22-0,114.133080,22.586483,1
22-0,114.123482,22.579218,0
22-0,114.129463,22.579582,1
22-1,114.137985,22.614483,0
22-1,114.138214,22.609667,1
22-1,114.149719,22.616051,0
22-1,114.136215,22.583683,1
22-1,114.134232,22.585966,0
22-2,114.129646,22.550817,1
22-2,114.124886,22.549267,0
22-2,114.132034,22.549049,1
22-2,114.067352,22.519350,0
22-3,114.072052,22.537018,1
22-3,114.101036,22.555267,0
22-3,114.107765,22.569384,1
22-3,114.064484,22.574017,0
22-5,114.050964,22.550882,1
22-5,114.038536,22.603518,0
22-7,114.029068,22.528000,1
22-7,114.041786,22.521200,0
22-7,114.042252,22.521482,1
22-7,114.049835,22.546883,0
22-8,114.039314,22.554867,1
22-8,114.059219,22.545151,0
22-8,114.062752,22.540182,1
22-8,114.075134,22.540117,0
22-8,114.075279,22.540182,1
22-8,114.113968,22.531834,0
22-8,114.133850,22.549168,1
22-8,114.133751,22.543583,0
22-9,114.142601,22.549383,1
22-9,114.127296,22.542784,0
22-9,114.129829,22.543983,1
22-9,114.105499,22.543333,0
22-9,114.107452,22.541433,1
22-9,114.114815,22.546200,0
22-9,114.115097,22.545868,1
22-9,114.129532,22.543833,0
22-9,114.135834,22.545267,1
22-9,114.170082,22.569450,0
22-10,114.167503,22.563168,1
22-10,114.090698,22.567717,0
22-10,114.086601,22.570784,1
22-10,114.122971,22.540983,0
22-10,114.121315,22.543501,1
22-10,114.120537,22.568783,0
22-10,114.117935,22.568251,1
22-11,114.164413,22.562483,0
22-11,114.164467,22.562117,1
22-11,114.134148,22.547068,0
22-11,114.128784,22.545668,1
22-11,114.119835,22.541582,0
22-11,114.119614,22.541317,1
22-11,114.106850,22.540417,0
22-11,114.108582,22.541616,1
22-11,114.114166,22.534918,0
22-11,114.114037,22.534451,1
22-11,114.115265,22.579849,0
22-11,114.114464,22.586767,1
22-12,114.091766,22.557283,0
22-12,114.107330,22.552782,1
22-12,114.304115,22.597883,0
22-13,114.222351,22.553467,1
22-13,114.305199,22.602350,0
22-14,114.301132,22.586166,1
22-14,114.113785,22.539118,0
22-14,114.113785,22.540318,1
22-14,114.084000,22.541367,0
22-14,114.084114,22.541967,1
22-15,114.112900,22.535833,0
22-15,114.112900,22.535833,1
22-15,114.103981,22.555233,0
22-15,114.104103,22.555967,1
22-16,114.036385,22.548767,0
22-16,114.034302,22.549351,1
22-17,114.050529,22.594517,0
22-17,114.064003,22.573982,1
22-17,114.066879,22.571251,0
22-17,114.058533,22.570450,1
22-17,114.038635,22.602100,0
22-17,114.041000,22.604300,1
22-18,114.065147,22.537983,0
22-18,114.065147,22.537983,1
22-18,114.024750,22.561268,0
22-19,114.029236,22.527950,1
22-19,114.041916,22.530718,0
22-19,114.041916,22.530718,1
22-20,114.083786,22.572050,0
22-20,114.083786,22.572050,1
22-20,114.051567,22.625299,0
22-20,114.055603,22.621651,1
22-20,114.063881,22.571234,0
22-20,114.081581,22.549633,1
22-20,114.074837,22.540117,0
22-20,114.078751,22.542850,1
22-21,114.105835,22.553482,0
22-21,114.104034,22.546383,1
22-21,114.099113,22.569733,0
22-21,114.099350,22.559799,1
22-21,114.121635,22.580683,0
22-21,114.121269,22.580999,1
22-21,114.114464,22.581066,0
22-21,114.112480,22.548767,1
22-22,114.035881,22.560284,0
22-22,114.035881,22.560284,1
22-22,114.125786,22.550568,0
22-22,114.123001,22.548500,1
