time,jd,wd,status
18-0,114.108170,22.546949,1
18-0,114.114548,22.538300,0
18-0,114.103714,22.549133,1
18-0,114.102615,22.540667,0
18-3,114.027420,22.623734,1
18-3,114.027420,22.623734,0
18-5,114.044800,22.596567,1
18-5,114.077232,22.544416,0
18-6,114.061050,22.564383,1
18-6,114.087334,22.551018,0
18-6,114.077065,22.549133,1
18-6,114.059402,22.560949,0
18-7,114.060486,22.563351,1
18-7,113.992699,22.534018,0
18-7,113.992882,22.532801,1
18-7,114.101448,22.561466,0
18-7,114.103264,22.561550,1
18-8,114.047935,22.538250,0
18-8,114.048950,22.542299,1
18-8,113.914833,22.539400,0
18-10,114.122169,22.565701,1
18-10,114.115669,22.534433,0
18-10,114.113815,22.534500,1
18-10,114.091484,22.560301,0
18-10,114.094971,22.559868,1
18-11,114.089348,22.543516,0
18-11,114.094551,22.552032,1
18-11,114.024986,22.538033,0
18-11,114.045013,22.555767,1
18-11,114.045013,22.555767,0
18-12,114.039101,22.549633,1
18-12,114.034920,22.567583,0
18-12,114.042114,22.556618,1
18-12,114.093750,22.567867,0
18-12,114.093987,22.566917,1
18-12,114.106720,22.574266,0
18-12,114.107681,22.570482,1
18-12,114.107269,22.556368,0
18-13,114.031631,22.636784,1
18-13,114.076584,22.547083,0
18-14,114.071434,22.548067,1
18-14,114.081863,22.551550,0
18-14,114.084282,22.551683,1
18-14,113.972565,22.565500,0
18-14,113.979202,22.561550,1
18-14,113.933319,22.532368,0
18-14,113.930618,22.528784,1
18-14,113.940063,22.539301,0
18-15,113.978500,22.536200,1
18-15,113.969971,22.549732,0
18-15,113.972168,22.550333,1
18-15,114.062752,22.517532,0
18-17,114.053818,22.549618,1
18-17,114.042549,22.552799,0
18-17,114.038879,22.549250,1
18-17,114.013634,22.545017,0
18-17,114.010170,22.548218,1
18-17,114.033020,22.555634,0
18-17,114.035103,22.554983,1
18-17,114.005951,22.563368,0
18-17,114.007118,22.563250,1
18-17,114.008453,22.548332,0
18-17,114.008415,22.548267,1
18-18,114.045120,22.517967,0
