time,jd,wd,status
20-0,113.956985,22.573017,1
20-0,113.958549,22.565018,0
20-0,113.971031,22.561268,1
20-0,114.033264,22.636168,0
20-1,114.047951,22.537500,1
18-21,113.980286,22.587566,0
18-23,113.963799,22.543617,1
18-23,113.964531,22.560167,0
18-23,113.930969,22.544018,1
18-23,113.943848,22.591183,0
18-23,113.949249,22.580950,1
18-23,113.967186,22.563049,0
20-6,113.955879,22.571167,1
20-6,114.068398,22.523617,0
20-7,113.976700,22.562767,1
20-7,114.050934,22.550600,0
20-7,113.967201,22.540899,1
20-8,114.090652,22.565416,0
20-8,114.058517,22.568068,1
20-8,114.038567,22.526983,0
20-8,114.038467,22.526899,1
20-9,114.043617,22.557417,0
20-9,114.043434,22.557632,1
20-9,114.056503,22.531300,0
20-9,114.059486,22.526567,1
20-9,114.068481,22.523983,0
20-9,114.042480,22.527218,1
20-9,114.051369,22.511066,0
20-9,114.039902,22.522318,1
20-9,114.033852,22.545601,0
20-9,114.032532,22.541267,1
20-10,114.027496,22.537533,0
20-10,114.019386,22.535982,1
20-10,113.971664,22.545401,0
20-11,113.961403,22.543150,1
20-10,113.962181,22.526199,0
20-11,113.928535,22.548567,1
20-11,113.916969,22.543516,0
20-11,113.917297,22.543949,1
20-11,113.908417,22.483950,0
20-11,113.911652,22.488216,1
20-12,113.928329,22.502600,0
20-12,113.930099,22.503201,1
20-12,113.910370,22.503233,0
20-12,113.915230,22.503983,1
20-12,113.919281,22.488716,0
20-12,113.919350,22.488684,1
20-12,113.912582,22.488716,0
20-12,113.912766,22.488817,1
20-12,113.916801,22.499149,0
20-12,113.917114,22.496901,1
20-13,113.814514,22.649782,0
20-14,113.814301,22.650600,1
20-14,113.822166,22.642900,0
20-15,114.084114,22.541233,1
20-15,114.064049,22.532084,0
20-15,114.062698,22.531883,1
20-15,114.022049,22.533518,0
20-15,114.015564,22.533466,1
20-15,114.078735,22.542267,0
20-15,114.079018,22.540716,1
20-16,114.090698,22.566982,0
20-17,113.961998,22.559917,1
20-17,114.039146,22.565832,0
20-17,114.044182,22.561367,1
20-18,113.816017,22.647200,0
20-19,113.814301,22.650517,1
20-19,113.918503,22.553551,0
20-19,113.927368,22.545717,1
20-19,113.931129,22.520399,0
20-19,113.929665,22.519367,1
20-20,113.909370,22.517834,0
20-21,113.910431,22.537983,1
20-21,113.938980,22.542549,0
20-21,113.948051,22.543600,1
20-21,113.914467,22.524418,0
20-21,113.935516,22.545601,1
20-21,113.936966,22.536234,0
20-21,113.940620,22.536818,1
20-22,113.943268,22.506483,0
20-22,113.943703,22.532633,1
20-22,113.921921,22.526649,0
20-22,113.937202,22.536318,1
20-22,113.930763,22.544033,0
20-22,113.930786,22.544117,1
20-23,113.865997,22.571632,0
20-23,113.814400,22.650133,1
