time,jd,wd,status
18-20-19,114.107819,22.548082,0
18-20-22,114.104851,22.545816,1
18-20-36,114.103683,22.568617,0
18-20-51,114.088219,22.554483,1
18-21-26,114.153114,22.618233,0
18-21-28,114.153847,22.616867,1
18-21-55,114.113930,22.531950,0
18-22-5,114.113503,22.534166,1
18-22-12,114.138100,22.569033,0
18-22-14,114.135918,22.570351,1
18-22-17,114.128647,22.560200,0
18-22-26,114.116501,22.548349,1
18-22-38,114.137398,22.555750,0
18-22-49,114.112602,22.547234,1
18-22-57,114.111702,22.587151,0
18-23-11,114.116470,22.548033,1
18-23-17,114.119186,22.537367,0
18-23-23,114.114548,22.534468,1
18-23-32,114.120750,22.551950,0
18-23-39,114.116570,22.548483,1
18-23-49,114.115814,22.590584,0
19-0-29,114.116852,22.547068,1
19-0-0,114.115883,22.550266,0
19-0-11,114.116600,22.548267,1
19-0-23,114.041481,22.527067,0
19-0-45,114.067749,22.523832,1
19-0-54,114.118034,22.536934,0
19-1-6,114.090347,22.541517,1
19-1-13,114.083946,22.548283,0
19-1-36,114.067719,22.523884,1
19-1-46,114.034019,22.569532,0
19-2-33,114.067833,22.523933,1
19-2-40,114.119614,22.539249,0
19-3-2,114.108932,22.537617,1
19-3-6,114.112221,22.536432,0
19-4-17,114.067749,22.523916,1
19-4-28,114.027664,22.559700,0
19-7-25,114.101830,22.571283,1
19-7-38,114.114014,22.531317,0
19-7-45,114.119781,22.541166,1
19-7-55,114.114082,22.531549,0
19-7-56,114.116570,22.536167,1
19-8-31,113.914314,22.504168,0
19-8-33,113.913986,22.504316,1
19-8-37,113.908600,22.494801,0
19-8-40,113.908096,22.492149,1
19-9-18,114.025551,22.535282,0
19-9-35,114.040619,22.521683,1
19-10-2,114.080353,22.557632,0
19-10-3,114.080269,22.557449,1
19-10-14,114.091568,22.561399,0
19-10-16,114.095329,22.561583,1
19-10-21,114.081451,22.559017,0
19-10-24,114.082184,22.554033,1
19-10-38,114.119270,22.542200,0
19-10-39,114.119232,22.542200,1
19-11-47,113.814613,22.649549,0
19-13-30,113.814682,22.646200,1
19-13-55,114.062737,22.517517,0
19-14-6,114.062798,22.517866,1
19-14-14,114.044449,22.511017,0
19-14-23,114.058899,22.520350,1
19-14-38,114.026268,22.525316,0
19-14-39,114.025398,22.526583,1
19-14-48,114.048431,22.524717,0
19-14-50,114.049820,22.525700,1
19-15-7,114.062515,22.577250,0
19-15-7,114.062431,22.577000,1
19-15-14,114.037498,22.565517,0
19-15-20,114.039764,22.551300,1
19-15-54,114.124947,22.606684,0
19-16-3,114.110497,22.587383,1
19-16-27,114.033218,22.615683,0
19-16-31,114.032585,22.614433,1
19-16-33,114.036736,22.605301,0
19-16-34,114.036484,22.604616,1
19-16-50,114.048248,22.537201,0
19-16-51,114.048347,22.536833,1
19-16-51,114.048347,22.536833,0
19-16-52,114.048698,22.536818,1
19-17-1,114.038666,22.559517,0
19-17-9,114.043419,22.557850,1
19-17-45,114.062584,22.517517,0
19-17-48,114.063004,22.517733,1
