time,jd,wd,status
18-0-7,113.986801,22.540016,0
18-20-9,113.895050,22.596800,1
18-20-21,113.815048,22.649099,0
18-20-31,113.835503,22.638567,1
18-21-11,114.040199,22.611567,0
18-21-24,114.044868,22.596867,1
18-21-40,114.143517,22.553118,0
18-21-43,114.140030,22.549950,1
18-21-48,114.139099,22.549784,0
18-21-56,114.121368,22.543417,1
18-22-0,114.113617,22.538183,0
18-22-4,114.111771,22.538851,1
18-22-8,114.117218,22.543333,0
18-22-13,114.113235,22.538334,1
18-22-29,114.077721,22.549183,0
18-22-32,114.075897,22.545816,1
18-22-41,114.039230,22.527367,0
18-22-54,113.975998,22.537283,1
18-22-59,113.964233,22.544483,0
18-23-5,113.960747,22.549334,1
18-23-38,114.044617,22.712950,0
18-23-44,114.052696,22.720467,1
18-23-44,114.053665,22.721367,0
19-0-9,114.023399,22.647984,1
19-0-31,114.059586,22.526583,0
19-7-34,113.871117,22.567900,1
19-8-3,113.939117,22.542650,0
19-8-5,113.933853,22.542850,1
19-8-52,114.092300,22.560017,0
19-8-55,114.098831,22.559917,1
19-9-44,113.908386,22.479401,0
19-9-47,113.911049,22.487917,1
19-9-58,113.891785,22.461468,0
19-9-59,113.891914,22.461132,1
19-10-2,113.898430,22.472467,0
19-10-4,113.902298,22.476400,1
19-10-6,113.899132,22.473400,0
19-10-14,113.906685,22.487949,1
19-10-27,113.896515,22.504200,0
19-10-35,113.908447,22.515133,1
19-10-45,113.919884,22.533182,0
19-10-46,113.919785,22.534149,1
19-10-59,113.965820,22.534100,0
19-11-5,113.966034,22.532167,1
19-11-16,114.036301,22.522966,0
19-11-32,113.986687,22.536568,1
19-11-44,114.043831,22.530199,0
19-12-0,113.970650,22.539618,1
19-12-10,113.938751,22.507517,0
19-12-19,113.926285,22.517967,1
19-12-34,114.052536,22.535250,0
19-12-59,113.938751,22.543051,1
19-13-9,113.915565,22.510584,0
19-13-10,113.916763,22.512199,1
19-13-21,113.892418,22.505600,0
19-13-22,113.892418,22.505600,1
19-13-45,114.038620,22.527933,0
19-15-24,113.876236,22.570967,1
19-17-37,113.919952,22.535151,0
19-17-59,113.861198,22.566099,1
19-18-24,113.960854,22.534082,0
19-19-0,113.875999,22.570999,1
19-19-22,113.977798,22.540768,0
19-19-23,113.978149,22.540449,1
19-19-35,113.965698,22.532667,0
19-19-38,113.961899,22.536501,1
19-19-40,113.962952,22.541950,0
19-19-41,113.963730,22.541718,1
