time,jd,wd,status
18-7-42,114.044632,22.557650,0
18-7-49,114.039719,22.569250,1
18-8-29,114.101936,22.541367,0
18-8-30,114.101898,22.541616,1
18-8-40,114.130669,22.550934,0
18-8-40,114.130653,22.551167,1
18-9-1,114.121086,22.539133,0
18-9-4,114.135399,22.548183,1
18-9-8,114.164032,22.562500,0
18-9-14,114.176804,22.564016,1
18-9-20,114.164581,22.561716,0
18-9-32,114.158302,22.561483,1
18-9-57,114.067352,22.526567,0
18-10-7,114.067734,22.524000,1
18-10-16,114.091148,22.546066,0
18-10-23,114.083000,22.554050,1
18-10-31,114.080879,22.540684,0
18-10-32,114.078598,22.540350,1
18-10-45,114.056915,22.531851,0
18-10-51,114.050781,22.527018,1
18-10-58,114.052803,22.525749,0
18-11-0,114.057533,22.525917,1
18-11-19,113.944298,22.507317,0
18-11-27,113.945396,22.506533,1
18-11-48,114.048599,22.569799,0
18-11-51,114.048714,22.567484,1
18-11-59,114.047897,22.539917,0
18-12-0,114.045097,22.539400,1
18-12-10,114.085617,22.545317,0
18-12-16,114.081764,22.543167,1
18-12-21,114.056900,22.531799,0
18-12-26,114.056030,22.531799,1
18-12-33,114.051514,22.529100,0
18-12-39,114.103729,22.538134,1
18-12-45,114.124451,22.541817,0
18-13-5,114.122948,22.542950,1
18-13-18,114.068420,22.523750,0
18-13-36,114.079880,22.542967,1
18-13-49,114.113983,22.540033,0
18-14-7,114.113632,22.533966,1
18-14-12,114.119614,22.540867,0
18-14-13,114.118935,22.540583,1
18-14-22,114.109169,22.544399,0
18-14-24,114.111282,22.545549,1
18-14-28,114.120316,22.541533,0
18-14-35,114.128815,22.548233,1
18-14-52,114.114265,22.531134,0
18-15-0,114.138702,22.549850,1
18-15-18,114.121651,22.573851,0
18-15-20,114.118530,22.573917,1
18-15-36,114.024750,22.555799,0
18-15-38,114.021751,22.555468,1
18-15-42,114.034615,22.541599,0
18-15-47,114.034233,22.548033,1
18-15-52,114.035950,22.557768,0
18-15-55,114.036369,22.562384,1
18-15-57,114.045769,22.567400,0
18-15-59,114.049316,22.567316,1
18-16-22,114.081520,22.549932,0
18-16-59,114.100349,22.607733,1
18-17-13,114.111397,22.607849,0
18-17-14,114.111580,22.607834,1
18-17-23,114.118317,22.596350,0
18-17-25,114.115669,22.596518,1
18-17-41,114.081535,22.548651,0
18-17-42,114.081482,22.547882,1
18-17-56,114.072197,22.531082,0
18-18-1,114.093269,22.538082,1
18-18-46,114.095947,22.557899,0
18-18-47,114.098885,22.561350,1
18-18-51,114.105453,22.567083,0
18-18-55,114.116798,22.572634,1
18-19-11,114.134315,22.573168,0
18-19-15,114.133453,22.563932,1
18-20-0,114.105667,22.554083,0
18-20-54,114.112549,22.548918,1
18-21-1,114.104202,22.556067,0
18-21-1,114.104080,22.556534,1
18-21-18,114.074883,22.531151,0
18-21-24,114.074387,22.530666,1
18-21-39,114.089584,22.570183,0
18-23-13,114.114586,22.550550,1
18-23-19,114.123520,22.552134,0
18-23-20,114.123634,22.552134,1
18-23-23,114.111168,22.558901,0
18-23-54,114.107132,22.568399,1
19-0-5,114.125130,22.560484,0
19-0-20,114.114464,22.550432,1
19-0-27,114.120316,22.569967,0
19-0-31,114.124031,22.564051,1
19-0-37,114.133049,22.574051,0
19-7-3,114.110352,22.609367,1
19-7-24,114.045135,22.558201,0
19-7-28,114.036903,22.568567,1
19-7-53,114.099518,22.549982,0
19-7-55,114.103317,22.552418,1
19-8-14,114.052620,22.531767,0
19-8-16,114.046280,22.533251,1
19-8-23,114.019920,22.532949,0
19-8-27,114.029297,22.527901,1
19-8-37,114.021385,22.539383,0
19-8-44,114.013733,22.546284,1
19-9-0,114.043564,22.557449,0
