time,jd,wd,status
18-6-15,114.048866,22.568800,0
18-6-23,114.034683,22.541582,1
18-6-31,114.014816,22.543016,0
18-7-5,113.814682,22.649668,1
18-7-18,113.876747,22.582382,0
18-7-32,113.941833,22.546534,1
18-7-50,113.959717,22.534349,0
18-7-58,113.925697,22.517668,1
18-8-0,113.925751,22.517750,0
18-8-12,113.919830,22.533951,1
18-8-15,113.919868,22.534367,0
18-8-29,113.943016,22.530666,1
18-8-30,113.943001,22.531000,0
18-8-32,113.936882,22.536217,1
18-8-39,113.926567,22.523750,0
18-8-52,113.942101,22.557850,1
18-8-56,113.945320,22.558817,0
18-9-5,113.919930,22.543583,1
18-9-6,113.919083,22.544050,0
18-9-12,113.928268,22.545834,1
18-9-22,113.922684,22.550716,0
18-9-38,113.880966,22.568600,1
18-9-40,113.883400,22.569683,0
18-9-51,113.903534,22.530268,1
18-9-52,113.903503,22.531067,0
18-9-54,113.904449,22.531683,1
18-10-1,113.913963,22.539167,0
18-10-21,114.052483,22.528549,1
18-10-27,114.047050,22.533983,0
18-10-31,114.074097,22.542933,1
18-10-35,114.075935,22.542250,0
18-10-54,114.128571,22.575068,1
18-10-57,114.130302,22.575750,0
18-11-54,114.133835,22.580784,1
18-11-56,114.133835,22.580784,0
18-12-15,114.057686,22.536350,1
18-12-40,114.047813,22.538099,0
18-12-47,114.062836,22.533768,1
18-12-57,114.046684,22.540367,0
18-13-15,113.963715,22.547268,1
18-13-19,113.961136,22.552567,0
18-13-22,113.940697,22.555668,1
18-13-46,113.949081,22.543182,0
18-13-50,113.937202,22.551033,1
18-13-54,113.939163,22.546249,0
18-13-57,113.919167,22.543867,1
18-13-59,113.918953,22.546217,0
18-14-13,113.985947,22.543833,1
18-14-30,113.981133,22.523033,0
18-14-58,113.815384,22.651983,1
18-15-39,113.906548,22.553183,0
18-15-52,113.947380,22.578449,1
18-15-57,113.950630,22.570118,0
18-16-13,113.973686,22.556549,1
18-16-39,114.049187,22.565968,0
18-16-44,114.048531,22.568983,1
18-16-47,114.048370,22.567833,0
18-17-7,114.078781,22.542767,1
18-17-13,114.077667,22.541700,0
18-17-34,113.927116,22.521833,1
18-17-51,113.949051,22.541533,0
18-17-54,113.946014,22.550484,1
18-17-56,113.944534,22.548733,0
18-18-17,113.933380,22.545549,1
18-18-17,113.933380,22.545549,0
18-18-28,113.945580,22.541668,1
18-18-31,113.944870,22.539633,0
18-18-42,113.922501,22.522699,1
18-18-44,113.920937,22.523317,0
18-19-0,113.914902,22.491467,1
18-19-3,113.918350,22.493183,0
18-19-5,113.919983,22.494249,1
18-19-10,113.915184,22.494917,0
18-19-15,113.923882,22.495649,1
18-19-18,113.920067,22.493483,0
18-20-16,114.046669,22.548683,1
18-20-21,114.046730,22.544800,0
18-20-31,114.053848,22.567266,1
18-20-34,114.048683,22.567167,0
18-20-37,114.048416,22.572416,1
18-20-40,114.057632,22.571100,0
18-20-51,114.098282,22.576218,1
18-20-53,114.098969,22.571617,0
18-21-16,113.945236,22.587418,1
18-21-30,113.946602,22.560783,0
18-21-50,113.918434,22.494049,1
18-21-55,113.919548,22.497601,0
18-22-15,113.905220,22.568884,1
18-22-19,113.902466,22.568899,0
18-22-49,114.119530,22.545233,1
18-22-54,114.119530,22.545233,0
18-23-3,114.119530,22.545233,1
18-23-6,114.098267,22.569418,0
18-23-18,114.098267,22.569418,1
18-23-39,114.126419,22.553617,0
18-23-41,114.124298,22.548532,1
18-23-55,114.097900,22.543568,0
19-0-6,114.055069,22.568701,1
19-0-12,114.054268,22.566233,0
19-0-20,114.031586,22.606833,1
19-0-47,114.054047,22.566282,0
19-0-57,114.098320,22.577017,1
19-6-42,114.047752,22.569082,0
19-6-51,113.978668,22.561701,1
19-6-55,113.980247,22.561867,0
19-7-2,114.019531,22.538517,1
19-7-12,114.013901,22.543568,0
19-7-37,113.816719,22.646151,1
19-8-16,113.894180,22.565117,0
19-9-3,114.009621,22.535217,1
19-9-11,114.024086,22.528833,0
19-9-16,114.025932,22.537317,1
19-9-24,114.035385,22.543516,0
19-9-41,113.932480,22.521549,1
19-9-49,113.934601,22.522167,0
19-10-4,114.051483,22.533283,1
19-10-8,114.051300,22.528917,0
19-10-17,114.044380,22.510767,1
19-10-23,114.044746,22.512417,0
19-10-41,114.119698,22.538267,1
19-10-47,114.123482,22.537184,0
19-10-59,114.117554,22.551300,1
19-11-3,114.117554,22.551300,0
19-11-18,114.117554,22.551300,1
19-11-20,114.117554,22.551300,0
19-11-27,114.094200,22.541683,1
19-11-30,114.091614,22.540518,0
19-11-40,114.067551,22.543167,1
19-11-44,114.058319,22.545767,0
19-11-55,114.048470,22.567432,1
19-11-58,114.043617,22.566549,0
19-12-4,114.042419,22.544451,1
19-12-31,114.040970,22.544149,0
19-12-35,114.039253,22.554951,1
19-12-44,114.046570,22.540983,0
19-12-50,114.039230,22.517851,1
19-12-51,114.038864,22.518017,0
19-12-59,114.071770,22.530317,1
19-13-1,114.071869,22.528049,0
19-13-7,114.062767,22.517550,1
19-13-22,114.062820,22.517799,0
19-13-31,114.051147,22.528618,1
19-13-32,114.052254,22.526882,0
19-13-45,114.087196,22.548599,1
19-13-48,114.084702,22.546101,0
19-14-30,113.999084,22.680651,1
19-15-8,114.017998,22.655500,0
19-15-30,114.060852,22.575533,1
19-15-38,114.060852,22.575533,0
19-15-55,114.075966,22.534866,1
19-15-57,114.077103,22.536118,0
19-16-4,114.063217,22.527849,1
19-16-5,114.060898,22.525850,0
19-16-12,114.024033,22.532034,1
19-16-15,114.019615,22.534533,0
19-16-27,114.084030,22.542683,1
19-16-29,114.088264,22.542433,0
19-17-18,114.108017,22.537067,1
19-17-19,114.108017,22.537067,0
19-17-28,114.124046,22.547333,1
19-17-29,114.123848,22.550568,0
19-17-42,114.112282,22.544149,1
19-17-44,114.112282,22.544149,0
19-17-49,114.112282,22.544149,1
19-17-50,114.112282,22.544149,0
19-18-7,114.120399,22.547832,1
19-18-8,114.120399,22.547832,0
19-18-36,114.080467,22.543133,1
