time,jd,wd,status
22-0,114.099686,22.543318,1
22-0,114.100601,22.546333,0
22-0,114.101463,22.547684,1
22-0,114.116852,22.588751,0
22-0,114.084297,22.540632,1
22-1,114.076935,22.553883,0
22-1,114.086670,22.545483,1
22-1,114.112381,22.546783,0
20-6,114.121300,22.556833,1
20-6,114.101082,22.558517,0
20-6,114.101067,22.558517,1
20-6,114.101067,22.558483,0
20-7,114.134697,22.565184,1
20-7,114.123901,22.558567,0
20-8,114.125153,22.553600,1
20-8,114.103996,22.564350,0
20-8,114.107719,22.568399,1
20-8,114.120903,22.559834,0
20-8,114.120186,22.560984,1
20-8,114.112617,22.550083,0
20-8,114.116180,22.552717,1
20-8,114.081596,22.544233,0
20-8,114.081413,22.547016,1
20-9,114.006134,22.537333,0
20-9,114.011650,22.533768,1
20-9,114.016647,22.540083,0
20-9,114.007965,22.551233,1
20-9,114.017265,22.543350,0
20-9,114.030350,22.557617,1
20-10,114.091049,22.546984,0
20-10,114.091049,22.553267,1
20-10,114.081383,22.559000,0
20-10,114.081047,22.558617,1
20-10,114.046715,22.548183,0
20-10,114.051033,22.549950,1
20-10,114.101730,22.541233,0
20-10,114.105766,22.543917,1
20-11,114.133781,22.556850,0
20-11,114.133865,22.557167,1
20-11,114.112518,22.543016,0
20-11,114.116402,22.549400,1
20-11,114.098648,22.575832,0
20-11,114.098564,22.575632,1
20-12,113.907516,22.561283,0
20-12,113.904404,22.561550,1
20-12,113.909752,22.543200,0
20-13,114.032135,22.530018,1
20-13,114.039803,22.548683,0
20-13,114.034180,22.549633,1
20-13,113.978683,22.563284,0
20-13,113.975334,22.563816,1
20-14,113.814598,22.649782,0
20-15,113.814819,22.649866,1
20-15,114.006165,22.552366,0
20-15,114.009583,22.547783,1
20-16,114.040421,22.568817,0
20-16,114.047165,22.567383,1
20-16,114.062782,22.517584,0
20-16,114.062767,22.517817,1
20-16,114.074120,22.542900,0
20-16,114.074265,22.542950,1
20-16,114.043968,22.533966,0
20-16,114.049332,22.535233,1
20-16,114.058685,22.529249,0
20-17,114.059151,22.535433,1
20-17,113.898399,22.563499,0
20-17,113.894447,22.564850,1
20-18,113.943047,22.506468,0
20-18,113.945450,22.506550,1
20-18,113.919800,22.509750,0
20-18,113.919815,22.509701,1
20-18,113.930336,22.513000,0
20-19,114.136818,22.556650,1
20-19,114.113831,22.534201,0
20-19,114.053185,22.531532,1
20-20,113.918236,22.502867,0
20-21,113.980766,22.539551,1
20-21,114.048584,22.570351,0
20-21,114.048836,22.569267,1
20-21,114.116615,22.536283,0
20-21,114.117065,22.535933,1
20-21,114.106369,22.541384,0
20-21,114.106201,22.540899,1
20-21,114.110931,22.534184,0
20-21,114.111000,22.534117,1
20-22,114.067329,22.519432,0
20-22,114.064034,22.519484,1
20-22,114.057404,22.514532,0
20-22,114.063034,22.519533,1
20-22,114.048500,22.521299,0
20-22,114.073952,22.531683,1
20-22,114.121063,22.543068,0
20-22,114.121414,22.543734,1
20-22,114.141685,22.548250,0
20-23,114.105736,22.546400,1
20-23,114.107864,22.572033,0
20-23,114.105965,22.546551,1
20-23,114.107819,22.544518,0
20-23,114.111130,22.535633,1
19-21,114.066147,22.531633,0
19-21,114.064583,22.532066,1
19-22,114.042130,22.544350,0
19-22,114.039398,22.544333,1
19-22,114.048767,22.537333,0
19-22,114.053619,22.537333,1
19-22,114.062767,22.539850,0
19-22,114.055229,22.537582,1
19-22,114.040665,22.566549,0
19-22,114.048820,22.567217,1
19-22,114.030167,22.566999,0
19-22,114.047897,22.537916,1
19-23,114.112747,22.536066,0
19-23,114.111984,22.537666,1
19-23,114.119049,22.554234,0
19-23,114.114716,22.546551,1
19-23,114.114052,22.531532,0
19-23,114.112198,22.536966,1
19-23,114.121582,22.623417,0
