time,jd,wd,status
19-0-21,114.063164,22.525833,0
19-0-46,113.917198,22.516617,1
19-0-58,113.966698,22.544901,0
19-1-7,113.964050,22.544649,1
19-1-40,113.972870,22.540434,0
19-1-44,113.976814,22.540850,1
19-1-52,114.025284,22.530951,0
19-2-32,114.068100,22.523867,1
19-2-37,114.052032,22.528584,0
19-3-19,114.067970,22.523951,1
19-3-28,114.116180,22.542633,0
19-3-51,114.104248,22.553600,1
19-4-5,114.045700,22.524200,0
19-4-31,114.063217,22.533701,1
19-4-43,114.102165,22.597584,0
19-5-31,114.111618,22.604151,1
19-5-45,114.083336,22.543133,0
19-5-49,114.089432,22.540382,1
19-5-55,114.114136,22.534500,0
19-6-14,114.113770,22.534250,1
19-6-20,114.096169,22.540083,0
19-6-22,114.095253,22.541183,1
19-6-28,114.081497,22.544201,0
19-6-32,114.084869,22.551617,1
19-6-40,114.113266,22.584467,0
19-7-10,114.130402,22.554117,1
19-7-19,114.131821,22.584383,0
19-7-20,114.131348,22.584467,1
19-7-29,114.116333,22.563351,0
19-8-17,114.036530,22.516783,1
19-8-33,114.018051,22.540167,0
19-9-14,114.027519,22.526649,1
19-9-31,114.101967,22.541267,0
19-9-32,114.101852,22.541750,1
19-9-45,114.139153,22.557266,0
19-9-48,114.135048,22.558399,1
19-9-53,114.163536,22.570917,0
19-9-57,114.157402,22.563133,1
19-10-9,114.114952,22.534834,0
19-10-12,114.114586,22.534700,1
19-10-28,114.075218,22.540133,0
19-10-28,114.075218,22.540133,1
19-10-38,114.079353,22.545401,0
19-10-41,114.080864,22.546400,1
19-10-48,114.099236,22.557533,0
19-10-57,114.095749,22.555082,1
19-11-9,114.082870,22.544500,0
19-11-13,114.083504,22.545851,1
19-11-22,114.102036,22.548117,0
19-11-24,114.104019,22.549482,1
19-11-48,113.995003,22.531366,0
19-11-54,114.019569,22.531651,1
19-12-1,114.009682,22.534866,0
19-12-9,114.009148,22.534918,1
19-12-14,114.021347,22.529467,0
19-12-16,114.020485,22.529249,1
19-12-18,114.023468,22.531483,0
19-12-28,114.079132,22.534883,1
19-12-36,114.062920,22.545218,0
19-12-38,114.064529,22.547501,1
19-12-54,114.115585,22.535168,0
19-12-56,114.117569,22.536699,1
19-13-16,114.188103,22.594067,0
19-13-27,114.158569,22.611383,1
19-13-48,114.112953,22.604868,0
19-13-51,114.112770,22.604282,1
19-14-8,114.088921,22.549217,0
19-14-9,114.088997,22.547300,1
19-14-23,114.112434,22.546000,0
19-14-57,114.109818,22.537567,1
19-15-5,114.118469,22.542967,0
19-15-6,114.118416,22.541918,1
