time,jd,wd,status
18-20,114.143753,22.554333,1
18-20,114.145218,22.554983,0
18-20,114.116997,22.548250,1
18-21,114.145386,22.609900,0
18-22,114.157234,22.614468,1
18-22,114.116898,22.551567,0
18-22,114.116615,22.548117,1
18-22,114.122253,22.556633,0
18-22,114.122536,22.550734,1
18-23,114.150269,22.608482,0
18-23,114.158920,22.609818,1
19-0,114.068420,22.523701,0
19-0,114.081581,22.539267,1
19-0,114.047882,22.537466,0
19-0,114.088867,22.543150,1
19-1,114.121185,22.613768,0
19-1,114.114037,22.587566,1
19-1,114.120819,22.552134,0
19-1,114.124519,22.552467,1
19-1,114.134537,22.564899,0
19-2,114.131920,22.548817,1
19-2,114.140381,22.554850,0
19-2,114.138115,22.549833,1
19-2,114.118416,22.565582,0
19-2,114.133652,22.549683,1
19-2,114.116699,22.536167,0
19-3,114.119751,22.540968,1
19-3,114.127335,22.547850,0
19-3,114.138969,22.549868,1
19-3,114.115585,22.558350,0
19-3,114.133720,22.549618,1
19-3,114.136047,22.603001,0
19-4,114.141365,22.609266,1
19-4,113.911270,22.519033,0
19-4,113.927116,22.524799,1
19-4,113.962151,22.534834,0
19-8,114.176483,22.561167,1
19-8,114.119469,22.539101,0
19-8,114.119484,22.539167,1
19-8,114.131767,22.579533,0
19-8,114.131798,22.579582,1
19-9,114.122383,22.579250,0
19-9,114.114647,22.581833,1
19-9,114.111832,22.587000,0
19-9,114.111702,22.587099,1
19-9,114.113617,22.533417,0
19-9,114.113617,22.533417,1
19-10,114.122833,22.580099,0
19-10,114.120399,22.579268,1
19-10,114.100304,22.561600,0
19-10,114.096848,22.561567,1
19-10,114.021149,22.539368,0
19-10,114.020050,22.539200,1
19-10,114.007797,22.537617,0
19-10,114.007286,22.538151,1
19-11,114.017433,22.532717,0
19-11,114.020699,22.536383,1
19-11,113.943985,22.544300,0
19-11,113.941483,22.546432,1
19-11,113.937286,22.538099,0
19-11,113.940819,22.539083,1
19-12,113.920334,22.550400,0
19-12,113.918953,22.543432,1
19-12,113.814819,22.649300,0
19-13,113.910698,22.535299,1
19-13,113.917915,22.535351,0
19-14,113.933418,22.542267,1
19-14,113.935417,22.552700,0
19-14,113.940567,22.540350,1
19-14,113.816101,22.646967,0
19-15,113.815567,22.646833,1
19-16,113.923882,22.524033,0
19-16,113.923820,22.524017,1
19-16,113.949333,22.540583,0
19-16,113.951134,22.538950,1
19-16,113.943298,22.506468,0
19-16,113.945396,22.506567,1
19-17,113.931068,22.675617,0
19-17,113.927353,22.680532,1
19-18,113.984985,22.671883,0
19-18,113.987053,22.670683,1
19-18,114.022034,22.640682,0
19-18,114.021652,22.639883,1
19-18,113.986969,22.541616,0
19-18,113.987885,22.541416,1
19-19,114.097382,22.561501,0
19-20,114.165283,22.565800,1
19-20,114.148636,22.544718,0
19-20,114.138466,22.545099,1
19-20,114.273636,22.588551,0
19-20,114.273697,22.588516,1
19-20,114.223068,22.552732,0
19-20,114.221947,22.554050,1
