time,jd,wd,status
18-20,114.121216,22.543150,1
18-20,114.090118,22.561068,0
18-20,114.090134,22.549267,1
18-21,113.845383,22.601101,0
18-21,113.881081,22.577900,1
18-22,113.960197,22.586300,0
18-22,113.951302,22.578882,1
18-22,114.092934,22.581051,0
18-22,114.093002,22.558233,1
18-23,114.115501,22.557516,0
18-23,114.100098,22.547600,1
18-23,114.101219,22.554983,0
18-23,114.103569,22.555250,1
18-23,114.105385,22.541582,0
18-23,114.088203,22.541067,1
18-23,114.081703,22.539583,0
18-23,114.076530,22.536034,1
18-23,114.061119,22.525734,0
19-0,114.071701,22.546583,1
19-0,114.078529,22.548651,0
19-0,114.078499,22.547318,1
19-0,113.862396,22.579849,0
19-1,113.878967,22.579782,1
19-1,113.911530,22.544167,0
19-3,114.088837,22.550182,1
19-3,114.262550,22.592501,0
19-4,114.237198,22.562250,1
19-4,114.050552,22.528099,0
19-4,114.053047,22.529266,1
19-4,114.068436,22.523951,0
19-5,114.084129,22.547550,1
19-5,114.075836,22.536600,0
19-5,114.085670,22.548283,1
19-5,114.091316,22.541700,0
19-6,114.082581,22.543016,1
19-6,113.816299,22.646601,0
19-7,114.054848,22.520967,1
19-7,114.071297,22.544817,0
19-7,114.064346,22.537649,1
19-8,114.033669,22.556334,0
19-8,114.033569,22.556299,1
19-8,114.062599,22.519051,0
19-8,114.058014,22.522966,1
19-8,114.098869,22.566566,0
19-8,114.098969,22.566250,1
19-9,114.036819,22.528950,0
19-9,114.059013,22.520967,1
19-9,114.074402,22.542900,0
19-9,114.078697,22.541468,1
19-9,114.032219,22.546150,0
19-10,114.036880,22.556084,1
19-10,114.075485,22.542500,0
19-10,114.073631,22.539433,1
19-10,114.059731,22.533701,0
19-10,114.067680,22.523916,1
19-11,113.903381,22.562683,0
19-11,113.903236,22.562750,1
19-11,114.048134,22.523666,0
19-11,114.058731,22.518932,1
19-11,114.041100,22.520367,0
19-12,114.052917,22.512867,1
19-12,114.091469,22.541267,0
19-12,114.089546,22.541367,1
19-12,114.119698,22.560850,0
19-12,114.120598,22.561167,1
19-12,114.132881,22.571568,0
19-12,114.136116,22.569933,1
19-12,114.138031,22.560516,0
19-13,114.076614,22.532133,1
19-13,114.062836,22.518984,0
19-13,114.067703,22.523951,1
19-14,114.056580,22.523718,0
19-14,114.058983,22.520018,1
19-14,114.017197,22.528667,0
19-14,114.020851,22.530800,1
19-14,113.903603,22.530233,0
19-14,113.915886,22.533068,1
19-14,113.915016,22.541500,0
19-15,113.916283,22.536150,1
19-15,113.918716,22.546867,0
19-15,113.918533,22.547583,1
19-15,113.918182,22.525583,0
19-15,113.924881,22.531300,1
19-15,114.049416,22.539867,0
19-15,114.049454,22.539249,1
19-16,114.080482,22.557817,0
19-16,114.080437,22.557600,1
19-16,114.113632,22.596483,0
19-16,114.114037,22.596483,1
19-16,114.121986,22.573851,0
19-17,114.038185,22.565767,1
19-17,114.034630,22.523649,0
19-17,114.033836,22.523983,1
19-18,113.897400,22.568850,0
19-18,113.918732,22.543100,1
19-19,113.962181,22.533783,0
19-19,114.064529,22.547533,1
19-19,114.092247,22.551750,0
19-19,114.101486,22.557949,1
19-20,114.051331,22.528433,0
19-20,114.052254,22.528601,1
19-20,114.041946,22.530283,0
19-20,114.053864,22.521700,1
19-20,114.106117,22.541349,0
19-20,114.104134,22.540234,1
19-21,114.116714,22.541300,0
19-21,114.118179,22.541100,1
19-21,114.042130,22.524384,0
19-21,114.062820,22.535999,1
19-21,114.075104,22.538834,0
19-21,114.077583,22.540283,1
19-22,113.889465,22.586067,0
19-22,113.894402,22.564867,1
19-23,114.107933,22.540382,0
19-23,114.107117,22.537001,1
19-23,114.168182,22.561850,0
19-23,114.117729,22.539499,1
19-23,114.037048,22.531082,0
21-0,114.107468,22.544968,1
21-0,114.062798,22.526217,0
21-0,114.062668,22.526251,1
21-0,114.068466,22.523968,0
21-0,114.073982,22.538017,1
21-0,114.074135,22.539000,0
21-0,114.076080,22.540167,1
21-0,114.087181,22.541033,0
21-1,114.056931,22.530149,1
21-1,114.078514,22.534616,0
21-1,114.077133,22.536350,1
21-1,114.128448,22.587982,0
21-2,114.071732,22.543966,1
21-2,113.913620,22.531000,0
21-3,114.086151,22.548668,1
21-3,114.131714,22.565750,0
21-4,114.085732,22.548317,1
21-4,114.084053,22.542732,0
21-4,114.084320,22.548250,1
21-4,114.084236,22.571234,0
21-5,114.086617,22.549049,1
21-6,113.952080,22.689318,0
21-7,114.053467,22.524433,1
21-7,114.072151,22.529766,0
21-7,114.058853,22.520132,1
21-7,114.050697,22.551382,0
21-7,114.045898,22.558399,1
21-8,114.088997,22.549334,0
21-8,114.090584,22.561399,1
21-8,114.080719,22.558001,0
21-8,114.070869,22.551201,1
