time,jd,wd,status
18-22-34,114.118446,22.563917,1
18-22-41,114.114250,22.543917,0
18-22-43,114.113564,22.543167,1
18-22-46,114.124268,22.547733,0
18-22-54,114.112602,22.547150,1
18-23-3,114.079063,22.535667,0
18-23-3,114.079033,22.535334,1
18-23-12,114.083916,22.548416,0
18-23-13,114.083847,22.548767,1
18-23-27,114.124184,22.554350,0
18-23-31,114.124565,22.548983,1
18-23-35,114.122398,22.551983,0
18-23-55,114.125031,22.559467,1
19-0-3,114.093552,22.568367,0
19-0-59,114.058983,22.578382,1
19-1-5,114.055763,22.623367,0
19-1-49,114.132530,22.580233,1
19-2-3,114.120430,22.562384,0
19-2-15,114.120720,22.571217,1
19-2-21,114.137985,22.579933,0
19-6-49,114.123802,22.579283,1
19-6-56,114.116486,22.548767,0
19-6-57,114.117050,22.546583,1
19-7-10,114.039536,22.524166,0
19-7-20,114.040749,22.530550,1
19-7-37,114.137268,22.575916,0
19-7-50,114.135834,22.578150,1
19-8-42,114.077248,22.545300,0
19-8-47,114.076553,22.543432,1
19-9-20,113.816170,22.646982,0
19-10-56,113.816002,22.647734,1
19-11-19,114.020966,22.540733,0
19-11-21,114.018883,22.541067,1
19-11-24,114.009537,22.535566,0
19-11-55,114.033897,22.528601,1
19-12-11,114.112534,22.547268,0
19-12-15,114.107750,22.546682,1
19-12-26,114.114868,22.560499,0
19-12-27,114.115067,22.560633,1
19-12-35,114.114998,22.541100,0
19-12-40,114.114769,22.543118,1
19-12-45,114.128571,22.549299,0
19-12-53,114.117836,22.547899,1
19-13-33,113.814468,22.649750,0
19-14-6,113.905602,22.553734,1
19-14-24,113.946434,22.572767,0
19-14-25,113.946449,22.572767,1
19-14-26,113.946533,22.572218,0
19-14-47,114.006653,22.549133,1
19-15-4,114.087830,22.543983,0
19-15-5,114.087967,22.544733,1
19-15-24,114.125687,22.552467,0
19-15-24,114.125664,22.552050,1
19-15-27,114.123863,22.545218,0
19-15-32,114.121803,22.546984,1
19-15-34,114.119980,22.545483,0
19-15-35,114.119904,22.546017,1
19-15-42,114.131737,22.550449,0
19-15-46,114.125916,22.550484,1
19-15-52,114.104050,22.563683,0
19-15-52,114.104103,22.563801,1
19-16-9,114.117630,22.543983,0
19-16-10,114.117165,22.545433,1
19-16-15,114.126999,22.549868,0
19-16-23,114.132217,22.562317,1
19-16-26,114.138229,22.569283,0
19-16-28,114.137886,22.569918,1
19-16-38,114.164032,22.605383,0
19-16-53,114.139565,22.576967,1
19-17-6,114.112167,22.538668,0
19-17-10,114.110130,22.543716,1
19-17-25,114.060783,22.526150,0
19-17-28,114.064903,22.531433,1
19-17-46,114.114769,22.543217,0
19-17-47,114.116501,22.541367,1
19-18-10,114.225418,22.553217,0
19-18-36,114.163963,22.566517,1
19-19-0,114.128731,22.576982,0
19-19-4,114.135902,22.575899,1
19-19-11,114.128036,22.586332,0
19-19-12,114.128036,22.586367,1
19-19-28,114.093536,22.573467,0
19-19-33,114.095383,22.566299,1
19-19-45,114.081650,22.544350,0
19-19-45,114.081764,22.544416,1
20-1-46,114.113930,22.537767,0
20-2-17,114.113701,22.537683,1
20-2-20,114.127068,22.543850,0
20-2-21,114.126053,22.544018,1
20-2-30,114.119301,22.579283,0
20-6-38,114.137985,22.580500,1
20-6-49,114.102600,22.538700,0
20-7-7,114.104263,22.543234,1
20-7-37,113.814980,22.649166,0
20-8-11,113.886749,22.572666,1
20-8-38,113.936264,22.547167,0
20-8-48,113.967369,22.540333,1
20-9-2,114.014885,22.555250,0
20-9-10,114.041451,22.556383,1
20-9-20,114.078568,22.543016,0
20-9-27,114.084167,22.540583,1
20-9-37,114.068451,22.523800,0
20-9-47,114.067734,22.523983,1
20-9-59,114.114151,22.531334,0
20-10-5,114.113914,22.538151,1
20-10-19,114.058380,22.538433,0
20-10-24,114.057899,22.536682,1
20-10-30,114.064636,22.547518,0
20-10-32,114.067780,22.546083,1
20-10-40,114.036865,22.547649,0
20-10-43,114.041519,22.544350,1
20-10-46,114.048485,22.541149,0
20-10-52,114.047852,22.540968,1
20-10-57,114.035133,22.529150,0
20-11-13,114.040421,22.531500,1
20-11-16,114.043930,22.534300,0
20-12-39,114.059769,22.525284,1
20-12-43,114.050117,22.535351,0
20-12-46,114.049850,22.535316,1
20-13-3,114.104736,22.558050,0
20-13-9,114.113731,22.551750,1
20-13-16,114.114403,22.578484,0
20-13-19,114.117981,22.565916,1
20-13-30,114.114265,22.539034,0
20-13-32,114.113884,22.542351,1
