time,jd,wd,status
18-0,113.933281,22.565184,1
18-20,114.071671,22.543818,0
18-20,114.071602,22.543882,1
18-20,113.972099,22.542883,0
18-20,113.976082,22.540800,1
18-21,113.928467,22.522900,0
18-21,113.937050,22.535233,1
18-21,113.914299,22.524483,0
18-21,113.914352,22.523849,1
18-21,113.908699,22.516684,0
18-21,113.912933,22.520666,1
18-22,114.105133,22.540934,0
18-22,114.104919,22.540583,1
18-22,114.081184,22.547083,0
18-22,114.081085,22.547199,1
18-22,114.107735,22.569817,0
18-22,114.099136,22.561716,1
18-22,114.119682,22.540768,0
18-22,114.114235,22.534283,1
18-22,114.119881,22.541067,0
18-23,114.113800,22.533882,1
18-23,114.120285,22.544582,0
18-23,114.120415,22.544718,1
18-23,114.100914,22.547449,0
18-23,114.101448,22.548000,1
18-23,114.105980,22.553267,0
18-23,114.114220,22.534149,1
19-0,114.056870,22.626633,0
19-0,114.066483,22.625168,1
19-0,114.050468,22.550234,0
19-0,114.050667,22.550234,1
19-0,114.032600,22.606434,0
19-1,114.087265,22.560867,1
19-1,114.038986,22.613216,0
19-1,114.087349,22.560917,1
19-1,114.045166,22.605232,0
19-2,114.087769,22.563101,1
19-2,114.114815,22.590082,0
19-2,114.087967,22.563049,1
19-2,114.096817,22.559900,0
19-2,114.087280,22.560850,1
19-2,114.095650,22.560232,0
19-3,114.087303,22.560900,1
19-3,113.932198,22.521683,0
19-4,113.951347,22.538267,1
19-4,113.937080,22.535650,0
19-5,114.087181,22.570917,1
19-6,114.108803,22.541582,0
19-6,114.108330,22.541983,1
19-6,114.108170,22.541733,0
19-7,114.062485,22.619333,1
19-7,114.062485,22.619333,0
19-7,114.062500,22.619400,1
19-7,114.062500,22.619467,0
19-7,114.063133,22.619350,1
19-8,114.091049,22.544500,0
19-8,114.090599,22.543449,1
19-8,114.089516,22.564650,0
19-8,114.087868,22.565817,1
19-9,114.062370,22.517584,0
19-9,114.063049,22.517817,1
19-9,114.054848,22.537666,0
19-9,114.049583,22.538616,1
19-9,114.048370,22.541782,0
19-9,114.049065,22.540951,1
19-9,114.035866,22.529284,0
19-9,114.039230,22.517082,1
19-10,114.078918,22.542400,0
19-10,114.079132,22.541468,1
19-10,113.971886,22.539167,0
19-10,113.972321,22.550432,1
19-10,113.929680,22.581551,0
19-11,113.947266,22.576599,1
19-11,113.961853,22.589567,0
19-11,113.961136,22.589750,1
19-11,113.975517,22.563250,0
19-11,113.975403,22.563017,1
19-12,113.917183,22.509251,0
19-12,113.918968,22.515150,1
19-12,113.923569,22.521816,0
19-12,113.924965,22.529200,1
19-12,113.930901,22.519117,0
19-12,113.913048,22.522182,1
19-13,113.918800,22.535316,0
19-14,113.923615,22.545851,1
19-14,113.890984,22.502666,0
19-14,113.910233,22.490667,1
19-15,113.943871,22.532700,0
19-15,113.950249,22.537867,1
19-15,113.961685,22.559883,0
19-15,113.960747,22.558649,1
19-15,113.913933,22.535549,0
19-15,113.919197,22.541599,1
19-15,113.915833,22.533100,0
19-15,113.915817,22.532333,1
19-16,113.904587,22.517418,0
19-16,113.914703,22.538267,1
19-16,113.920120,22.667101,0
19-16,113.914970,22.653049,1
19-17,114.023567,22.531467,0
19-17,114.025169,22.528233,1
19-17,114.051834,22.511084,0
19-17,114.047333,22.510767,1
19-18,114.047318,22.604082,0
19-18,114.044548,22.600834,1
19-19,114.118553,22.612284,0
19-19,114.111549,22.607599,1
19-19,114.113815,22.534616,0
19-19,114.113449,22.533800,1
19-19,114.133904,22.548634,0
19-19,114.114082,22.534250,1
19-19,114.125214,22.565983,0
19-19,114.125237,22.565933,1
19-20,114.125214,22.565849,0
19-20,114.125168,22.565968,1
19-20,114.123947,22.577868,0
19-21,114.107933,22.569201,1
19-21,114.234634,22.715401,0
19-21,114.233948,22.715883,1
19-21,114.224266,22.703182,0
19-22,114.137535,22.621733,1
19-22,114.133400,22.617184,0
19-23,114.089386,22.564432,1
19-23,114.030563,22.522367,0
19-23,114.095985,22.559900,1
20-0,114.052834,22.569817,0
20-0,114.094551,22.564432,1
20-0,114.105980,22.539101,0
20-1,114.093498,22.570183,1
20-1,114.164230,22.566851,0
20-2,114.087685,22.561132,1
20-2,114.134880,22.565617,0
20-2,114.087883,22.563101,1
20-2,114.108047,22.564034,0
20-3,114.087349,22.561016,1
20-3,114.127968,22.551500,0
20-3,114.127747,22.552183,1
20-3,114.109100,22.697451,0
20-3,114.109230,22.697350,1
20-4,114.209167,22.721867,0
20-5,114.089104,22.570868,1
20-5,114.083885,22.571533,0
20-6,114.083618,22.571699,1
20-6,114.028503,22.633432,0
20-7,114.062851,22.614767,1
20-7,113.978035,22.540434,0
20-7,113.978821,22.539618,1
20-8,114.045349,22.540951,0
20-8,114.035431,22.548384,1
20-8,114.050430,22.537451,0
20-8,114.053917,22.530582,1
20-8,114.113770,22.531950,0
20-8,114.111717,22.540016,1
20-9,113.886864,22.566317,0
20-9,113.894386,22.559483,1
20-9,113.906380,22.552799,0
20-9,113.909752,22.543350,1
20-9,113.917030,22.535482,0
20-9,113.918518,22.535450,1
20-10,113.932381,22.542334,0
20-10,113.944901,22.540518,1
20-10,113.932251,22.521282,0
20-10,113.930450,22.517166,1
20-11,113.814865,22.649282,0
20-12,113.897697,22.562000,1
20-12,113.899879,22.520000,0
20-12,113.904404,22.531567,1
20-13,114.138199,22.609768,0
20-13,114.135483,22.612818,1
20-13,114.121750,22.567833,0
20-13,114.120300,22.561016,1
20-14,114.137047,22.614166,0
20-14,114.126030,22.610483,1
20-14,114.044952,22.558050,0
20-14,114.042068,22.560133,1
20-14,114.054100,22.576366,0
20-14,114.054016,22.578684,1
20-15,114.093987,22.567917,0
20-15,114.085251,22.570118,1
20-15,114.051598,22.572451,0
20-15,114.038071,22.569000,1
20-15,114.042885,22.520451,0
20-15,114.043503,22.520184,1
20-16,114.110451,22.535868,0
20-16,114.111832,22.531317,1
20-16,114.119530,22.561001,0
20-16,114.123520,22.564068,1
20-16,114.116631,22.550467,0
20-16,114.116402,22.549250,1
20-16,114.112953,22.536034,0
20-16,114.113319,22.536333,1
20-17,113.816254,22.646767,0
20-18,113.815170,22.648649,1
20-18,114.065247,22.537983,0
20-18,114.064934,22.537849,1
20-19,114.063721,22.577566,0
20-19,114.081482,22.549566,1
20-20,114.112602,22.545799,0
20-20,114.105865,22.546034,1
20-21,114.060837,22.575666,0
20-21,114.082016,22.549183,1
20-21,114.143799,22.555317,0
20-21,114.105751,22.546150,1
20-21,114.086685,22.540567,0
20-22,114.086601,22.540667,1
20-22,114.114281,22.531799,0
20-22,114.112816,22.538782,1
20-22,113.980003,22.534750,0
20-22,113.979752,22.536066,1
20-22,114.087814,22.550051,0
20-22,114.086601,22.549299,1
20-23,114.086601,22.540051,0
20-23,114.087265,22.541018,1
20-23,114.092697,22.570250,0
20-23,114.094536,22.562149,1
20-23,114.067451,22.524651,0
20-23,114.074219,22.542883,1
20-23,114.060768,22.549500,0
22-0,114.031731,22.543917,1
22-0,114.027199,22.558468,0
22-0,114.029716,22.545082,1
22-0,114.042030,22.544483,0
22-0,114.039749,22.544884,1
22-0,114.116600,22.580917,0
22-1,114.086037,22.563017,1
22-1,114.130630,22.606882,0
22-2,114.087715,22.563084,1
22-2,114.111633,22.585300,0
22-2,114.087715,22.563084,1
22-3,114.085770,22.731350,0
22-4,114.092453,22.570168,1
22-5,114.054253,22.623600,0
22-5,114.062332,22.619417,1
22-5,114.044899,22.597099,0
22-6,114.046150,22.597883,1
22-6,114.025681,22.639450,0
22-7,114.063248,22.614849,1
22-7,114.087868,22.548918,0
22-7,114.084351,22.555183,1
22-7,114.084297,22.543833,0
22-8,114.064400,22.547533,1
22-8,114.050980,22.551100,0
22-8,114.041153,22.553850,1
22-8,114.046829,22.537233,0
22-8,114.045433,22.525667,1
22-9,114.114967,22.553818,0
22-9,114.116898,22.551733,1
22-9,114.050415,22.528799,0
22-9,114.048950,22.525818,1
22-9,114.040932,22.554033,0
22-9,114.040649,22.554300,1
22-10,114.121948,22.573900,0
22-10,114.124832,22.572651,1
22-10,114.129883,22.558018,0
22-10,114.128151,22.560850,1
22-10,114.050415,22.545450,0
22-10,114.054619,22.545483,1
22-10,114.056236,22.537451,0
22-10,114.058502,22.536917,1
22-10,114.058151,22.515551,0
22-11,114.057350,22.514618,1
22-11,114.113747,22.534384,0
22-11,114.114220,22.534100,1
22-12,114.126503,22.595118,0
22-12,114.118820,22.590517,1
22-12,114.104103,22.556067,0
22-12,114.092346,22.551701,1
22-12,114.119003,22.579451,0
