time,jd,wd,status
23-0,114.064384,22.538767,1
23-0,114.072479,22.531418,0
23-0,114.067398,22.522449,1
23-0,114.062820,22.529249,0
23-1,114.067749,22.524000,1
23-1,114.137886,22.620733,0
23-1,114.158897,22.610018,1
23-1,114.167953,22.606268,0
23-1,114.159019,22.610617,1
23-1,114.113632,22.596684,0
23-2,114.112617,22.604567,1
23-2,114.106415,22.590418,0
23-3,114.107697,22.569532,1
23-3,114.107719,22.548267,0
23-3,114.107834,22.547632,1
23-3,114.111786,22.539818,0
23-3,114.121468,22.543266,1
23-3,114.125549,22.552799,0
23-4,114.129570,22.550716,1
23-4,114.139832,22.549850,0
23-4,114.129379,22.550900,1
23-4,114.120834,22.543501,0
23-4,114.121231,22.543068,1
23-4,114.121063,22.539450,0
23-4,114.121033,22.539333,1
23-5,114.067253,22.519266,0
23-5,114.059486,22.529350,1
23-5,114.112869,22.535801,0
23-6,114.113716,22.534000,1
23-6,114.052399,22.652849,0
23-6,114.052666,22.652718,1
23-6,114.052864,22.652134,0
23-7,114.058037,22.527517,1
23-8,114.062531,22.519117,0
23-8,114.057884,22.527567,1
23-8,114.068382,22.523684,0
23-8,114.064735,22.533150,1
23-9,114.147148,22.606882,0
23-10,114.113731,22.540649,1
23-10,114.121063,22.543568,0
23-10,114.112099,22.538183,1
23-10,114.064346,22.537483,0
23-11,114.051514,22.528933,1
23-11,114.075035,22.530800,0
23-11,114.074120,22.530533,1
23-11,114.117821,22.547117,0
23-11,114.118782,22.546682,1
23-11,114.116669,22.548067,0
23-11,114.119431,22.546749,1
23-11,114.113998,22.531601,0
