time,jd,wd,status
18-0,113.905083,22.553818,1
18-0,113.914085,22.534050,0
18-1,113.917564,22.522133,1
18-1,113.909821,22.518351,0
18-3,113.917686,22.530817,1
18-3,113.912064,22.519449,0
18-6,113.918282,22.524982,1
18-6,113.913216,22.520683,0
18-6,113.916100,22.520050,1
18-7,113.816170,22.647034,0
18-7,113.883781,22.563999,1
18-8,114.011833,22.539249,0
18-9,114.023682,22.525267,1
18-9,114.033051,22.561632,0
18-9,114.033279,22.561550,1
18-9,114.054115,22.535351,0
18-10,114.024765,22.539883,1
18-10,114.114151,22.531334,0
18-11,114.120033,22.541500,1
18-11,114.124100,22.558649,0
18-11,114.112419,22.565701,1
18-11,114.058784,22.522516,0
18-12,114.050285,22.516768,1
18-12,114.048370,22.511932,0
18-12,114.042381,22.514500,1
18-12,114.059303,22.527300,0
18-13,114.042236,22.530933,1
18-13,114.024818,22.536917,0
18-13,114.020302,22.536217,1
18-14,113.941864,22.546232,0
18-14,113.950035,22.554283,1
18-14,113.996216,22.531700,0
18-14,113.995781,22.530350,1
18-14,114.020317,22.526850,0
18-14,114.023865,22.531384,1
18-15,114.078751,22.543217,0
18-15,114.077454,22.540100,1
18-15,114.003632,22.537367,0
18-15,114.003036,22.536934,1
18-15,114.104736,22.542133,0
18-15,114.112900,22.545868,1
18-16,114.115616,22.557199,0
18-16,114.109619,22.545267,1
18-16,114.076385,22.532066,0
18-16,114.075783,22.541767,1
18-17,113.853203,22.658833,0
18-18,114.039330,22.514517,1
18-20,114.019836,22.526817,0
18-20,114.018036,22.527750,1
18-20,114.076218,22.549282,0
18-20,114.081200,22.549183,1
18-20,114.050583,22.525784,0
18-20,114.049866,22.535433,1
18-20,114.049965,22.512484,0
18-21,114.062897,22.517799,1
18-21,114.084335,22.538267,0
18-21,114.084198,22.537933,1
18-21,114.095818,22.564850,0
18-21,114.096214,22.564600,1
18-21,114.133232,22.579634,0
18-21,114.118019,22.566000,1
18-22,114.097015,22.556566,0
18-22,114.095299,22.555117,1
18-22,114.081886,22.543234,0
18-22,114.080437,22.542168,1
18-22,114.071953,22.530283,0
18-22,114.071449,22.526917,1
18-22,114.132103,22.545401,0
18-22,114.136681,22.550867,1
18-22,114.114037,22.534250,0
18-22,114.113998,22.534018,1
18-22,114.107681,22.568518,0
18-22,114.107620,22.568167,1
18-23,114.064781,22.551434,0
20-0,114.041733,22.524500,1
20-0,114.067268,22.519266,0
20-0,114.020668,22.531767,1
20-0,114.063248,22.526083,0
20-0,114.063049,22.526217,1
20-1,114.132668,22.568100,0
20-1,114.134651,22.565283,1
20-1,114.068420,22.523783,0
20-2,114.013283,22.555317,1
20-2,114.043449,22.557966,0
20-2,113.989067,22.541483,1
20-2,113.917336,22.530933,0
20-6,113.918098,22.523849,1
20-6,113.963531,22.541800,0
20-9,114.004951,22.550383,1
20-9,114.019417,22.527533,0
20-9,114.021149,22.526699,1
20-9,114.062630,22.519117,0
20-9,114.057220,22.516632,1
20-10,114.008270,22.537251,0
20-10,113.995483,22.530283,1
20-10,113.919449,22.532049,0
20-10,113.915871,22.532766,1
20-10,113.946983,22.541733,0
20-11,113.924629,22.544617,1
20-11,113.924332,22.530451,0
20-11,113.924065,22.535418,1
20-11,113.939003,22.542549,0
20-11,113.938583,22.543083,1
20-11,113.883102,22.581516,0
20-12,113.904716,22.538633,1
20-12,113.816170,22.646900,0
20-13,113.814796,22.649384,1
20-14,114.198997,22.647551,0
20-15,114.201447,22.649616,1
20-15,114.122520,22.550501,0
20-15,114.112686,22.546183,1
20-16,114.045067,22.523251,0
20-17,114.045082,22.528334,1
20-17,114.050919,22.550417,0
20-17,114.050919,22.550301,1
20-16,114.062569,22.519068,0
20-16,114.061264,22.519333,1
