time,jd,wd,status
18-20-7,114.077782,22.543182,1
18-20-9,114.069771,22.547983,0
18-20-13,114.079399,22.545418,1
18-20-42,114.121086,22.595667,0
18-20-45,114.120232,22.596550,1
18-20-48,114.125633,22.589033,0
18-20-51,114.130585,22.580099,1
18-21-10,114.028450,22.522551,0
18-21-13,114.029549,22.521868,1
18-21-19,114.048599,22.521233,0
18-21-21,114.048584,22.521601,1
18-21-27,114.068398,22.523666,0
18-21-30,114.071198,22.538584,1
18-21-38,114.055946,22.513033,0
18-21-40,114.054703,22.513651,1
18-21-51,114.050652,22.550249,0
18-21-55,114.054985,22.549450,1
18-22-1,114.051331,22.528784,0
18-22-2,114.051468,22.527533,1
18-22-9,114.058968,22.562483,0
18-22-16,114.059235,22.562433,1
18-22-23,114.094704,22.558384,0
18-22-33,114.081482,22.549267,1
18-22-38,114.087532,22.541100,0
18-22-39,114.087532,22.541201,1
18-22-45,114.116447,22.549549,0
18-22-46,114.117035,22.550966,1
18-22-49,114.114853,22.563168,0
18-23-1,114.094467,22.559784,1
18-23-9,114.054070,22.567682,0
18-23-23,114.037399,22.555782,1
18-23-31,114.096481,22.572950,0
18-23-39,114.083603,22.571650,1
18-23-48,114.055748,22.614401,0
19-0-3,114.038734,22.613934,1
19-0-7,114.050079,22.604418,0
19-1-11,114.047867,22.538250,1
19-1-50,114.039780,22.549032,0
19-2-6,114.047836,22.538099,1
19-2-20,114.066620,22.540751,0
19-3-22,114.124100,22.548866,1
19-3-23,114.122498,22.550367,0
19-3-33,114.118263,22.541817,1
19-3-37,114.122353,22.551268,0
19-3-39,114.122437,22.550650,1
19-3-42,114.126869,22.549801,0
19-3-48,114.124153,22.545601,1
19-3-51,114.130630,22.545317,0
19-4-10,114.118401,22.539650,1
19-4-13,114.089531,22.539600,0
19-4-41,114.118301,22.540716,1
19-4-52,114.045067,22.521749,0
19-5-17,114.073097,22.535883,1
19-5-30,114.047218,22.625401,0
19-5-53,114.039566,22.612949,1
19-6-8,114.111115,22.535351,0
19-7-36,114.103714,22.540518,1
19-7-43,114.114120,22.531282,0
19-7-46,114.112885,22.535933,1
19-8-2,114.067764,22.546284,0
19-8-6,114.071182,22.548149,1
19-8-20,114.052620,22.511351,0
19-8-22,114.052132,22.511250,1
19-8-31,114.056419,22.523718,0
