time,jd,wd,status
18-0-10,114.120415,22.541834,1
18-0-39,114.100533,22.546833,0
18-1-24,114.105568,22.541117,1
18-1-42,114.118553,22.565567,0
18-1-45,114.130920,22.572018,1
18-1-51,114.121086,22.539534,0
18-2-29,114.119400,22.539700,1
18-2-34,114.115730,22.542833,0
18-2-50,114.124016,22.545050,1
18-2-55,114.135963,22.552151,0
18-5-40,114.150734,22.616800,1
18-5-45,114.169983,22.607450,0
18-5-56,114.145416,22.609667,1
18-6-13,114.114151,22.534483,0
18-6-23,114.113853,22.533484,1
18-6-36,114.037720,22.546432,0
18-6-49,114.041420,22.556351,1
18-7-23,113.815948,22.647367,0
18-7-58,113.898903,22.561367,1
18-8-37,114.068466,22.523849,0
18-8-40,114.067703,22.524000,1
18-9-18,113.826134,22.692284,0
18-9-35,113.823013,22.674566,1
18-10-1,113.919830,22.534166,0
18-10-9,113.908051,22.514950,1
18-10-47,114.113853,22.534634,0
18-10-49,114.113770,22.533518,1
18-11-23,113.944016,22.577833,0
18-11-47,113.965599,22.582718,1
18-12-3,113.961670,22.541883,0
18-12-8,113.961815,22.533951,1
18-12-37,113.814697,22.649651,0
18-13-27,113.815666,22.649183,1
18-14-1,114.105766,22.546167,0
18-14-2,114.105782,22.546118,1
18-14-13,114.112968,22.535633,0
18-14-18,114.113533,22.533983,1
18-14-26,114.127647,22.545433,0
18-14-26,114.126953,22.545282,1
18-15-4,114.024902,22.527000,0
18-15-4,114.024864,22.527000,1
18-15-39,114.158615,22.611267,0
18-16-3,114.112350,22.601433,1
18-16-16,114.124298,22.616100,0
18-16-37,114.160919,22.604517,1
18-16-43,114.185982,22.595766,0
18-17-21,114.136452,22.569782,1
18-17-29,114.131264,22.554483,0
18-17-34,114.125832,22.548384,1
18-17-44,114.117729,22.540167,0
18-17-51,114.117371,22.543318,1
18-18-5,114.116814,22.580116,0
18-18-7,114.117249,22.580383,1
18-18-14,114.121780,22.571568,0
18-18-15,114.121864,22.571899,1
18-18-31,114.161232,22.569283,0
18-18-45,114.162430,22.564318,1
18-18-59,114.132065,22.579666,0
18-19-9,114.119247,22.590767,1
18-19-11,114.117203,22.588066,0
18-19-16,114.125633,22.589067,1
18-20-2,114.081802,22.540483,0
18-20-8,114.089630,22.543417,1
18-20-15,114.070030,22.547934,0
18-20-17,114.069679,22.547983,1
18-20-26,114.029800,22.545700,0
18-20-38,114.070335,22.548018,1
18-21-2,114.116768,22.600782,0
18-21-4,114.118263,22.599199,1
18-21-8,114.126503,22.597668,0
18-21-11,114.119514,22.596382,1
18-21-19,114.115120,22.579250,0
18-21-22,114.118446,22.560717,1
18-21-34,114.116020,22.539499,0
18-21-42,114.115135,22.545900,1
18-21-49,114.123436,22.554167,0
18-22-14,114.113564,22.533550,1
18-22-23,114.138069,22.580133,0
18-22-43,114.124519,22.563683,1
18-22-56,114.159882,22.611032,0
19-0-8,114.158051,22.612482,1
19-0-11,114.149803,22.616117,0
19-1-10,114.158546,22.611317,1
19-1-17,114.183731,22.639601,0
19-4-59,114.131317,22.579582,1
19-5-9,114.162102,22.566668,0
19-6-42,114.130363,22.603701,1
19-6-59,114.123619,22.569750,0
19-7-6,114.126366,22.573683,1
19-7-10,114.124466,22.562634,0
19-7-11,114.124619,22.562300,1
19-7-45,114.019600,22.651266,0
19-7-55,114.021416,22.639450,1
19-8-27,113.816299,22.646749,0
19-9-7,113.896149,22.563150,1
19-9-28,113.920868,22.517483,0
19-9-31,113.917534,22.516684,1
19-9-41,113.918381,22.535433,0
19-9-42,113.918503,22.535400,1
19-10-9,114.091270,22.545349,0
19-10-13,114.091034,22.548717,1
19-10-27,114.111351,22.542217,0
19-10-29,114.110153,22.543716,1
19-10-42,114.111198,22.542833,0
19-11-19,114.107536,22.550533,1
19-11-26,114.124718,22.553867,0
19-11-27,114.124664,22.554199,1
19-11-33,114.124031,22.545000,0
19-11-38,114.124168,22.547132,1
19-11-48,114.126968,22.543818,0
19-11-48,114.126534,22.544184,1
19-12-3,114.114418,22.534550,0
19-12-6,114.114334,22.534233,1
19-12-13,114.105080,22.541416,0
19-12-15,114.104698,22.544382,1
19-12-20,114.112968,22.536066,0
19-12-21,114.111870,22.535282,1
19-12-32,114.083069,22.543167,0
19-12-43,114.091133,22.539818,1
19-12-51,114.058929,22.520500,0
19-12-59,114.063080,22.533716,1
19-13-8,114.090034,22.556232,0
19-13-29,114.106003,22.552433,1
19-13-39,114.115417,22.544968,0
19-13-43,114.117615,22.544083,1
19-13-50,114.103996,22.560534,0
19-13-52,114.104149,22.561268,1
19-13-58,114.116516,22.550083,0
19-13-58,114.116516,22.550167,1
19-14-5,114.119415,22.538267,0
19-14-10,114.118248,22.543783,1
19-14-24,114.107719,22.568884,0
19-14-25,114.107597,22.568251,1
19-14-54,113.987648,22.539932,0
19-15-11,114.020966,22.531799,1
19-15-20,114.049500,22.535267,0
19-15-21,114.049469,22.535316,1
19-15-34,114.109863,22.544733,0
19-15-37,114.108582,22.544800,1
19-15-46,114.125237,22.566900,0
19-15-54,114.124733,22.562433,1
19-16-8,114.089066,22.551800,0
19-16-9,114.088020,22.551849,1
19-16-21,114.092102,22.541451,0
19-16-23,114.095268,22.543301,1
19-16-43,114.114868,22.581066,0
19-17-26,114.136467,22.569733,1
19-18-3,114.049850,22.535383,0
19-18-4,114.049835,22.535316,1
19-18-22,114.035416,22.555517,0
19-18-24,114.033836,22.556217,1
19-18-37,114.022133,22.536400,0
19-18-39,114.022232,22.535999,1
19-18-48,114.041199,22.524633,0
19-18-52,114.038467,22.527000,1
19-19-4,114.073730,22.537350,0
19-19-8,114.076614,22.535433,1
19-20-29,114.121651,22.541082,0
19-19-30,114.121269,22.539618,1
19-19-36,114.104965,22.541718,0
19-19-37,114.104797,22.542950,1
19-19-42,114.115685,22.543850,0
19-19-43,114.115234,22.545300,1
19-20-2,114.132950,22.586218,0
19-20-14,114.122269,22.570633,1
19-20-22,114.128418,22.550568,0
19-20-25,114.126816,22.549917,1
19-20-33,114.124603,22.549084,0
19-20-45,114.125603,22.552834,1
19-20-52,114.117569,22.545218,0
19-20-53,114.117599,22.545700,1
19-21-3,114.137535,22.568451,0
19-21-7,114.137749,22.568968,1
19-21-16,114.161232,22.568451,0
19-21-19,114.161247,22.568951,1
19-21-29,114.112167,22.542316,0
19-21-35,114.099586,22.544718,1
19-21-36,114.099548,22.549932,0
19-21-37,114.099464,22.550350,1
19-21-56,114.113785,22.537367,0
19-22-5,114.113670,22.533150,1
