time,jd,wd,status
19-7,114.131386,22.550550,1
19-7,114.113998,22.531733,0
19-7,114.115181,22.546249,1
19-7,114.115646,22.560833,0
19-7,114.117897,22.560301,1
19-8,114.077797,22.558384,0
19-8,114.102364,22.552500,1
19-8,114.071915,22.543350,0
19-8,114.088799,22.543182,1
19-8,114.124496,22.547882,0
19-8,114.124466,22.547716,1
19-9,113.816284,22.646749,0
19-11,113.817802,22.647650,1
19-11,114.077766,22.549101,0
19-12,114.078285,22.542999,1
19-12,114.112732,22.552233,0
19-12,114.113220,22.549816,1
19-12,114.063934,22.531982,0
19-12,114.062569,22.537567,1
19-12,114.047882,22.539167,0
19-12,114.047714,22.540733,1
19-12,114.080666,22.545317,0
19-12,114.081520,22.545017,1
19-13,114.114235,22.534416,0
19-13,114.113533,22.533934,1
19-13,114.116898,22.548000,0
19-13,114.117249,22.543383,1
19-14,114.050636,22.547367,0
19-14,114.053986,22.549282,1
19-14,114.026550,22.537149,0
19-14,114.019180,22.537550,1
19-15,114.104179,22.556116,0
19-15,114.105316,22.558567,1
19-15,114.113899,22.534582,0
19-15,114.113480,22.534149,1
19-15,114.098198,22.543600,0
19-15,114.097549,22.543568,1
19-15,114.113701,22.543383,0
19-15,114.113518,22.534401,1
19-15,114.116165,22.552500,0
19-16,114.115646,22.553183,1
19-16,114.099335,22.551434,0
19-16,114.103996,22.553118,1
19-16,114.112251,22.548616,0
19-16,114.112053,22.548384,1
19-16,114.087486,22.555901,0
19-16,114.086418,22.557650,1
19-16,114.124870,22.572517,0
19-16,114.122932,22.571833,1
19-17,114.112419,22.585917,0
19-17,114.118179,22.546383,1
19-17,114.123802,22.552650,0
19-17,114.123749,22.552668,1
19-17,114.113998,22.531782,0
19-17,114.113914,22.539267,1
19-18,114.065636,22.543083,0
19-18,114.063454,22.547518,1
19-18,114.066650,22.527033,0
19-19,114.118965,22.546818,1
19-19,114.137604,22.552134,0
19-19,114.131500,22.550501,1
19-19,114.134201,22.566151,0
19-19,114.131950,22.572018,1
19-19,114.121750,22.565033,0
19-19,114.124680,22.562468,1
19-19,114.134636,22.558884,0
19-19,114.127052,22.549801,1
19-20,114.053619,22.516417,0
19-20,114.064201,22.537567,1
19-21,113.816254,22.646851,0
19-21,113.844032,22.599216,1
19-22,113.934235,22.521500,0
19-22,113.933250,22.520651,1
19-22,113.931602,22.513050,0
19-22,113.927597,22.514050,1
19-22,114.035164,22.522200,0
19-22,114.040398,22.530684,1
19-22,114.035713,22.518551,0
19-23,114.049416,22.537483,1
19-23,114.045570,22.525633,0
19-23,114.044167,22.525133,1
19-23,113.978584,22.559799,0
19-23,114.048935,22.537382,1
20-0,114.049232,22.537382,0
20-0,114.049065,22.537382,1
20-0,113.915565,22.487017,0
20-0,113.928101,22.485733,1
20-1,113.927765,22.491650,0
20-1,113.927750,22.515617,1
20-1,113.918533,22.526266,0
20-1,113.929466,22.523167,1
20-1,113.918251,22.524883,0
20-2,114.096283,22.559917,1
20-3,114.081619,22.550417,0
20-3,114.102081,22.553734,1
20-3,114.112236,22.606449,0
20-3,114.115334,22.579018,1
20-4,114.117630,22.551149,0
20-5,114.116898,22.548267,1
20-6,113.816101,22.647083,0
20-7,114.135483,22.575750,1
20-7,114.124100,22.558617,0
20-7,114.123764,22.552334,1
20-7,114.068314,22.523582,0
20-7,114.098267,22.543400,1
20-7,114.109619,22.541849,0
20-8,114.113464,22.534082,1
20-8,114.146217,22.556000,0
20-8,114.146080,22.556267,1
20-8,114.114868,22.534782,0
20-8,114.113815,22.534134,1
20-9,114.121719,22.567516,0
20-9,114.121620,22.569151,1
20-9,114.139664,22.576717,0
20-9,114.139420,22.576567,1
20-9,114.102051,22.541183,0
20-9,114.101868,22.541183,1
20-9,114.099434,22.556499,0
20-9,114.104080,22.555750,1
20-9,114.081352,22.559000,0
20-9,114.081200,22.558733,1
20-10,114.085999,22.566999,0
20-10,114.098198,22.559950,1
20-10,114.100403,22.547617,0
20-10,114.100349,22.547600,1
20-11,113.814865,22.649282,0
20-12,113.815147,22.647150,1
20-13,114.072121,22.530550,0
20-13,114.102570,22.540567,1
20-13,114.099319,22.541201,0
20-13,114.094315,22.543301,1
20-13,114.122314,22.548166,0
20-13,114.122971,22.548218,1
20-14,114.117165,22.538750,0
20-14,114.115402,22.545418,1
20-14,114.127014,22.549833,0
20-14,114.124199,22.547583,1
20-14,114.113632,22.542183,0
20-14,114.113586,22.544167,1
20-14,114.062080,22.547649,0
20-14,114.053452,22.547466,1
20-15,113.986702,22.596767,0
20-15,113.986664,22.596067,1
20-16,113.968170,22.540068,0
20-16,113.970863,22.539049,1
20-16,113.971001,22.539034,0
20-16,113.970901,22.539049,1
20-17,113.910103,22.539583,0
20-17,113.912682,22.544083,1
20-17,113.926430,22.524250,0
20-17,113.932251,22.524117,1
20-17,114.039818,22.554068,0
20-17,114.044167,22.546984,1
20-17,114.051331,22.528683,0
20-17,114.051132,22.528633,1
20-18,114.104118,22.542933,0
20-18,114.118614,22.546801,1
20-18,114.143784,22.555166,0
20-18,114.140182,22.557467,1
20-18,114.138016,22.555767,0
20-19,114.129631,22.545017,1
20-19,114.114250,22.534201,0
20-19,114.114250,22.534201,1
20-19,114.098701,22.569401,0
20-19,114.098785,22.569201,1
20-19,113.998230,22.529850,0
20-20,114.088768,22.543301,1
20-21,114.079666,22.536234,0
20-21,113.979179,22.539618,1
20-21,113.986786,22.540968,0
20-21,113.987518,22.541517,1
20-21,113.992935,22.541599,0
20-21,113.991783,22.542299,1
20-21,114.006203,22.548683,0
20-21,114.007248,22.549932,1
20-21,114.136330,22.583532,0
20-22,114.138298,22.580050,1
20-22,114.121696,22.543333,0
20-22,114.120682,22.543833,1
20-22,114.113731,22.544100,0
20-22,114.112335,22.544167,1
20-22,114.138184,22.552099,0
20-23,114.137680,22.580517,1
20-23,114.131035,22.594267,0
20-23,114.138046,22.580200,1
20-23,114.117317,22.545282,0
20-23,114.113632,22.543467,1
20-23,114.104851,22.549383,0
20-23,114.101364,22.547434,1
21-0,114.100868,22.552017,0
21-0,114.111198,22.543016,1
21-0,114.098030,22.566334,0
21-0,114.095917,22.559683,1
21-1,114.062149,22.640667,0
21-1,114.115318,22.578951,1
21-1,114.123383,22.540632,0
21-2,114.224251,22.553417,1
21-2,114.220970,22.555050,0
21-3,114.102280,22.553617,1
21-3,114.100182,22.547800,0
21-3,114.101448,22.553301,1
21-4,114.098549,22.577417,0
21-4,114.106331,22.553133,1
21-4,114.125000,22.549101,0
21-4,114.118599,22.548166,1
21-4,114.117752,22.541401,0
21-5,114.116730,22.548517,1
21-5,114.107033,22.613199,0
21-6,114.135803,22.575817,1
21-7,114.123047,22.558184,0
21-7,114.125900,22.553333,1
21-7,113.927353,22.552500,0
21-7,113.922485,22.544333,1
21-8,113.940018,22.542566,0
21-8,113.970749,22.539066,1
21-8,114.007065,22.549299,0
21-8,114.019386,22.555450,1
21-9,114.027847,22.560301,0
21-9,114.029053,22.558649,1
21-9,114.018997,22.532232,0
21-9,114.092369,22.540400,1
21-10,114.081383,22.546118,0
21-10,114.081482,22.546833,1
21-10,114.089981,22.564568,0
21-10,114.090698,22.563217,1
21-10,114.054466,22.545532,0
21-10,114.053436,22.545517,1
21-10,113.909500,22.524418,0
21-10,113.914436,22.523750,1
21-11,113.905281,22.538267,0
21-11,113.907997,22.538418,1
21-11,113.903580,22.530300,0
21-11,113.903336,22.541283,1
21-11,113.919151,22.541416,0
21-11,113.919884,22.535583,1
21-11,113.930550,22.559732,0
21-11,113.954315,22.549683,1
21-11,113.961983,22.541967,0
21-12,113.977280,22.528534,1
21-12,113.952835,22.570049,0
21-12,114.055481,22.567600,1
21-13,114.043518,22.554684,0
21-13,114.039803,22.549000,1
21-14,114.047783,22.540300,0
21-13,114.062737,22.537149,1
21-13,114.061966,22.525932,0
21-13,114.058830,22.529516,1
21-13,114.058067,22.536650,0
21-14,114.076981,22.535667,1
21-14,114.043198,22.557966,0
21-14,114.056465,22.568216,1
21-14,114.088997,22.551817,0
21-14,114.104553,22.553333,1
21-14,114.117699,22.544100,0
21-14,114.116867,22.543217,1
21-15,114.082649,22.543367,0
21-15,114.081451,22.543333,1
21-15,114.038582,22.527582,0
21-15,114.038414,22.529318,1
21-15,114.037415,22.544117,0
21-15,114.037430,22.544083,1
21-15,114.061615,22.533518,0
21-15,114.063148,22.536783,1
21-15,114.065247,22.526217,0
21-16,114.063164,22.535067,1
21-16,114.006821,22.537018,0
21-16,114.017166,22.538200,1
21-16,114.021103,22.539217,0
21-16,114.026619,22.539932,1
21-16,114.048515,22.537300,0
21-16,114.050117,22.537567,1
21-17,114.105980,22.590282,0
21-17,114.103981,22.581066,1
21-17,114.106903,22.566517,0
21-17,114.106651,22.566584,1
21-17,114.126350,22.550917,0
21-17,114.119499,22.539267,1
