time,jd,wd,status
18-0-39,113.904999,22.554068,1
18-0-48,113.963333,22.541849,0
18-2-21,114.033180,22.522551,1
18-2-29,114.053520,22.525633,0
18-3-29,114.041580,22.521233,1
18-3-37,114.058296,22.525749,0
18-6-37,113.978935,22.536551,1
18-6-54,114.062737,22.517599,0
18-7-13,114.063232,22.518700,1
18-8-15,113.815987,22.646584,0
18-8-40,113.864120,22.567932,1
18-9-26,114.051498,22.532700,0
18-9-35,114.037231,22.523817,1
18-9-41,114.025482,22.535801,0
18-10-5,114.026619,22.532833,1
18-10-36,114.060532,22.648968,0
18-10-38,114.061066,22.648567,1
18-11-39,113.784485,22.707600,0
18-12-28,113.881065,22.566700,1
18-12-39,113.939049,22.542549,0
18-12-43,113.944832,22.544884,1
18-12-48,113.924232,22.530033,0
18-13-18,113.923584,22.544567,1
18-13-35,113.908684,22.525667,0
18-13-37,113.912064,22.525833,1
18-13-46,113.920364,22.526768,0
18-13-48,113.920364,22.526768,1
18-13-54,113.943199,22.506433,0
18-14-16,113.959801,22.534599,1
18-14-23,113.944618,22.555750,0
18-14-34,113.944336,22.558783,1
18-14-46,113.944832,22.506918,0
18-14-50,113.945930,22.507334,1
18-15-5,113.908783,22.513918,0
18-15-10,113.910370,22.515217,1
18-15-19,113.910454,22.535549,0
18-15-35,113.935486,22.524532,1
18-15-52,114.033997,22.522717,0
18-15-54,114.032799,22.523001,1
18-16-3,114.026802,22.533068,0
18-16-8,114.027084,22.536766,1
18-16-19,114.068497,22.523933,0
18-16-22,114.071602,22.530451,1
18-16-35,114.017967,22.532801,0
18-16-40,114.019600,22.535433,1
18-16-42,114.026421,22.537233,0
18-16-49,114.024834,22.533083,1
18-16-53,114.027267,22.525600,0
18-17-4,114.032448,22.525734,1
18-17-30,114.103798,22.570316,0
18-17-40,114.094017,22.561583,1
18-17-57,114.032387,22.564449,0
18-17-59,114.029480,22.563683,1
18-18-7,114.006149,22.537434,0
18-18-11,114.003784,22.537683,1
18-19-13,114.098267,22.577049,0
18-19-16,114.098579,22.575617,1
18-20-0,114.099281,22.565184,0
18-21-29,114.110718,22.587200,1
18-21-41,114.119568,22.541050,0
18-21-51,114.113297,22.534401,1
18-21-57,114.121368,22.543417,0
18-21-58,114.121552,22.543818,1
18-22-7,114.062767,22.527866,0
18-22-17,114.067780,22.523884,1
18-22-27,114.121170,22.542732,0
18-22-34,114.134102,22.549067,1
18-22-41,114.139366,22.579367,0
18-22-52,114.121620,22.571533,1
18-23-5,114.087830,22.561518,0
18-23-14,114.084068,22.548634,1
18-23-19,114.091637,22.541267,0
18-23-45,114.092400,22.541483,1
18-23-51,114.074982,22.530617,0
18-23-53,114.072380,22.530483,1
19-0-4,114.126030,22.549717,0
19-0-25,114.126785,22.557568,1
19-0-39,114.033516,22.561068,0
19-1-31,114.033218,22.522917,1
19-1-39,114.052620,22.525801,0
19-6-52,114.004120,22.539083,1
19-7-22,113.814583,22.649599,0
19-7-54,113.868599,22.564417,1
19-8-26,113.934082,22.561583,0
19-8-30,113.930481,22.555384,1
19-9-0,114.042252,22.521633,0
19-9-1,114.042336,22.521749,1
19-9-10,114.040398,22.542633,0
19-9-25,114.004303,22.537617,1
19-9-41,113.936966,22.548300,0
19-9-54,113.938553,22.543083,1
19-9-56,113.923233,22.543234,0
19-10-1,113.924187,22.549150,1
19-10-5,113.930786,22.545933,0
19-10-9,113.927567,22.546917,1
19-10-26,114.033401,22.552383,0
19-10-28,114.033401,22.552933,1
19-10-39,114.078514,22.542168,0
19-10-43,114.078400,22.541384,1
19-10-55,114.071701,22.530416,0
19-10-59,114.066101,22.525917,1
19-11-4,114.062836,22.517599,0
19-11-8,114.062950,22.517782,1
19-12-2,113.816269,22.646717,0
19-13-10,114.061501,22.549517,1
19-13-18,114.081367,22.550068,0
19-13-18,114.081413,22.550083,1
19-13-34,114.048332,22.567533,0
19-13-40,114.048698,22.571083,1
19-13-49,114.083870,22.572083,0
19-13-56,114.065750,22.571182,1
19-14-7,114.084320,22.543100,0
19-14-8,114.086380,22.543249,1
19-14-12,114.091034,22.551201,0
19-14-21,114.082130,22.554100,1
19-14-32,114.053329,22.538450,0
19-14-35,114.053185,22.537600,1
19-14-40,114.039101,22.544317,0
19-14-41,114.039833,22.544634,1
19-14-45,114.039803,22.554050,0
19-14-48,114.039864,22.550467,1
19-14-53,114.043434,22.557783,0
19-14-54,114.042999,22.558350,1
19-15-6,114.053413,22.528282,0
19-15-8,114.052002,22.528500,1
19-15-14,114.043320,22.524918,0
19-15-25,114.032349,22.526501,1
19-15-35,113.960716,22.531017,0
19-15-44,113.960587,22.538433,1
19-15-54,113.995979,22.530367,0
19-16-12,114.009865,22.534567,1
19-16-22,114.059052,22.528000,0
19-16-23,114.059166,22.527634,1
19-16-32,114.081619,22.539801,0
19-16-32,114.081665,22.539450,1
19-16-53,114.051300,22.511066,0
19-17-20,114.015480,22.543734,1
19-17-46,114.080132,22.545017,0
19-17-48,114.081085,22.545418,1
19-18-10,114.023216,22.524733,0
19-18-14,114.024071,22.529266,1
19-18-22,114.079453,22.535334,0
19-18-23,114.079567,22.535566,1
19-18-36,114.105118,22.543417,0
19-18-37,114.106285,22.543467,1
19-19-3,114.131798,22.553217,0
19-19-7,114.125481,22.553316,1
19-19-15,114.119217,22.579218,0
