time,jd,wd,status
18-20,114.082085,22.540701,1
18-20,114.082047,22.533983,0
18-20,114.082497,22.545134,1
18-20,114.077415,22.536949,0
18-20,114.076820,22.535618,1
18-20,114.083397,22.545750,0
18-20,114.084480,22.545683,1
18-20,114.092697,22.540100,0
18-20,114.092682,22.541651,1
18-21,114.117554,22.544666,0
18-21,114.115364,22.544317,1
18-21,114.119797,22.558500,0
18-21,114.113899,22.547033,1
18-21,114.106064,22.543484,0
18-21,114.106133,22.543667,1
18-21,114.115730,22.543034,0
18-21,114.104431,22.545933,1
18-21,114.104034,22.553883,0
18-21,114.104019,22.554016,1
18-22,114.107635,22.568684,0
18-22,114.106667,22.542101,1
18-22,114.007683,22.537701,0
18-22,114.007835,22.537968,1
18-22,114.098251,22.559900,0
18-22,114.098320,22.559784,1
18-22,114.112770,22.547449,0
18-22,114.114883,22.546801,1
18-23,114.126686,22.557899,0
18-23,114.100365,22.553350,1
18-23,114.037399,22.565866,0
18-23,114.056686,22.568251,1
18-23,114.064331,22.532000,0
18-23,114.063217,22.534849,1
18-23,114.064079,22.545549,0
18-23,114.068787,22.547817,1
19-0,114.048683,22.570284,0
19-0,114.053917,22.571100,1
19-0,114.039032,22.605818,0
19-1,114.068016,22.536432,1
19-1,114.068497,22.523884,0
19-6,114.071968,22.536133,1
19-6,114.068352,22.523600,0
19-7,114.076714,22.535433,1
19-7,114.062286,22.520433,0
19-7,114.045898,22.533417,1
19-7,114.047798,22.548918,0
19-7,114.046349,22.547333,1
19-8,114.018349,22.539217,0
19-8,114.012451,22.543217,1
19-8,114.011803,22.544300,0
19-8,114.010818,22.546167,1
19-8,114.064133,22.571100,0
19-8,114.066147,22.571167,1
19-8,114.068466,22.523684,0
19-8,114.067719,22.523899,1
19-8,114.101196,22.543751,0
19-9,114.090950,22.551001,1
19-9,114.056618,22.531851,0
19-9,114.047997,22.533733,1
19-9,114.062531,22.517500,0
19-9,114.062965,22.517799,1
19-10,114.023331,22.537617,0
19-10,114.019402,22.536066,1
