time,jd,wd,status
19-9,114.034286,22.625017,1
19-10,114.302780,22.605516,0
19-10,114.307549,22.601267,1
19-10,114.307549,22.601267,0
19-11,114.307816,22.601517,1
19-12,113.926247,22.519367,0
19-12,113.926018,22.521233,1
19-12,113.903564,22.530416,0
19-12,113.912834,22.535383,1
19-12,113.944054,22.558832,0
19-12,113.943230,22.558983,1
19-13,114.108383,22.653700,0
19-13,114.114914,22.653650,1
19-13,114.099686,22.649166,0
19-15,114.049065,22.567266,1
19-15,114.047081,22.541834,0
19-15,114.047752,22.540916,1
19-16,114.102448,22.555668,0
19-16,114.080269,22.543200,1
19-16,114.031586,22.558283,0
19-16,114.038116,22.555849,1
19-17,113.916931,22.543051,0
19-17,113.908699,22.479900,1
19-18,114.033501,22.529499,0
19-18,114.025597,22.535366,1
19-19,113.932251,22.513100,0
19-19,113.927696,22.528366,1
19-19,113.964920,22.532900,0
19-19,113.976532,22.536600,1
19-20,114.121513,22.543716,0
19-20,114.120720,22.542233,1
19-20,114.112747,22.536016,0
19-20,114.112663,22.536083,1
19-20,114.309067,22.600616,0
19-20,114.305984,22.601500,1
19-21,114.048683,22.570351,0
20-9,114.040680,22.608816,1
20-10,114.048836,22.567249,0
20-10,114.049881,22.567200,1
20-10,114.100166,22.564716,0
20-10,114.103935,22.560167,1
20-11,114.113586,22.539984,0
20-11,114.113503,22.534416,1
20-11,114.075531,22.539932,0
20-11,114.077400,22.536432,1
20-11,114.083649,22.543100,0
20-11,114.082085,22.540449,1
20-11,114.099503,22.554867,0
20-12,114.104446,22.561800,1
20-12,114.094597,22.560633,0
20-12,114.094666,22.560516,1
20-12,114.049721,22.637899,0
20-13,114.039314,22.607950,1
20-13,114.076981,22.633900,0
20-13,114.062332,22.629868,1
20-13,114.058784,22.571117,0
20-14,114.053780,22.565384,1
20-14,114.041016,22.544434,0
20-14,114.039932,22.549534,1
20-14,114.054268,22.545334,0
20-14,114.056213,22.539450,1
20-14,114.081650,22.551567,0
20-14,114.083984,22.551533,1
20-15,114.066437,22.626667,0
20-15,114.062782,22.619333,1
20-15,114.056396,22.636499,0
20-15,114.045097,22.597017,1
20-15,114.102264,22.571518,0
20-17,114.102135,22.564817,1
20-17,114.114067,22.531450,0
20-17,114.112167,22.537018,1
20-17,114.125771,22.546450,0
20-17,114.125832,22.546383,1
20-18,114.159851,22.566668,0
20-18,114.164452,22.565100,1
20-18,114.147697,22.543966,0
20-18,114.126984,22.548018,1
20-18,114.111900,22.539368,0
20-18,114.111900,22.539368,1
20-19,114.105865,22.546350,0
20-19,114.105865,22.546350,1
20-19,113.931999,22.520384,0
20-19,113.929184,22.525383,1
20-20,113.945885,22.588182,0
20-21,114.081680,22.547016,1
20-21,114.112350,22.547716,0
20-21,114.114166,22.533768,1
20-22,113.788383,22.682182,0
20-22,113.816231,22.646233,1
20-23,114.056648,22.611650,0
22-8,114.033569,22.625067,1
22-9,114.071404,22.526951,0
22-9,114.070068,22.530451,1
22-9,114.051514,22.511368,0
22-9,114.051147,22.514618,1
22-10,114.081619,22.544268,0
22-10,114.081619,22.544268,1
22-10,114.108536,22.545067,0
22-10,114.108536,22.545067,1
22-10,114.119820,22.541767,0
22-10,114.119064,22.540600,1
22-11,114.059853,22.525967,0
22-11,114.063103,22.533632,1
22-13,113.781464,22.704233,0
22-15,113.815750,22.649883,1
22-15,113.921715,22.525084,0
22-15,113.918480,22.525932,1
22-15,113.915352,22.542116,0
22-16,113.922653,22.529850,1
22-16,113.947533,22.526567,0
22-16,113.947571,22.527599,1
22-16,113.959198,22.538982,0
22-16,113.969017,22.539717,1
22-16,113.933601,22.520782,0
22-16,113.933800,22.521049,1
