time,jd,wd,status
18-0,114.092613,22.541134,1
18-0,114.080536,22.533300,0
18-2,114.120865,22.552349,1
18-2,114.112129,22.584267,0
18-3,114.126465,22.579866,1
18-3,114.120598,22.552000,0
18-3,114.122437,22.551849,1
18-4,113.908218,22.515051,0
18-5,114.024086,22.528933,1
18-5,114.068436,22.523750,0
18-6,114.120949,22.552183,1
18-6,114.138184,22.552134,0
18-6,114.128181,22.545418,1
18-6,114.128548,22.545500,0
18-6,114.129601,22.544950,1
18-6,114.130936,22.544666,0
18-7,114.129646,22.547434,1
18-7,114.114853,22.534750,0
18-7,114.139648,22.549950,1
18-7,114.129021,22.545668,0
18-7,114.120186,22.545168,1
18-8,114.114700,22.534718,0
18-8,114.119034,22.540150,1
18-8,114.062149,22.520350,0
18-8,114.062263,22.522167,1
18-9,114.067970,22.534033,0
18-9,114.075584,22.534233,1
18-9,114.081535,22.542717,0
18-9,114.081596,22.541332,1
18-10,114.009735,22.535383,0
18-10,114.035187,22.530067,1
18-10,114.117249,22.543484,0
18-10,114.118233,22.542601,1
18-11,113.908531,22.479450,0
18-11,113.908653,22.479900,1
18-11,114.039734,22.550182,0
18-12,114.087898,22.565933,1
18-13,114.113815,22.534634,0
18-13,114.120796,22.538733,1
18-13,114.138130,22.580200,0
18-13,114.138000,22.580217,1
18-13,114.123886,22.574133,0
18-13,114.123848,22.573999,1
18-13,114.112419,22.585850,0
18-13,114.113884,22.582968,1
18-14,114.085297,22.569500,0
18-15,114.049751,22.525717,1
18-15,114.073067,22.542101,0
18-15,114.071915,22.541718,1
18-16,114.040550,22.515118,0
18-16,114.044586,22.514200,1
18-16,113.927879,22.522900,0
18-16,114.020851,22.531750,1
18-17,113.814613,22.649782,0
18-18,114.084129,22.537201,1
18-19,114.142464,22.547400,0
18-19,114.142380,22.547518,1
18-20,114.068420,22.523800,0
18-20,114.081413,22.541866,1
18-20,114.055786,22.624718,0
18-20,114.055565,22.624067,1
18-21,114.103783,22.539482,0
18-21,114.103020,22.539850,1
18-21,114.104065,22.556267,0
18-21,114.113800,22.550917,1
18-21,114.120667,22.543783,0
18-21,114.114784,22.542700,1
18-21,114.114998,22.586250,0
18-22,114.124969,22.590166,1
18-22,114.121132,22.580967,0
18-23,113.938614,22.543467,1
18-23,113.926666,22.519867,0
18-23,113.931816,22.520666,1
18-23,113.908501,22.522367,0
19-0,113.932434,22.521883,1
19-0,113.908714,22.516300,0
19-1,113.922485,22.525217,1
19-1,113.928520,22.515066,0
19-5,114.131981,22.550200,1
19-5,114.117531,22.544300,0
19-6,114.125053,22.552650,1
19-6,114.121620,22.579218,0
19-7,114.141029,22.550034,1
19-7,114.128464,22.558184,0
19-7,114.131020,22.550900,1
19-8,114.012367,22.534033,0
19-8,114.018135,22.527634,1
19-8,114.026451,22.537216,0
19-8,114.019417,22.531616,1
19-8,114.050514,22.564432,0
19-8,114.054199,22.562983,1
19-8,114.054001,22.578768,0
