time,jd,wd,status
18-0-0,113.848129,22.629900,1
18-0-15,113.923882,22.505934,0
18-3-51,114.170151,22.604067,1
18-6-34,114.169518,22.597851,0
18-7-5,114.138313,22.580000,1
18-7-14,114.123436,22.558384,0
18-7-21,114.119797,22.547768,1
18-7-27,114.118034,22.540051,0
18-7-28,114.117653,22.539717,1
18-7-38,114.048233,22.537268,0
18-7-47,114.056953,22.525932,1
18-7-54,114.068398,22.523899,0
18-7-59,114.074448,22.534950,1
18-8-10,114.111168,22.535683,0
18-8-12,114.110947,22.535383,1
18-8-28,114.040787,22.531218,0
18-8-28,114.040787,22.531218,1
18-8-50,114.086586,22.551683,0
18-8-52,114.088120,22.554832,1
18-9-24,114.026367,22.534567,0
18-9-26,114.025703,22.534500,1
18-9-48,114.099380,22.559616,0
18-9-50,114.099800,22.561483,1
18-10-38,113.816170,22.647034,0
18-11-52,113.814934,22.650000,1
18-12-11,113.923584,22.522200,0
18-12-16,113.922318,22.518766,1
18-12-22,113.936951,22.536133,0
18-12-24,113.937866,22.536568,1
18-12-37,113.993500,22.538567,0
18-12-37,113.993500,22.538567,1
18-12-51,114.059067,22.544100,0
18-12-53,114.059013,22.545450,1
18-12-57,114.063950,22.537500,0
18-12-58,114.065849,22.538033,1
18-13-4,114.044502,22.527767,0
18-13-26,114.058380,22.523617,1
18-13-38,114.101097,22.546400,0
18-13-39,114.101051,22.547268,1
18-13-49,114.071831,22.530617,0
18-13-51,114.072319,22.531567,1
18-13-56,114.084167,22.541634,0
18-13-57,114.086433,22.543301,1
18-14-6,114.071533,22.546984,0
18-14-8,114.071533,22.546984,1
18-14-17,114.083382,22.547016,0
18-14-21,114.084068,22.546850,1
18-14-38,114.077652,22.532917,0
18-14-39,114.077652,22.532917,1
18-14-47,114.083534,22.543083,0
18-14-48,114.084770,22.543118,1
18-14-59,114.064835,22.551184,0
18-15-0,114.065231,22.551167,1
18-15-6,114.079285,22.540533,0
18-15-7,114.079681,22.540518,1
18-15-22,114.047020,22.527550,0
18-15-25,114.050232,22.527683,1
18-15-35,114.078613,22.543068,0
18-15-37,114.078850,22.541149,1
18-15-48,114.078232,22.550484,0
18-15-51,114.077370,22.551132,1
18-16-0,114.097000,22.554567,0
18-16-10,114.100151,22.547449,1
18-16-19,114.113586,22.543867,0
18-16-20,114.113953,22.544317,1
18-16-31,114.159782,22.561750,0
18-16-39,114.162987,22.566683,1
18-16-51,114.114517,22.546850,0
18-16-51,114.114235,22.546850,1
18-16-54,114.104767,22.545767,0
18-16-55,114.105881,22.546217,1
18-17-2,114.111916,22.531532,0
18-17-4,114.110931,22.537733,1
18-17-19,114.118134,22.567183,0
18-18-1,114.134468,22.565033,1
18-18-9,114.127014,22.543917,0
18-19-14,114.084015,22.537201,1
18-20-1,114.111603,22.531584,0
19-1-47,114.087799,22.551367,1
19-2-5,114.115700,22.544950,0
19-7-4,114.138229,22.580133,1
19-7-13,114.122116,22.565451,0
19-7-19,114.122620,22.557917,1
19-7-27,114.115616,22.535183,0
19-7-42,114.113647,22.540367,1
19-8-5,114.178680,22.559816,0
19-8-6,114.177483,22.560432,1
19-8-44,114.081497,22.548483,0
19-8-45,114.079185,22.549067,1
19-9-3,114.114487,22.546034,0
19-9-4,114.114487,22.546034,1
19-9-19,114.056686,22.531834,0
19-9-21,114.052620,22.531767,1
19-9-24,114.051399,22.535049,0
19-9-36,114.058746,22.522850,1
19-9-58,114.011536,22.531633,0
19-10-8,114.021233,22.529551,1
19-10-16,114.068436,22.523832,0
19-10-19,114.067497,22.524117,1
19-11-11,113.822334,22.675734,0
19-12-51,113.816467,22.647232,1
19-13-15,114.046165,22.533318,0
19-13-19,114.051270,22.533649,1
19-13-28,113.993286,22.538733,0
19-13-38,114.020447,22.538700,1
19-13-44,114.050819,22.525766,0
19-13-49,114.047035,22.525633,1
19-14-16,114.170753,22.607201,0
19-14-18,114.167915,22.605850,1
19-14-21,114.159035,22.610050,0
19-14-33,114.134354,22.579268,1
19-14-48,114.139618,22.576851,0
19-14-54,114.138817,22.574900,1
19-15-4,114.115868,22.535334,0
19-15-8,114.116096,22.542000,1
19-15-14,114.129616,22.547367,0
19-15-15,114.129753,22.546867,1
19-15-26,114.129204,22.585150,0
19-15-33,114.122681,22.578800,1
19-15-38,114.119316,22.570749,0
19-15-38,114.119316,22.570749,1
19-15-41,114.118866,22.579750,0
19-15-46,114.123863,22.574183,1
19-15-57,114.134018,22.566784,0
19-16-6,114.124832,22.559050,1
19-16-12,114.108269,22.546301,0
19-16-15,114.109703,22.546783,1
19-16-20,114.127365,22.547850,0
19-16-24,114.129120,22.548233,1
19-16-28,114.120148,22.541918,0
19-16-29,114.118446,22.543200,1
19-16-37,114.119797,22.560949,0
19-17-23,114.111885,22.531601,1
19-18-27,113.814697,22.649616,0
19-19-10,113.814880,22.650000,1
19-19-48,113.915886,22.492599,0
19-19-50,113.916534,22.493082,1
19-20-5,113.932732,22.523500,0
19-20-9,113.932320,22.521433,1
19-20-14,113.922180,22.526484,0
19-20-49,113.931015,22.522400,1
19-21-10,113.869965,22.575867,0
19-22-1,113.815468,22.649233,1
19-22-27,114.056931,22.520233,0
19-22-29,114.056519,22.521717,1
19-22-36,114.068367,22.523800,0
20-6-53,114.138550,22.579767,1
20-7-8,114.168884,22.566868,0
20-7-14,114.157333,22.562532,1
20-7-31,114.050919,22.528749,0
20-7-32,114.049866,22.528534,1
20-7-43,114.084236,22.538099,0
20-7-57,114.089630,22.540117,1
20-8-6,114.115021,22.534666,0
20-8-22,114.121269,22.543533,1
20-8-34,114.114052,22.531700,0
20-8-41,114.119553,22.540850,1
20-8-48,114.112816,22.535999,0
20-8-49,114.112816,22.535999,1
20-9-32,114.052666,22.653183,0
20-9-34,114.052849,22.652332,1
20-10-18,113.919815,22.531967,0
20-10-27,113.923164,22.534451,1
20-10-31,113.915115,22.538950,0
20-10-34,113.915298,22.541384,1
20-10-51,113.992882,22.533068,0
20-11-0,114.035416,22.530132,1
20-11-8,114.058952,22.549784,0
20-11-50,114.042480,22.528900,1
20-11-57,113.996765,22.529367,0
20-11-59,113.994080,22.531151,1
20-12-4,114.004066,22.537001,0
20-12-6,114.006050,22.537683,1
20-12-11,113.994736,22.531267,0
20-12-12,113.995369,22.531483,1
20-12-21,114.019730,22.536066,0
20-12-25,114.022469,22.535017,1
20-12-37,114.060219,22.523600,0
20-12-37,114.060318,22.523283,1
20-12-43,114.050850,22.511017,0
20-12-49,114.051102,22.514717,1
20-13-9,114.060387,22.571182,0
20-13-15,114.046486,22.567383,1
20-13-20,114.060234,22.569283,0
20-13-30,114.062630,22.549767,1
20-13-33,114.060654,22.535566,0
20-13-45,114.076019,22.534517,1
20-13-48,114.071999,22.539667,0
20-13-51,114.077118,22.542900,1
20-14-1,114.119881,22.541082,0
20-14-4,114.119766,22.539316,1
20-14-13,114.121399,22.568951,0
20-14-14,114.121552,22.568684,1
20-14-30,114.122902,22.548500,0
20-14-31,114.122414,22.548300,1
20-14-38,114.112518,22.551167,0
20-14-39,114.112968,22.550167,1
20-14-46,114.123268,22.562050,0
20-14-52,114.125534,22.558783,1
20-14-58,114.135315,22.550617,0
20-14-59,114.135246,22.550583,1
20-15-11,114.106850,22.563700,0
20-15-14,114.107750,22.567667,1
20-15-28,114.136169,22.580233,0
20-15-29,114.136185,22.579683,1
20-15-49,114.078636,22.543133,0
20-15-50,114.078636,22.543133,1
20-15-57,114.071854,22.530666,0
20-15-58,114.071785,22.530416,1
20-16-5,114.102081,22.541201,0
20-16-7,114.104401,22.540550,1
20-16-16,114.113983,22.531750,0
20-16-24,114.117432,22.544533,1
20-16-30,114.139099,22.549767,0
20-19-0,114.111618,22.531500,1
20-19-42,113.815964,22.651333,0
20-21-30,113.814079,22.651100,1
20-21-58,114.068481,22.523884,0
21-2-58,114.131752,22.562017,1
21-3-5,114.103867,22.568583,0
