time,jd,wd,status
22-16,113.903183,22.537033,1
22-16,113.903183,22.537033,0
22-16,113.903183,22.537033,1
22-16,113.903183,22.537033,0
22-16,113.903183,22.537033,1
22-17,113.974648,22.555967,0
22-17,113.974648,22.555967,1
22-18,114.085953,22.648117,0
22-18,114.032387,22.630033,1
22-21,114.007271,22.651449,0
22-21,114.013046,22.646433,1
22-21,114.005920,22.653982,0
22-21,114.021553,22.639633,1
22-21,114.031670,22.636467,0
22-21,114.029549,22.650551,1
22-21,114.024086,22.640966,0
22-21,114.022865,22.643482,1
22-22,114.037849,22.668650,0
22-22,114.035851,22.647484,1
22-22,114.026215,22.660749,0
22-22,114.018501,22.655518,1
22-22,114.024429,22.671783,0
22-23,114.037598,22.664766,1
22-23,114.123581,22.743834,0
23-0,114.044434,22.700268,1
23-0,114.044434,22.700268,0
23-1,114.044434,22.700268,1
23-1,114.044434,22.700268,0
23-2,114.044434,22.700268,1
23-2,114.044434,22.700268,0
23-2,114.044434,22.700268,1
23-2,114.044434,22.700268,0
23-2,114.044434,22.700268,1
23-2,114.044434,22.700268,0
23-3,114.044434,22.700268,1
23-3,114.044434,22.700268,0
23-3,114.044434,22.700268,1
23-3,114.044434,22.700268,0
23-3,114.044434,22.700268,1
23-3,114.044434,22.700268,0
23-3,114.044434,22.700268,1
23-3,114.044434,22.700268,0
23-4,114.044434,22.700268,1
23-4,114.044434,22.700268,0
23-8,114.044434,22.700268,1
23-7,114.044434,22.700268,0
23-8,114.044434,22.700268,1
23-8,114.044434,22.700268,0
23-8,114.044434,22.700268,1
23-8,114.044434,22.700268,0
23-8,114.044434,22.700268,1
23-8,114.044434,22.700268,0
23-8,114.044434,22.700268,1
23-9,114.044434,22.700268,0
23-10,114.044434,22.700268,1
23-10,114.044434,22.700268,0
23-10,114.044434,22.700268,1
23-10,114.044434,22.700268,0
23-10,114.044434,22.700268,1
23-11,114.044434,22.700268,0
23-11,114.044434,22.700268,1
23-11,114.044434,22.700268,0
23-11,114.044434,22.700268,1
23-11,114.044434,22.700268,0
23-12,114.044434,22.700268,1
23-12,114.044434,22.700268,0
23-12,114.044434,22.700268,1
23-12,114.044434,22.700268,0
23-15,114.044434,22.700268,1
23-15,114.044434,22.700268,0
23-18,114.044434,22.700268,1
23-18,114.044434,22.700268,0
23-18,114.044434,22.700268,1
23-18,114.044434,22.700268,0
23-18,114.044434,22.700268,1
23-19,114.044434,22.700268,0
23-19,114.044434,22.700268,1
23-19,114.044434,22.700268,0
23-19,114.044434,22.700268,1
23-19,114.044434,22.700268,0
23-19,114.044434,22.700268,1
23-20,114.044434,22.700268,0
23-20,114.044434,22.700268,1
23-20,114.044434,22.700268,0
23-20,114.044434,22.700268,1
23-20,114.044434,22.700268,0
23-20,114.044434,22.700268,1
23-21,114.044434,22.700268,0
23-21,114.044434,22.700268,1
23-21,114.044434,22.700268,0
23-21,114.044434,22.700268,1
23-21,114.044434,22.700268,0
23-21,114.044434,22.700268,1
23-21,114.044434,22.700268,0
23-22,114.044434,22.700268,1
23-22,114.044434,22.700268,0
23-23,114.044434,22.700268,1
23-23,114.044434,22.700268,0
23-23,114.044434,22.700268,1
23-23,114.044434,22.700268,0
23-23,114.044434,22.700268,1
23-23,114.044434,22.700268,0
24-0,114.044434,22.700268,1
24-0,114.044434,22.700268,0
24-1,114.044434,22.700268,1
24-2,114.044434,22.700268,0
24-2,114.044434,22.700268,1
24-3,114.044434,22.700268,0
24-6,114.044434,22.700268,1
24-6,114.044434,22.700268,0
24-7,114.044434,22.700268,1
24-7,114.044434,22.700268,0
24-7,114.044434,22.700268,1
24-8,114.044434,22.700268,0
24-9,114.063652,22.637417,1
24-10,113.891983,22.720083,0
24-11,113.815369,22.732349,1
24-11,113.797653,22.756550,0
24-11,113.808899,22.750999,1
24-12,113.808464,22.747950,0
24-12,113.807930,22.735701,1
24-12,113.818832,22.731117,0
24-12,113.820198,22.730516,1
24-12,113.820198,22.730516,0
24-12,113.820198,22.730516,1
24-12,113.837334,22.728983,0
24-13,113.837334,22.728983,1
24-13,113.837334,22.728983,0
24-14,113.837334,22.728983,1
24-14,113.837334,22.728983,0
24-16,113.837334,22.728983,1
24-16,113.837334,22.728983,0
24-16,113.837334,22.728983,1
24-16,113.837334,22.728983,0
24-18,113.837334,22.728983,1
24-18,113.837334,22.728983,0
24-18,113.837334,22.728983,1
24-18,113.837334,22.728983,0
24-18,113.837334,22.728983,1
24-18,113.837334,22.728983,0
24-18,113.837334,22.728983,1
24-18,113.837334,22.728983,0
24-18,113.837334,22.728983,1
24-19,113.837334,22.728983,0
24-19,113.837334,22.728983,1
24-19,113.837334,22.728983,0
24-19,113.837334,22.728983,1
24-19,113.837334,22.728983,0
24-19,113.837334,22.728983,1
24-20,113.837334,22.728983,0
24-20,113.837334,22.728983,1
24-20,113.837334,22.728983,0
24-22,113.837334,22.728983,1
24-22,113.837334,22.728983,0
24-22,113.837334,22.728983,1
24-23,113.837334,22.728983,0
24-23,113.837334,22.728983,1
24-23,113.837334,22.728983,0
24-23,113.837334,22.728983,1
24-23,113.837334,22.728983,0
24-23,113.837334,22.728983,1
24-23,113.837334,22.728983,0
24-23,113.837334,22.728983,1
24-23,113.837334,22.728983,0
