time,jd,wd,status
18-2-13,114.117500,22.545033,1
18-2-36,114.132896,22.585934,0
18-3-51,114.117699,22.544849,1
18-3-58,114.122284,22.551683,0
18-6-7,114.125618,22.550266,1
18-6-17,114.113251,22.531717,0
18-6-28,114.123520,22.552099,1
18-6-34,114.107719,22.567667,0
18-6-34,114.107719,22.567667,1
18-6-45,114.110634,22.602200,0
18-6-50,114.111732,22.597532,1
18-7-12,114.114319,22.534582,0
18-9-38,114.220901,22.555050,1
18-9-44,114.229286,22.559868,0
18-9-44,114.229736,22.559633,1
18-9-49,114.225754,22.551100,0
18-9-50,114.226753,22.551634,1
18-10-1,114.177620,22.566433,0
18-10-6,114.169533,22.562983,1
18-10-18,114.114182,22.534634,0
18-10-21,114.114182,22.534634,1
18-10-31,114.118385,22.546600,0
18-10-32,114.118599,22.546734,1
18-10-44,114.113869,22.531782,0
18-10-52,114.113701,22.541468,1
18-10-59,114.120949,22.561417,0
18-11-0,114.123718,22.562183,1
18-11-14,114.130402,22.581818,0
18-11-17,114.122597,22.579268,1
18-11-19,114.119347,22.579250,0
18-11-20,114.122635,22.579100,1
18-11-31,114.114052,22.531733,0
18-11-39,114.114754,22.542200,1
18-11-51,114.135132,22.570316,0
18-12-22,114.127800,22.571318,1
18-12-36,114.118202,22.546633,0
18-12-40,114.119698,22.544283,1
18-12-49,114.114014,22.531851,0
18-12-55,114.114571,22.542683,1
18-13-9,114.043350,22.531033,0
18-13-20,114.054169,22.535250,1
18-13-39,114.115547,22.557632,0
18-13-42,114.115898,22.557632,1
18-13-50,114.112663,22.585318,0
18-13-51,114.112633,22.585617,1
18-13-59,114.111816,22.608168,0
18-14-1,114.111519,22.607668,1
18-14-4,114.111519,22.607668,0
18-14-16,114.107597,22.569050,1
18-14-30,114.114014,22.531700,0
18-14-35,114.114571,22.542517,1
18-14-47,114.135017,22.568382,0
18-14-50,114.135719,22.566668,1
18-15-8,114.086700,22.539833,0
18-15-11,114.083969,22.540733,1
18-15-17,114.079750,22.532633,0
18-15-21,114.085785,22.537184,1
18-15-37,114.088753,22.549316,0
18-15-39,114.088753,22.549316,1
18-15-44,114.084579,22.543650,0
18-15-45,114.089470,22.543083,1
18-15-54,114.059181,22.527399,0
18-15-57,114.057930,22.536533,1
18-16-4,114.046783,22.544733,0
18-16-8,114.044296,22.553383,1
18-16-12,114.043419,22.567499,0
18-16-28,114.065514,22.571251,1
18-16-36,114.058197,22.571068,0
18-16-41,114.058952,22.562567,1
18-16-56,114.022964,22.524300,0
18-17-4,114.034782,22.528000,1
18-17-29,114.078079,22.558916,0
18-17-33,114.081398,22.559116,1
18-18-5,114.115364,22.579800,0
18-20-1,114.087265,22.537466,1
18-20-6,114.071815,22.530399,0
18-20-10,114.079781,22.536034,1
18-20-18,114.105934,22.541416,0
18-20-19,114.104698,22.540434,1
18-20-25,114.089813,22.543516,0
18-20-28,114.082603,22.543266,1
18-20-41,114.058563,22.570017,0
18-20-42,114.058563,22.570017,1
18-21-8,114.058914,22.650133,0
18-21-12,114.063148,22.637501,1
18-21-39,114.116585,22.550400,0
18-21-46,114.116615,22.548233,1
18-22-4,114.068436,22.523733,0
18-22-13,114.067734,22.524218,1
18-22-18,114.076485,22.535168,0
18-22-20,114.076630,22.535583,1
18-22-33,114.086136,22.549334,0
18-22-41,114.079300,22.551567,1
18-22-56,114.143852,22.555218,0
18-23-16,114.114136,22.542583,1
18-23-23,114.114014,22.531700,0
18-23-28,114.114120,22.542267,1
18-23-37,114.130531,22.545567,0
19-0-24,114.116753,22.548416,1
19-0-38,114.061386,22.519501,0
19-1-17,114.117302,22.545418,1
19-1-24,114.122299,22.551884,0
19-1-45,114.117867,22.572201,1
19-1-56,114.165848,22.564333,0
19-3-9,114.117599,22.545082,1
19-3-15,114.129463,22.554100,0
19-3-19,114.129646,22.550917,1
19-3-21,114.129799,22.550867,0
19-3-36,114.117783,22.545200,1
19-3-42,114.104263,22.543283,0
19-4-9,114.117783,22.546316,1
