time,jd,wd,status
18-1-42,114.113647,22.547483,0
18-2-15,114.064201,22.531967,1
18-2-20,114.019302,22.536551,0
18-2-26,114.018700,22.533133,1
18-2-33,113.983315,22.545483,0
18-2-36,113.973396,22.543432,1
18-2-49,114.040749,22.554234,0
18-3-45,113.962936,22.551884,1
18-3-46,113.961601,22.552467,0
18-3-58,113.915649,22.520416,1
18-4-2,113.914101,22.524267,0
18-4-5,113.916870,22.524767,1
18-4-14,113.926430,22.489367,0
18-6-3,113.922729,22.517900,1
18-6-25,113.815735,22.647617,0
18-6-26,113.816818,22.645800,1
18-7-6,113.869034,22.566999,0
18-7-16,113.881149,22.566483,1
18-7-26,113.938217,22.542517,0
18-9-32,114.078568,22.534666,1
18-9-39,114.081467,22.545450,0
18-9-44,114.072083,22.543083,1
18-9-53,114.023216,22.531967,0
18-10-5,113.968353,22.540533,1
18-10-17,113.930801,22.521250,0
18-10-22,113.924431,22.530533,1
18-10-26,113.922447,22.536516,0
18-10-27,113.920303,22.536551,1
18-10-34,113.913597,22.546783,0
18-10-50,113.927299,22.536783,1
18-10-54,113.933769,22.542868,0
18-10-58,113.938431,22.546150,1
18-11-1,113.943214,22.550934,0
18-11-6,113.938797,22.543100,1
18-11-17,113.892281,22.569384,0
18-12-58,113.915382,22.542999,1
18-13-1,113.901299,22.560633,0
18-13-22,113.934784,22.542368,1
18-13-23,113.936714,22.542482,0
18-13-33,113.916115,22.543533,1
18-13-40,113.903580,22.562717,0
18-14-11,113.905602,22.553600,1
18-14-28,113.917320,22.510767,0
18-14-37,113.921570,22.514618,1
18-14-54,113.960716,22.544067,0
18-14-56,113.963501,22.542749,1
18-15-3,113.940666,22.533768,0
18-15-6,113.941483,22.539249,1
18-15-24,114.053665,22.513250,0
18-15-24,114.053719,22.513250,1
18-15-45,114.115219,22.558617,0
18-16-13,114.032616,22.530317,1
18-16-33,114.022186,22.641300,0
18-17-3,114.020584,22.532383,1
18-17-15,113.962051,22.536034,0
18-17-16,113.962051,22.536034,1
18-17-39,113.965050,22.609068,0
18-17-46,113.960350,22.585768,1
18-18-1,113.971748,22.558033,0
18-18-3,113.971336,22.557583,1
18-18-18,114.033798,22.529600,0
18-18-31,113.978149,22.536716,1
18-18-33,113.971619,22.539200,0
18-18-34,113.970947,22.539450,1
18-19-17,113.868683,22.567167,0
18-20-1,113.895950,22.505751,1
18-20-1,113.895981,22.505716,0
18-20-9,113.913315,22.526333,1
18-20-37,114.114830,22.534782,0
18-20-39,114.113434,22.534067,1
18-20-46,114.120750,22.543867,0
18-20-47,114.120781,22.543617,1
18-20-51,114.117752,22.539801,0
18-21-2,114.113800,22.534550,1
18-21-16,114.041420,22.520750,0
18-21-28,114.022316,22.536551,1
18-21-39,113.942734,22.506468,0
18-21-46,113.944786,22.506634,1
18-21-54,113.925583,22.535017,0
18-22-1,113.930847,22.544666,1
18-22-5,113.921631,22.521267,0
18-22-8,113.917770,22.523233,1
18-22-23,113.875435,22.568434,0
18-22-24,113.877136,22.569883,1
18-22-50,114.059669,22.520451,0
18-22-54,114.037354,22.523750,1
18-23-53,113.815453,22.651684,0
19-0-14,113.814232,22.650682,1
19-0-54,114.111519,22.547750,0
19-1-34,114.068253,22.523899,1
19-1-40,114.058968,22.521217,0
19-1-47,114.040932,22.521784,1
19-2-1,114.042099,22.521084,0
19-2-34,114.021713,22.536633,1
19-2-39,114.019447,22.529118,0
19-2-47,114.025719,22.537100,1
19-2-50,114.028381,22.528433,0
19-3-30,114.021164,22.536400,1
19-3-35,114.035469,22.552999,0
19-3-52,114.020248,22.536249,1
19-4-3,114.084663,22.555283,0
19-6-13,113.924118,22.517017,1
19-6-19,113.936630,22.542467,0
19-6-26,113.930199,22.528116,1
19-6-29,113.919785,22.534300,0
19-6-37,113.914581,22.537350,1
19-6-59,113.815651,22.647984,0
19-7-50,113.883766,22.563999,1
19-8-19,113.937233,22.542601,0
19-8-22,113.934669,22.542917,1
19-8-38,113.958649,22.597166,0
19-8-48,113.949333,22.582518,1
19-9-4,114.009880,22.534149,0
19-9-17,113.970901,22.539568,1
19-9-29,113.926331,22.523832,0
19-9-30,113.925385,22.520832,1
19-10-9,113.814751,22.649300,0
19-11-5,113.915314,22.542549,1
19-11-11,113.914467,22.525833,0
19-11-13,113.913864,22.522333,1
19-11-18,113.915749,22.532333,0
19-11-24,113.919785,22.534166,1
19-11-31,113.942932,22.518333,0
19-11-42,113.916901,22.543467,1
19-11-47,113.907051,22.535250,0
19-12-54,113.900703,22.559732,1
19-12-56,113.905029,22.555582,0
19-13-4,113.916420,22.543501,1
19-13-12,113.923820,22.529682,0
19-13-14,113.920013,22.530300,1
19-13-20,113.931931,22.520901,0
19-13-27,113.924469,22.530649,1
19-13-33,113.930847,22.519966,0
19-13-35,113.931847,22.520300,1
19-13-46,113.908684,22.513268,0
19-13-51,113.919250,22.508801,1
19-14-1,113.933632,22.548317,0
19-14-8,113.938530,22.543100,1
19-14-14,113.910149,22.544434,0
19-14-24,113.938721,22.543051,1
19-14-26,113.924202,22.544399,0
19-14-43,113.939682,22.543100,1
19-14-55,113.919647,22.512699,0
19-14-59,113.920502,22.518833,1
19-15-8,113.929848,22.493700,0
19-15-9,113.929848,22.493700,1
19-15-13,113.919830,22.491234,0
19-15-20,113.930031,22.493282,1
19-15-41,113.903687,22.529499,0
19-15-42,113.903580,22.530117,1
19-16-3,114.033852,22.550882,0
19-16-4,114.034019,22.550301,1
19-16-8,114.008698,22.548367,0
19-16-9,114.008453,22.548532,1
19-16-14,114.021980,22.539749,0
19-16-23,113.968513,22.540449,1
19-16-33,113.924629,22.549232,0
19-16-40,113.938599,22.542534,1
19-16-49,113.922813,22.526117,0
19-16-50,113.923248,22.521532,1
19-17-8,113.941231,22.590532,0
19-17-30,113.944832,22.558901,1
19-17-46,114.019920,22.533333,0
19-17-47,114.019653,22.532351,1
19-17-51,114.009880,22.534300,0
19-18-7,113.970985,22.539583,1
19-18-18,113.971870,22.565617,0
19-18-31,113.931213,22.542833,1
19-18-49,113.921631,22.507750,0
19-18-59,113.908546,22.515284,1
19-19-24,113.869530,22.566816,0
19-19-51,113.886230,22.561684,1
19-20-8,113.961533,22.531050,0
19-20-13,113.959030,22.534782,1
19-20-24,114.032349,22.529882,0
19-20-28,114.025833,22.537167,1
19-20-42,114.099869,22.569851,0
19-20-44,114.103729,22.570000,1
19-20-52,114.087448,22.554632,0
19-20-54,114.084297,22.555050,1
19-21-0,114.115067,22.558666,0
19-21-3,114.113632,22.551018,1
19-21-17,114.118629,22.563232,0
19-21-29,114.081482,22.547501,1
19-21-44,114.071869,22.530684,0
19-21-45,114.071999,22.528601,1
19-21-53,114.119614,22.538651,0
19-22-0,114.086464,22.537666,1
19-22-4,114.075081,22.533434,0
19-22-12,114.054367,22.537518,1
19-22-23,114.113083,22.545883,0
19-22-24,114.113670,22.545650,1
19-22-34,114.080666,22.557867,0
19-22-36,114.080482,22.557768,1
19-22-42,114.035866,22.567101,0
19-22-59,114.020020,22.538868,1
19-23-9,114.047180,22.518682,0
19-23-14,114.040298,22.522167,1
19-23-31,113.909370,22.517817,0
19-23-56,113.816170,22.650833,1
20-0-0,113.814453,22.651300,0
20-1-0,113.815582,22.647818,1
20-1-10,113.822716,22.648333,0
20-7-34,113.891479,22.556601,1
20-7-45,113.936485,22.542583,0
20-7-59,113.913429,22.531200,1
20-8-29,113.842735,22.630466,0
20-8-39,113.889534,22.570017,1
20-9-11,113.960236,22.566151,0
20-9-19,113.961586,22.547100,1
20-9-59,113.814583,22.649599,0
20-10-43,113.883553,22.575466,1
20-10-51,113.903618,22.531601,0
20-10-58,113.918747,22.535383,1
20-11-16,113.918236,22.495583,0
20-11-42,113.925385,22.496367,1
20-11-57,113.927696,22.563883,0
20-12-4,113.927330,22.536617,1
20-12-22,113.868385,22.584700,0
20-12-46,113.914917,22.540701,1
20-13-11,114.105980,22.546133,0
20-13-56,113.970901,22.539534,1
20-14-4,113.937263,22.560551,0
20-14-11,113.949982,22.543533,1
20-14-22,113.942047,22.557899,0
20-14-31,113.938553,22.543068,1
20-14-37,113.943748,22.532618,0
20-14-39,113.944931,22.536417,1
20-14-49,113.971085,22.543533,0
20-14-52,113.972435,22.540382,1
20-15-1,113.941917,22.557449,0
20-15-3,113.941818,22.557034,1
20-15-10,113.963203,22.543350,0
20-15-10,113.963448,22.542549,1
20-15-26,113.918869,22.520350,0
20-15-27,113.917465,22.521418,1
20-16-21,113.807915,22.677601,0
20-16-35,113.823036,22.674433,1
20-17-8,113.996483,22.530649,0
20-17-22,113.970985,22.539568,1
20-18-3,113.816002,22.647318,0
20-18-11,113.835320,22.638783,1
20-18-21,113.856148,22.617050,0
20-18-31,113.876732,22.591400,1
