time,jd,wd,status
18-0-23,114.119064,22.554283,1
18-0-47,113.915749,22.520000,0
18-0-49,113.915749,22.520000,1
18-1-7,113.916084,22.649584,0
18-2-58,114.093536,22.570267,1
18-3-13,114.058197,22.525499,0
18-3-19,114.057014,22.527651,1
18-3-26,114.076820,22.535549,0
18-3-36,114.077347,22.536900,1
18-3-41,114.111366,22.542633,0
18-5-12,114.119949,22.538567,1
18-5-17,114.122597,22.550318,0
18-5-39,114.119598,22.540550,1
18-5-49,114.120621,22.543783,0
18-6-1,114.119102,22.540033,1
18-6-13,114.028633,22.522417,0
18-9-5,114.117531,22.543034,1
18-9-27,114.056786,22.531816,0
18-9-34,114.040001,22.532883,1
18-9-38,114.046265,22.539301,0
18-9-47,114.007629,22.537083,1
18-9-52,114.005486,22.542233,0
18-9-58,113.986664,22.536867,1
18-10-0,113.989052,22.541517,0
18-10-8,113.968102,22.540667,1
18-10-51,113.837799,22.622967,0
18-12-6,113.922981,22.552017,1
18-12-11,113.940636,22.540333,0
18-12-24,113.931030,22.544050,1
18-12-33,113.919899,22.533033,0
18-12-55,113.941399,22.546267,1
18-12-58,113.928703,22.545616,0
18-13-3,113.934853,22.545616,1
18-13-7,113.944748,22.542816,0
18-13-28,113.938568,22.542967,1
18-13-32,113.924004,22.528566,0
18-13-33,113.924080,22.528450,1
18-13-58,113.814751,22.649584,0
18-14-18,113.883148,22.575951,1
18-14-39,113.994751,22.527317,0
18-14-54,113.984566,22.536568,1
18-15-7,113.943184,22.506451,0
18-15-10,113.945297,22.506533,1
18-15-20,113.914047,22.497351,0
18-15-30,113.921936,22.493483,1
18-15-44,113.878281,22.468134,0
18-16-12,113.908783,22.479700,1
18-16-37,114.018448,22.529034,0
18-16-40,114.020370,22.531767,1
18-16-56,114.114418,22.535049,0
18-16-58,114.113998,22.534384,1
18-17-22,114.062698,22.517599,0
18-17-25,114.062897,22.517782,1
18-17-30,114.063271,22.533684,0
18-17-33,114.064102,22.533817,1
18-17-41,114.058098,22.536783,0
18-17-42,114.058098,22.536783,1
18-18-8,114.113670,22.542667,0
18-18-9,114.113914,22.542933,1
18-18-25,114.127563,22.543182,0
18-18-58,113.894447,22.594017,1
18-19-7,113.874466,22.594183,0
18-20-9,113.828918,22.650118,1
18-20-31,114.041916,22.530718,0
18-20-35,114.047867,22.533466,1
18-20-43,114.036201,22.522734,0
18-20-43,114.036201,22.522734,1
18-20-51,114.037300,22.531099,0
18-20-53,114.042747,22.534082,1
18-21-0,114.031464,22.555033,0
18-21-1,114.033966,22.554033,1
18-21-18,114.114151,22.534500,0
18-21-20,114.114037,22.534367,1
18-21-24,114.133148,22.545799,0
18-21-50,114.114197,22.542583,1
18-22-2,114.118370,22.570868,0
18-22-2,114.118370,22.570868,1
18-22-15,114.128731,22.545601,0
18-22-27,114.113831,22.539183,1
18-22-39,114.055664,22.525850,0
18-22-42,114.053467,22.525900,1
18-22-44,114.059334,22.525932,0
18-22-45,114.060417,22.525932,1
18-22-50,114.068481,22.523884,0
18-22-53,114.072151,22.531418,1
18-22-56,114.070549,22.545750,0
18-22-59,114.071548,22.547983,1
18-23-8,114.094681,22.559933,0
18-23-17,114.115379,22.558500,1
18-23-25,114.114037,22.531683,0
18-23-26,114.115036,22.533167,1
18-23-32,114.093849,22.541651,0
18-23-44,114.105133,22.541067,1
18-23-48,114.113670,22.538467,0
18-23-52,114.112236,22.542133,1
18-23-56,114.107552,22.547783,0
19-0-30,114.119232,22.542168,1
19-0-36,114.132515,22.553650,0
19-1-8,114.121284,22.542883,1
19-1-26,114.149620,22.616217,0
19-1-43,114.145203,22.609934,1
19-1-49,114.113380,22.603350,0
19-2-11,114.111168,22.586950,1
19-2-16,114.136047,22.573618,0
19-3-9,114.122086,22.544950,1
19-3-13,114.133614,22.549801,0
19-3-15,114.133614,22.549801,1
19-3-16,114.134003,22.549000,0
19-3-29,114.133751,22.549549,1
19-3-36,114.131287,22.568666,0
19-6-24,113.913147,22.520849,1
19-6-27,113.920715,22.512783,0
19-6-29,113.913452,22.512318,1
19-6-32,113.907501,22.521683,0
19-6-38,113.917717,22.524517,1
19-7-3,113.816231,22.646982,0
19-8-13,113.896217,22.558033,1
19-8-53,114.003052,22.536583,0
19-8-55,114.004868,22.536568,1
19-9-12,113.930832,22.543068,0
19-9-19,113.922485,22.529917,1
19-9-35,114.019920,22.540768,0
19-9-37,114.020332,22.540649,1
19-9-56,113.929199,22.543699,0
19-10-2,113.919197,22.541500,1
19-10-13,113.918770,22.514999,0
19-10-17,113.908852,22.516684,1
19-10-26,113.903351,22.538183,0
19-10-28,113.903748,22.535217,1
19-10-38,113.948868,22.550800,0
19-10-52,113.938484,22.543051,1
19-11-1,113.925613,22.589300,0
19-11-30,113.915535,22.543699,1
19-11-41,113.908852,22.573833,0
19-11-43,113.908852,22.573982,1
19-11-58,113.885498,22.589216,0
19-13-17,113.923149,22.528418,1
19-13-23,113.907799,22.514999,0
19-13-26,113.906502,22.519550,1
19-13-31,113.915901,22.532801,0
19-13-41,113.930817,22.520018,1
19-13-50,113.924820,22.498083,0
19-13-53,113.919319,22.496782,1
19-13-58,113.930069,22.498199,0
19-14-0,113.930130,22.503050,1
19-14-21,114.083420,22.543034,0
19-14-35,114.073586,22.539368,1
19-14-46,114.019730,22.533100,0
19-14-48,114.018852,22.533083,1
19-15-31,114.104584,22.609383,0
19-15-44,114.098732,22.572701,1
19-16-4,114.119598,22.540684,0
19-16-8,114.121567,22.540983,1
19-16-20,114.068451,22.523750,0
19-16-22,114.067703,22.523899,1
19-16-36,114.038170,22.527384,0
19-16-38,114.037964,22.527000,1
19-16-45,114.019150,22.540199,0
19-16-47,114.021599,22.540899,1
19-16-51,114.026031,22.543417,0
19-17-7,113.975197,22.537600,1
19-17-17,113.963020,22.551901,0
19-17-23,113.941071,22.543150,1
19-17-35,113.914597,22.504116,0
19-17-46,113.914986,22.518850,1
19-18-7,114.056969,22.527582,0
19-18-57,113.869484,22.594400,1
19-19-1,113.874367,22.594217,0
